指数代码,指数名称,交易日期,开盘,最高,最低,收盘,成交量,成交金额
1,上证指数,1997/1/2,914.06,920.19,909.46,919.44,265303700,2369873910
1,上证指数,1997/1/3,921.1,922.39,896.99,899.61,342916500,2822564060
1,上证指数,1997/1/6,890.98,892.02,875.89,876.5,241608800,1894046880
1,上证指数,1997/1/7,872.81,903,871.78,898.17,251824800,1963755940
1,上证指数,1997/1/8,899.83,902.53,887.23,896.41,231369000,1880558910
1,上证指数,1997/1/9,897.99,914.33,897.94,906.98,252650100,2158647030
1,上证指数,1997/1/10,908.56,918.51,906.55,918.4,333721700,2871981880
1,上证指数,1997/1/13,923.55,931.44,922.74,929.52,388141300,3182441880
1,上证指数,1997/1/14,929.55,929.59,903.62,907.85,304393900,2603044060
1,上证指数,1997/1/15,905.48,919.42,905.06,916.72,193795700,1643736880
1,上证指数,1997/1/16,917.48,922.1,908.26,915.01,194014700,1800500940
1,上证指数,1997/1/17,916.11,921.14,912.66,919.85,223666800,2166645940
1,上证指数,1997/1/20,922.47,933.36,922.06,933.28,274933100,2444270000
1,上证指数,1997/1/21,937.04,939.02,926.09,929.11,339361800,2955960000
1,上证指数,1997/1/22,929.36,942.73,929.01,942.44,334241400,3132185000
1,上证指数,1997/1/23,945.59,947.55,940.5,945.8,396901200,3688120000
1,上证指数,1997/1/24,945.53,954.3,934.64,953.92,373787000,3272756880
1,上证指数,1997/1/27,957.25,959.87,952.4,959.06,479914900,4142264060
1,上证指数,1997/1/28,957.88,957.88,947.91,956.31,328674400,2907715000
1,上证指数,1997/1/29,955.96,964.02,955.1,962.1,413085900,3652549060
1,上证指数,1997/1/30,960.49,962.97,955.47,960.17,352383100,3034253130
1,上证指数,1997/1/31,960.26,967.9,960.08,964.74,408801600,3666237810
1,上证指数,1997/2/17,969.53,985.21,959.75,982.4,361696600,3323141880
1,上证指数,1997/2/18,980.48,999.23,893.75,894.85,727384900,6565445000
1,上证指数,1997/2/19,911.58,962.69,911.58,962.69,540728200,4977297810
1,上证指数,1997/2/20,870.18,971.51,870.18,965.08,953084600,8209138750
1,上证指数,1997/2/21,967.68,1017.32,967.49,1017.13,1380838400,10980172500
1,上证指数,1997/2/24,1028.35,1032.7,1004.62,1009.56,1112275800,9347215000
1,上证指数,1997/2/25,1009.05,1028.34,1009.03,1017.96,712574700,6621052500
1,上证指数,1997/2/26,1019.86,1031.51,1015.39,1031.51,616762100,6044225000
1,上证指数,1997/2/27,1035.32,1038.49,1020.34,1025.3,660077500,6274167500
1,上证指数,1997/2/28,1023.37,1040.33,1010.27,1040.27,669806600,6177906880
1,上证指数,1997/3/3,1044.61,1063.05,1043.93,1063.05,900594500,8614859380
1,上证指数,1997/3/4,1063.29,1070.22,1048.44,1068.16,913979100,8608841250
