股票代码_Stkcd,日期_Date,收盘价_Clpr
600620,2000-01-04,9.7
600620,2000-01-05,9.77
600620,2000-01-06,10.01
600620,2000-01-07,10.5
600620,2000-01-10,10.62
600620,2000-01-11,10.08
600620,2000-01-12,9.61
600620,2000-01-13,9.56
600620,2000-01-14,9.42
600620,2000-01-17,9.4
600620,2000-01-18,9.35
600620,2000-01-19,9.35
600620,2000-01-20,9.63
600620,2000-01-21,9.33
600620,2000-01-24,9.2
600620,2000-01-25,9.5
600620,2000-01-26,9.52
600620,2000-01-27,10.47
600620,2000-01-28,11.52
600620,2000-02-14,12.67
600620,2000-02-15,12.59
600620,2000-02-16,12.3
600620,2000-02-17,11.31
600620,2000-02-18,11.98
600620,2000-02-21,11.41
600620,2000-02-22,11.11
600620,2000-02-23,10.68
600620,2000-02-24,10.98
600620,2000-02-25,11
600620,2000-02-28,11.28
600620,2000-02-29,11.41
600620,2000-03-01,11.66
600620,2000-03-02,11.92
600620,2000-03-03,11.76
600620,2000-03-06,11.12
600620,2000-03-07,11.1
600620,2000-03-08,11.15
600620,2000-03-09,11.18
600620,2000-03-10,10.97
600620,2000-03-13,10.88
600620,2000-03-14,11.44
600620,2000-03-15,11.2
600620,2000-03-16,10.41
600620,2000-03-17,10.68
600620,2000-03-20,10.59
600620,2000-03-21,11.02
600620,2000-03-22,10.75
600620,2000-03-23,10.73
600620,2000-03-24,10.65
600620,2000-03-27,11.19
600620,2000-03-28,11.65
600620,2000-03-29,12.3
600620,2000-03-30,12.2
600620,2000-03-31,11.92
600620,2000-04-03,12.16
600620,2000-04-04,11.65
600620,2000-04-05,11.81
600620,2000-04-06,12
600620,2000-04-07,12.28
600620,2000-04-10,12.19
600620,2000-04-11,11.95
600620,2000-04-12,11.68
600620,2000-04-13,12.05
600620,2000-04-14,11.98
600620,2000-04-17,11.75
600620,2000-04-18,11.9
600620,2000-04-19,11.91
600620,2000-04-20,12.23
600620,2000-04-21,12.34
600620,2000-04-24,12.29
600620,2000-04-25,12.02
600620,2000-04-26,11.9
600620,2000-04-27,11.76
600620,2000-04-28,11.93
600620,2000-05-08,12.04
600620,2000-05-09,11.8
600620,2000-05-10,11.5
600620,2000-05-11,11.16
600620,2000-05-12,10.95
600620,2000-05-15,10.89
600620,2000-05-16,10.96
600620,2000-05-17,11
600620,2000-05-18,11.25
600620,2000-05-19,11.29
600620,2000-05-22,11.4
600620,2000-05-23,11.88
600620,2000-05-24,
600620,2000-05-25,12.23
600620,2000-05-26,12.09
600620,2000-05-29,12.06
600620,2000-05-30,12.15
600620,2000-05-31,12.18
600620,2000-06-01,12.52
600620,2000-06-02,12.5
600620,2000-06-05,12.55
600620,2000-06-06,12.95
600620,2000-06-07,12.73
600620,2000-06-08,12.42
600620,2000-06-09,12.2
600620,2000-06-12,12.3
600620,2000-06-13,12.68
600620,2000-06-14,12.45
600620,2000-06-15,12.54
600620,2000-06-16,12.58
600620,2000-06-19,12.7
600620,2000-06-20,12.8
600620,2000-06-21,12.86
600620,2000-06-22,12.58
600620,2000-06-23,12.54
600620,2000-06-26,12.55
600620,2000-06-27,12.66
600620,2000-06-28,12.8
600620,2000-06-29,12.73
600620,2000-06-30,12.52
600620,2000-07-03,12.24
600620,2000-07-04,12.31
600620,2000-07-05,12.3
600620,2000-07-06,12.3
600620,2000-07-07,12.38
600620,2000-07-10,12.57
600620,2000-07-11,12.46
600620,2000-07-12,12.45
600620,2000-07-13,13.18
600620,2000-07-14,13.03
600620,2000-07-17,12.87
600620,2000-07-18,13
600620,2000-07-19,12.9
600620,2000-07-20,12.75
600620,2000-07-21,12.95
600620,2000-07-24,13.23
600620,2000-07-25,13.18
600620,2000-07-26,13.2
600620,2000-07-27,13.1
600620,2000-07-28,13.19
600620,2000-07-31,13.78
600620,2000-08-01,13.75
600620,2000-08-02,14
600620,2000-08-03,14.2
600620,2000-08-04,13.8
600620,2000-08-07,14.22
600620,2000-08-08,14.28
600620,2000-08-09,14.18
600620,2000-08-10,13.84
600620,2000-08-11,13.8
600620,2000-08-14,13.84
600620,2000-08-15,13.84
600620,2000-08-16,14.12
600620,2000-08-17,13.9
600620,2000-08-18,14.14
600620,2000-08-21,14.65
600620,2000-08-22,14.36
600620,2000-08-23,14.73
600620,2000-08-24,14.72
600620,2000-08-25,14.72
600620,2000-08-28,
600620,2000-08-29,14.9
600620,2000-08-30,14.45
600620,2000-08-31,14.05
600620,2000-09-01,13.96
600620,2000-09-04,14.17
600620,2000-09-05,13.4
600620,2000-09-06,13.6
600620,2000-09-07,14
600620,2000-09-08,14
600620,2000-09-11,14.1
600620,2000-09-12,14.29
600620,2000-09-13,14.09
600620,2000-09-14,14
600620,2000-09-15,13.85
600620,2000-09-18,13.54
600620,2000-09-19,13.08
600620,2000-09-20,13.17
600620,2000-09-21,13.23
600620,2000-09-22,13.16
600620,2000-09-25,12.98
600620,2000-09-26,13
600620,2000-09-27,13
600620,2000-09-28,12.94
600620,2000-09-29,13.14
600620,2000-10-09,13.2
600620,2000-10-10,13.41
600620,2000-10-11,13.41
600620,2000-10-12,13.5
600620,2000-10-13,13.41
600620,2000-10-16,13.45
600620,2000-10-17,13.38
600620,2000-10-18,13.5
600620,2000-10-19,13.41
600620,2000-10-20,13.36
600620,2000-10-23,13.1
600620,2000-10-24,13.18
600620,2000-10-25,13.31
600620,2000-10-26,13.2
600620,2000-10-27,13.18
600620,2000-10-30,13.14
600620,2000-10-31,13.2
600620,2000-11-01,13.45
600620,2000-11-02,13.42
600620,2000-11-03,13.38
600620,2000-11-06,13.36
600620,2000-11-07,13.53
600620,2000-11-08,13.52
600620,2000-11-09,13.6
600620,2000-11-10,13.9
600620,2000-11-13,14
600620,2000-11-14,13.76
600620,2000-11-15,14.5
600620,2000-11-16,14.59
600620,2000-11-17,14.25
600620,2000-11-20,14.45
600620,2000-11-21,14.4
600620,2000-11-22,14.31
600620,2000-11-23,14.28
600620,2000-11-24,13.85
600620,2000-11-27,13.62
600620,2000-11-28,13.77
600620,2000-11-29,13.6
600620,2000-11-30,13.47
600620,2000-12-01,13.65
600620,2000-12-04,14.08
600620,2000-12-05,13.97
600620,2000-12-06,14.08
600620,2000-12-07,14.07
600620,2000-12-08,14.07
600620,2000-12-11,13.8
600620,2000-12-12,13.7
600620,2000-12-13,13.85
600620,2000-12-14,13.77
600620,2000-12-15,13.72
600620,2000-12-18,13.9
600620,2000-12-19,14.3
600620,2000-12-20,14.33
600620,2000-12-21,14.25
600620,2000-12-22,14.6
600620,2000-12-25,14.18
600620,2000-12-26,14.15
600620,2000-12-27,13.9
600620,2000-12-28,13.73
600620,2000-12-29,13.75
600620,2001-01-02,14.01
600620,2001-01-03,14.18
600620,2001-01-04,14.01
600620,2001-01-05,14.25
600620,2001-01-08,14.2
600620,2001-01-09,14.51
600620,2001-01-10,14.74
600620,2001-01-11,14.5
600620,2001-01-12,14.3
600620,2001-01-15,14.23
600620,2001-01-16,14.16
600620,2001-01-17,14.09
600620,2001-01-18,14.05
600620,2001-01-19,14.23
600620,2001-02-05,13.84
600620,2001-02-06,13.4
600620,2001-02-07,13.46
600620,2001-02-08,13.46
600620,2001-02-09,13.71
600620,2001-02-12,13.8
600620,2001-02-13,13.6
600620,2001-02-14,13.55
600620,2001-02-15,13.38
600620,2001-02-16,13.19
600620,2001-02-19,13.21
600620,2001-02-20,13.03
600620,2001-02-21,12.62
600620,2001-02-22,12.41
600620,2001-02-23,12.43
600620,2001-02-26,12.71
600620,2001-02-27,12.74
600620,2001-02-28,12.75
600620,2001-03-01,12.75
600620,2001-03-02,12.88
600620,2001-03-05,13
600620,2001-03-06,13.3
600620,2001-03-07,13.16
600620,2001-03-08,13.24
600620,2001-03-09,13.1
600620,2001-03-12,12.88
600620,2001-03-13,12.71
600620,2001-03-14,12.85
600620,2001-03-15,12.85
600620,2001-03-16,12.8
600620,2001-03-19,12.75
600620,2001-03-20,13.18
600620,2001-03-21,13.35
600620,2001-03-22,13.3
600620,2001-03-23,13.15
600620,2001-03-26,13.29
600620,2001-03-27,13.36
600620,2001-03-28,13.43
600620,2001-03-29,13.33
600620,2001-03-30,13.37
