_Stkcd,month,月收益率_Monret
1,2000/01/28,0.0619
1,2000/02/29,-0.0113
1,2000/03/31,0.0027
1,2000/04/28,0.037
1,2000/05/31,-0.0551
1,2000/06/30,0.0072
1,2000/07/31,0.021
1,2000/08/31,-0.0411
1,2000/09/29,-0.0445
1,2000/10/31,0.0348
1,2000/11/30,-0.0081
1,2000/12/29,-0.0626
1,2001/01/19,0.0317
1,2001/02/28,-0.0594
1,2001/03/30,0.1512
1,2001/04/30,-0.0425
1,2001/05/31,0.0431
1,2001/06/29,-0.0549
1,2001/07/31,-0.0967
1,2001/08/31,-0.081
1,2001/09/28,0.0031
1,2001/10/31,0.0831
1,2001/11/30,-0.0282
1,2001/12/31,-0.0872
1,2002/01/31,-0.1404
1,2002/02/28,-0.0361
1,2002/03/29,0.0867
1,2002/04/30,0.0426
1,2002/05/31,-0.0296
1,2002/06/28,0.3441
1,2002/07/31,0.0107
1,2002/08/30,0.026
1,2002/09/27,-0.1058
1,2002/10/31,-0.0595
1,2002/11/29,-0.0656
1,2002/12/31,-0.1331
1,2003/01/29,0.1087
1,2003/02/28,-0.031
1,2003/03/31,0.0461
1,2003/04/30,0.0543
1,2003/05/30,0.0097
1,2003/06/30,-0.1163
1,2003/07/31,-0.0433
1,2003/08/29,-0.0264
1,2003/09/30,-0.0978
1,2003/10/31,-0.1123
1,2003/11/28,0.0295
1,2003/12/31,0.0155
1,2004/01/30,0.0905
1,2004/02/27,0.1164
1,2004/03/31,0.029
1,2004/04/30,-0.1248
1,2004/05/31,0.0311
1,2004/06/30,-0.106
1,2004/07/30,-0.057
1,2004/08/31,0.0062
1,2004/09/30,0
1,2004/10/29,-0.1213
1,2004/11/30,-0.0167
1,2004/12/31,-0.0652
1,2005/01/31,-0.0804
1,2005/02/28,0.0693
1,2005/03/31,-0.196
1,2005/04/29,0.19
1,2005/05/31,-0.0306
1,2005/06/30,-0.0133
1,2005/07/29,0
1,2005/08/31,0.0506
1,2005/09/30,-0.0754
1,2005/10/31,-0.0087
1,2005/11/30,0.0228
1,2005/12/30,0.0514
1,2006/01/25,0.0342
1,2006/02/28,0.0772
1,2006/03/31,-0.0687
1,2006/04/28,0.237
1,2006/05/31,0.1142
1,2006/06/30,-0.139
1,2006/07/31,-0.1111
1,2006/08/31,0.0759
1,2006/09/29,0.1286
1,2006/10/31,0.1703
1,2006/11/30,0.3246
1,2006/12/29,0.1439
