交易所标识_Exchflg,市场标识_Mktflg,日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv,市场溢酬因子__总市值加权_Rmrf_mc,市值因子__总市值加权_Smb_mc,账面市值比因子__总市值加权_Hml_mc
1,A,2010/01/08,-0.0271,0.0247,-0.0153,-0.0256,0.027,-0.0021
1,A,2010/01/15,0.0075,0.0321,-0.013,0.0082,0.0362,-0.0087
1,A,2010/01/22,-0.029,0.011,-0.0063,-0.0302,0.0068,-0.0137
1,A,2010/01/29,-0.047,0.0025,-0.0177,-0.0449,0.004,-0.0178
1,A,2010/02/05,-0.0147,0.0211,-0.0018,-0.0173,0.0193,0.0024
1,A,2010/02/12,0.0262,-0.0115,-0.0004,0.0265,-0.0131,0.0005
1,A,2010/02/26,0.0127,0.0366,-0.0054,0.0106,0.0422,-0.0011
1,A,2010/03/05,-0.0065,0.0061,-0.007,-0.0071,0.0046,0.0035
1,A,2010/03/12,-0.0064,-0.0056,0.0079,-0.0058,-0.0058,-0.0024
1,A,2010/03/19,0.0199,0.0177,-0.0004,0.0174,0.0228,0.0085
1,A,2010/03/26,-0.0001,0.0111,0.0014,-0.0027,0.0118,-0.0056
1,A,2010/04/02,0.032,-0.0029,-0.0018,0.0314,0.0025,0.0033
1,A,2010/04/09,-0.0038,0.0236,-0.0117,-0.0042,0.0279,-0.0082
1,A,2010/04/16,-0.0076,-0.0047,-0.0039,-0.0049,-0.0084,-0.0025
1,A,2010/04/23,-0.0465,0.0226,-0.0534,-0.0483,0.0412,-0.043
1,A,2010/04/30,-0.0385,-0.0369,0.013,-0.0379,-0.0507,0.0095
1,A,2010/05/07,-0.0583,0.0414,-0.0352,-0.0637,0.053,-0.0383
1,A,2010/05/14,0.0031,-0.0408,0.0174,0.0028,-0.0495,0.011
1,A,2010/05/21,-0.0405,-0.0211,-0.0089,-0.042,-0.0172,-0.0083
1,A,2010/05/28,0.0308,0.0271,-0.0149,0.0306,0.0329,-0.0061
1,A,2010/06/04,-0.0377,-0.003,-0.0194,-0.0359,-0.0034,-0.0103
1,A,2010/06/11,0.0043,0.0153,-0.0128,0.0062,0.0193,-0.0114
1,A,2010/06/18,-0.0226,-0.0155,0.0328,-0.0222,-0.0206,0.0189
1,A,2010/06/25,0.0194,0.0112,0.0106,0.0167,0.0074,0.0098
1,A,2010/07/02,-0.0682,-0.0345,0.0234,-0.0663,-0.0338,0.0338
1,A,2010/07/09,0.0416,0.0111,-0.0139,0.0384,0.0145,-0.0185
1,A,2010/07/16,-0.0187,0.0122,-0.0071,-0.0194,0.013,-0.013
1,A,2010/07/23,0.0672,-0.0063,-0.0003,0.0643,-0.001,-0.01
1,A,2010/07/30,0.0264,0.0083,-0.0019,0.0246,0.0161,-0.0045
1,A,2010/08/06,0.0093,0.0159,-0.0254,0.0071,0.0166,-0.0254
1,A,2010/08/13,-0.0193,0.0063,-0.0109,-0.0204,0.006,-0.0196
1,A,2010/08/20,0.0126,0.0037,0.0011,0.0136,-0.0012,0.0026
1,A,2010/08/27,-0.0132,0.0194,-0.0167,-0.0134,0.0245,-0.0071
1,A,2010/09/03,0.0208,0.0184,-0.0298,0.0163,0.0264,-0.0321
1,A,2010/09/10,0.002,-0.0007,-0.0044,0.0024,-0.004,-0.014
