指数代码_IdxCd,交易日期_TrdDt,收盘价_ClPr,指数周收益率_IdxWkRet
32,2010/01/08,3485.8,-0.0137
32,2010/01/15,3400.01,-0.0246
32,2010/01/22,3168,-0.0682
32,2010/01/29,3013.19,-0.0489
32,2010/02/05,2918.92,-0.0313
32,2010/02/12,3036.13,0.0402
32,2010/02/26,3012.64,-0.0077
32,2010/03/05,2965.66,-0.0156
32,2010/03/12,2970.61,0.0017
32,2010/03/19,3005.59,0.0118
32,2010/03/26,3002.83,-0.0009
32,2010/04/02,3156.14,0.0511
32,2010/04/09,3118.39,-0.012
32,2010/04/16,3117.07,-0.0004
32,2010/04/23,2980.7,-0.0437
32,2010/04/30,2878.92,-0.0341
32,2010/05/07,2550.64,-0.114
32,2010/05/14,2606.2,0.0218
32,2010/05/21,2513.98,-0.0354
32,2010/05/28,2590.97,0.0306
32,2010/06/04,2472.66,-0.0457
32,2010/06/11,2461.04,-0.0047
32,2010/06/18,2408.16,-0.0215
32,2010/06/25,2405.56,-0.0011
32,2010/07/02,2161.79,-0.1013
32,2010/07/09,2265.88,0.0482
32,2010/07/16,2239.34,-0.0117
32,2010/07/23,2446.25,0.0924
32,2010/07/30,2515.66,0.0284
32,2010/08/06,2549.71,0.0135
32,2010/08/13,2471.44,-0.0307
32,2010/08/20,2551.34,0.0323
32,2010/08/27,2490.83,-0.0237
32,2010/09/03,2535.76,0.018
32,2010/09/10,2539.64,0.0015
32,2010/09/17,2438.15,-0.04
32,2010/09/21,2418.41,-0.0081
32,2010/09/30,2518.71,0.0415
32,2010/10/08,2703.3,0.0733
32,2010/10/15,3156.32,0.1676
32,2010/10/22,3278.74,0.0388
32,2010/10/29,3244.27,-0.0105
32,2010/11/05,3384.83,0.0433
32,2010/11/12,3314.15,-0.0209
32,2010/11/19,3006.22,-0.0929
32,2010/11/26,3043.48,0.0124
32,2010/12/03,2968.64,-0.0246
32,2010/12/10,2995.93,0.0092
32,2010/12/17,3158.93,0.0544
32,2010/12/24,3105.37,-0.017
32,2010/12/31,3149.36,0.0142
32,2011/01/07,3166.93,0.0056
32,2011/01/14,3051.52,-0.0364
32,2011/01/21,2934.31,-0.0384
32,2011/01/28,2960.89,0.0091
32,2011/02/01,3046.63,0.029
32,2011/02/11,3004.33,-0.0139
32,2011/02/18,3125.91,0.0405
32,2011/02/25,3115.73,-0.0033
32,2011/03/04,3175.16,0.0191
32,2011/03/11,3238.96,0.0201
32,2011/03/18,3232.78,-0.0019
32,2011/03/25,3309.53,0.0237
32,2011/04/01,3344.2,0.0105
32,2011/04/08,3415.62,0.0214
32,2011/04/15,3368.15,-0.0139
32,2011/04/22,3315.15,-0.0157
32,2011/04/29,3224.94,-0.0272
32,2011/05/06,3006.86,-0.0676
32,2011/05/13,3035.29,0.0095
32,2011/05/20,3071.05,0.0118
32,2011/05/27,2972.87,-0.032
32,2011/06/03,3014.94,0.0142
32,2011/06/10,2957.88,-0.0189
32,2011/06/17,2911.67,-0.0156
32,2011/06/24,3046.56,0.0463
32,2011/07/01,3167.2,0.0396
32,2011/07/08,3188.89,0.0068
32,2011/07/15,3190,0.0003
32,2011/07/22,3134.14,-0.0175
32,2011/07/29,3076.08,-0.0185
32,2011/08/05,3047.15,-0.0094
32,2011/08/12,2962.02,-0.0279
32,2011/08/19,2839.02,-0.0415
32,2011/08/26,2957.84,0.0419
32,2011/09/02,2863.67,-0.0318
32,2011/09/09,2811.1,-0.0184
32,2011/09/16,2806.39,-0.0017
32,2011/09/23,2809.03,0.0009
32,2011/09/30,2807.16,-0.0007
32,2011/10/14,2759.58,-0.0169
32,2011/10/21,2557.57,-0.0732
32,2011/10/28,2802.47,0.0958
32,2011/11/04,2831.07,0.0102
32,2011/11/11,2813.38,-0.0062
32,2011/11/18,2734.07,-0.0282
32,2011/11/25,2630.24,-0.038
32,2011/12/02,2605.08,-0.0096
32,2011/12/09,2558.3,-0.018
32,2011/12/16,2389.11,-0.0661
32,2011/12/23,2387.08,-0.0009
32,2011/12/30,2407.92,0.0087
32,2012/01/06,2365.86,-0.0175
32,2012/01/13,2564.84,0.0841
32,2012/01/20,2645.13,0.0313
32,2012/02/03,2639.61,-0.0021
32,2012/02/10,2684.84,0.0171
