交易所标识_Exchflg,市场标识_Mktflg,日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv,市场溢酬因子__总市值加权_Rmrf_mc,市值因子__总市值加权_Smb_mc,账面市值比因子__总市值加权_Hml_mc
1,A,2009/01/23,0.1383,0.0228,-0.0049,0.0934,0.0516,-0.0265
1,A,2009/02/27,0.0497,0.051,-0.0173,0.0461,0.0417,0.0116
1,A,2009/03/31,0.1833,0.0327,-0.0152,0.1397,0.0565,-0.0355
1,A,2009/04/30,0.0476,0.0101,0.0141,0.0441,0.0071,0.0293
1,A,2009/05/27,0.0494,0.0349,-0.0054,0.0626,0.0429,-0.004
1,A,2009/06/30,0.1248,-0.0214,-0.0139,0.1331,-0.0208,-0.0079
1,A,2009/07/31,0.1728,-0.0357,0.0763,0.1536,-0.0482,0.0993
1,A,2009/08/31,-0.224,0.0414,-0.0695,-0.2199,0.0561,-0.0808
1,A,2009/09/30,0.0505,-0.0114,-0.0196,0.0426,-0.0097,-0.0077
1,A,2009/10/30,0.0869,0.034,0.0022,0.0764,0.0421,0.0122
1,A,2009/11/30,0.0723,0.0511,0.0002,0.0647,0.0638,0.0055
1,A,2009/12/31,0.0315,0.0137,0.0382,0.0243,0.0205,0.0292
1,A,2010/01/29,-0.0924,0.0634,-0.0514,-0.0899,0.0693,-0.0438
1,A,2010/02/26,0.0235,0.045,-0.0088,0.0191,0.0477,0.0012
1,A,2010/03/31,0.024,0.0264,-0.0007,0.0178,0.0324,0.0093
1,A,2010/04/30,-0.0788,0.0018,-0.0501,-0.0778,0.0067,-0.0429
1,A,2010/05/31,-0.088,0.0016,-0.0455,-0.0952,0.0106,-0.0441
1,A,2010/06/30,-0.0741,-0.022,0.0107,-0.0712,-0.0276,0.0061
1,A,2010/07/30,0.1095,0.0372,-0.0116,0.1032,0.0569,-0.0263
1,A,2010/08/31,0.0019,0.0543,-0.071,-0.0019,0.0575,-0.0723
1,A,2010/09/30,0.0087,-0.0049,-0.0385,0.0068,-0.006,-0.039
1,A,2010/10/29,0.1187,-0.0338,0.0104,0.1203,-0.054,-0.0097
1,A,2010/11/30,-0.0578,0.0383,-0.0756,-0.0564,0.0462,-0.0313
1,A,2010/12/31,-0.0116,-0.012,0.0377,-0.0075,-0.0282,0.0243
1,A,2011/01/31,-0.0092,-0.0226,0.0526,-0.0108,-0.0012,0.0617
1,A,2011/02/28,0.036,0.0574,-0.0311,0.037,0.0597,-0.0384
1,A,2011/03/31,0.0088,0.0218,0.0251,0.0047,0.0116,0.0234
1,A,2011/04/29,-0.0095,-0.0055,0.0056,-0.0087,-0.0085,0.0155
1,A,2011/05/31,-0.0603,-0.006,-0.0096,-0.0612,-0.0121,-0.002
1,A,2011/06/30,0.0132,-0.0023,-0.006,0.0155,0.0006,-0.0032
1,A,2011/07/29,-0.0223,0.0186,-0.0518,-0.0245,0.0196,-0.0462
1,A,2011/08/31,-0.0544,0.0158,-0.0284,-0.0538,0.0166,-0.0313
1,A,2011/09/30,-0.0824,-0.0266,0.044,-0.0837,-0.0286,0.0482
1,A,2011/10/31,0.043,0.005,0.0094,0.0419,0.0098,0.0083
1,A,2011/11/30,-0.0564,0.0021,-0.0325,-0.059,0.007,-0.026
1,A,2011/12/30,-0.0571,-0.0848,0.07,-0.0619,-0.0841,0.0728
1,A,2012/01/31,0.0396,-0.0305,0.0235,0.038,-0.0304,0.019
1,A,2012/02/29,0.0527,0.0487,-0.0358,0.055,0.0505,-0.0349
1,A,2012/03/30,-0.0726,0.0012,-0.0055,-0.0724,0.0035,0.006
1,A,2012/04/27,0.0551,0.0467,-0.0042,0.0554,0.0426,0.0053
1,A,2012/05/31,-0.0128,-0.0008,-0.0341,-0.0108,-0.012,-0.0353
1,A,2012/06/29,-0.0527,-0.015,-0.0144,-0.0512,-0.0145,0.002
1,A,2012/07/31,-0.0521,-0.0385,0.0088,-0.0535,-0.0363,0.0222
1,A,2012/08/31,-0.0281,0.0564,-0.0177,-0.0285,0.0567,-0.0087
1,A,2012/09/28,0.0211,-0.0328,-0.0189,0.0186,-0.0373,-0.0222
1,A,2012/10/31,-0.0121,0.0146,0.0226,-0.0113,0.021,0.0284
1,A,2012/11/30,-0.0461,-0.0509,0.0528,-0.0461,-0.0464,0.0455
1,A,2012/12/31,0.1427,0.0231,0.0128,0.143,0.0182,-0.0002
1,A,2013/01/31,0.0435,0.0444,-0.0139,0.0477,0.0419,-0.0158
1,A,2013/02/28,-0.0127,0.0232,-0.0145,-0.0117,0.0244,-0.0143
1,A,2013/03/29,-0.0564,0.0092,-0.0208,-0.058,0.0091,-0.0019
1,A,2013/04/26,-0.0299,-0.0044,-0.008,-0.0293,-0.0007,0.001
1,A,2013/05/31,0.0536,0.0644,-0.0285,0.0552,0.0605,-0.0485
1,A,2013/06/28,-0.1318,-0.0307,-0.0202,-0.1299,-0.0351,-0.0062
1,A,2013/07/31,0.0116,0.0228,-0.0082,0.011,0.017,0.0024
1,A,2013/08/30,0.0456,0.0754,0.0387,0.0483,0.0759,0.0234
1,A,2013/09/30,0.0324,-0.0117,0.012,0.0354,-0.0191,0.0072
