股票代码_Stkcd,日期_Date,收盘价_ClPr,总股数_Fullshr,流通股_Trdshr,月收益率_Monret,月无风险收益率_Monrfret,市盈率_PE
635,2017/12/29,14.53,303087602,303087602,-0.0287,0.00403,25.41
635,2018/01/31,14.15,303087602,303087602,-0.0262,0.003924,45.96
635,2018/02/28,12.91,303087602,303087602,-0.0876,0.003924,41.93
635,2018/03/30,12.94,303087602,303087602,0.0023,0.003899,42.03
635,2018/04/27,11.31,303087602,303087602,-0.126,0.003464,42.86
635,2018/05/31,11.18,303087602,303087602,-0.0115,0.003425,42.36
635,2018/06/29,9.27,303087602,303087602,-0.1708,0.003597,35.13
635,2018/07/31,11.19,303087602,303087602,0.2071,0.003002,31.37
635,2018/08/31,12.5,303087602,303087602,0.1171,0.002402,35.04
635,2018/09/28,11.93,303087602,303087602,-0.0456,0.002368,33.45
635,2018/10/31,8.6,303087602,303087602,-0.1785,0.002386,33.79
635,2018/11/30,8.48,303087602,303087602,-0.014,0.002526,33.32
635,2018/12/28,8.5,303087602,303087602,0.0024,0.002664,33.4
635,2019/01/31,7.85,303087602,303087602,-0.0765,0.002511,88.6
635,2019/02/28,9.19,303087602,303087602,0.1707,0.002357,103.72
635,2019/03/29,9.95,303087602,303087602,0.0827,0.002325,112.3
635,2019/04/30,9.71,303087602,303087602,-0.0241,0.002339,1348.61
635,2019/05/31,8.75,303087602,303087602,-0.0906,0.002423,1215.28
635,2019/06/28,8.63,303087602,303087602,-0.0137,0.002404,1198.61
635,2019/07/31,8.41,303087602,303087602,-0.0255,0.002185,-104.73
635,2019/08/30,7.59,303087602,303087602,-0.0975,0.002218,-94.52
635,2019/09/30,7.69,303087602,303087602,0.0132,0.002261,-95.77
635,2019/10/31,7.75,303087602,303087602,0.0078,0.002304,993.59
635,2019/11/29,7.3,303087602,303087602,-0.0581,0.00249,935.9
635,2019/12/31,7.86,303087602,303087602,0.0767,0.002524,1007.69
636,2000/01/28,32.27,313553969,83835000,0.4247,0.00165,45.45
636,2000/02/29,32,313553969,83835000,-0.0084,0.00165,45.07
636,2000/03/31,29.55,313553969,83835000,-0.0766,0.00165,41.62
636,2000/04/28,34.88,313553969,83835000,0.1871,0.00165,43.21
636,2000/05/31,33.98,353553969,123835000,-0.0258,0.00165,47.46
636,2000/06/30,38.71,353553969,123835000,0.1392,0.00165,54.07
636,2000/07/31,40.47,353553969,123835000,0.0455,0.00165,50.45
636,2000/08/31,38.51,353553969,123835000,-0.0484,0.00165,48
636,2000/09/29,24.86,530743540,185752500,-0.0317,0.00165,46.52
636,2000/10/31,24.08,530743540,185752500,-0.0314,0.00165,39.33
636,2000/11/30,26.54,530743540,185752500,0.1022,0.00165,43.35
636,2000/12/29,26.85,530330955,185752500,0.0117,0.00165,43.86
636,2001/01/19,24.57,530330955,185752500,-0.0849,0.00165,35.58
636,2001/02/28,22.54,530330955,185752500,-0.0826,0.00165,32.64
636,2001/03/30,23.26,530330955,185752500,0.0319,0.00165,33.68
636,2001/04/30,21.12,530330955,200794200,-0.092,0.00165,35.26
636,2001/05/31,19.99,530330955,200794200,-0.0464,0.00165,33.37
636,2001/06/29,17.15,530330955,200794200,-0.1421,0.00165,28.63
636,2001/07/31,13.43,530330955,200794200,-0.2169,0.00165,26.46
636,2001/08/31,12.65,530330955,200794200,-0.0581,0.00165,24.92
636,2001/09/28,9.56,530330955,200794200,-0.2443,0.00165,18.84
636,2001/10/31,10.67,530330955,200794200,0.1161,0.00165,36.26
636,2001/11/30,10.38,530330955,200794200,-0.0272,0.00165,35.27
636,2001/12/31,9.27,530330955,200794200,-0.1069,0.00165,31.5
636,2002/01/31,8.62,530330955,200794200,-0.0701,0.00165,106.42
636,2002/02/28,9.23,530330955,200794200,0.0708,0.001586,113.95
636,2002/03/29,10.41,530330955,200794200,0.1278,0.001425,128.52
636,2002/04/30,11.19,530330955,200794200,0.0749,0.001425,712.74
636,2002/05/31,11.18,530330955,200794200,-0.0009,0.001425,712.1
636,2002/06/28,12.76,530330955,200794200,0.1413,0.001425,812.74
636,2002/07/31,11.33,530330955,200794200,-0.1089,0.001425,-453.2
636,2002/08/30,10.42,530330955,200794200,-0.0803,0.001656,-416.8
636,2002/09/27,9.77,530330955,200794200,-0.0624,0.001852,-390.8
636,2002/10/31,9.32,530330955,200794200,-0.0461,0.001892,287.65
636,2002/11/29,8.62,530330955,200794200,-0.0751,0.001892,266.05
636,2002/12/31,8.27,530330955,200794200,-0.0406,0.001892,255.25
636,2003/01/29,9.41,530330955,200794200,0.1378,0.001892,224.05
636,2003/02/28,8.91,530330955,200794200,-0.0531,0.001892,212.14
636,2003/03/31,8.02,530330955,200794200,-0.0999,0.001892,190.95
636,2003/04/30,7.19,530330955,200794200,-0.1035,0.001886,138.8
636,2003/05/30,8.2,530330955,200794200,0.1405,0.001823,158.3
636,2003/06/30,7.45,530330955,200794200,-0.0915,0.001891,143.82
636,2003/07/31,7.17,530330955,200794200,-0.0342,0.001945,170.31
636,2003/08/29,7.1,530330955,200794200,-0.0098,0.001964,168.65
636,2003/09/30,6.68,530330955,200794200,-0.0592,0.002225,158.67
636,2003/10/31,5.59,530330955,200794200,-0.1632,0.002246,204.76
