date,mkt,ten_return
2010/01/05 0:00,0.00565,-0.0062
2010/01/06 0:00,-0.00205,0.0318
2010/01/07 0:00,-0.01975,0.0154
2010/01/08 0:00,0.00625,-0.0318
2010/01/11 0:00,0.00165,0.0215
2010/01/12 0:00,0.019849,-0.0185
2010/01/13 0:00,-0.016351,-0.1744
2010/01/14 0:00,0.021649,0.0113
2010/01/15 0:00,0.006349,0.0575
2010/01/18 0:00,0.011649,0.0298
2010/01/19 0:00,-0.002951,0.0544
2010/01/20 0:00,-0.038151,0.1528
2010/01/21 0:00,0.002048,0.0696
2010/01/22 0:00,-0.028452,0.0686
2010/01/25 0:00,-0.011752,0.1483
2010/01/26 0:00,-0.032252,0.0552
2010/01/27 0:00,-0.008052,0.1092
2010/01/28 0:00,0.008848,0.0714
2010/01/29 0:00,0.006148,0.1213
2010/02/01 0:00,-0.016152,0.4264
2010/02/02 0:00,-0.006052,0.0486
2010/02/03 0:00,0.018648,0.2765
2010/02/04 0:00,0.002948,-0.0646
2010/02/05 0:00,-0.020952,0.0657
2010/02/08 0:00,0.002148,0.303
2010/02/09 0:00,0.001248,0.0574
2010/02/10 0:00,0.015547,-0.1117
2010/02/11 0:00,0.000947,0.0171
2010/02/12 0:00,0.012047,0.1481
2010/02/22 0:00,-0.000953,-0.1026
2010/02/23 0:00,-0.001253,0.0514
2010/02/24 0:00,0.023147,0.1037
2010/02/25 0:00,0.017747,0.1036
2010/02/26 0:00,-0.001453,0.2953
2010/03/02 0:00,-0.000853,0.1956
2010/03/03 0:00,0.008647,0.1175
2010/03/04 0:00,-0.030453,-0.2418
2010/03/05 0:00,0.002347,-0.1157
2010/03/08 0:00,0.009647,0.1857
2010/03/09 0:00,0.003747,-0.0149
2010/03/10 0:00,-0.010353,-0.0857
2010/03/11 0:00,-0.000953,-0.2434
2010/03/12 0:00,-0.014353,-0.046
2010/03/15 0:00,-0.011053,0.011
2010/03/16 0:00,0.006347,0.102
2010/03/17 0:00,0.025347,0.2738
2010/03/18 0:00,0.001547,0.1953
2010/03/19 0:00,0.007947,0.0607
2010/03/22 0:00,0.004647,-0.1084
2010/03/23 0:00,-0.004053,-0.0309
2010/03/24 0:00,0.005447,-0.005
2010/03/25 0:00,-0.010553,-0.001
2010/03/26 0:00,0.009247,-0.0727
2010/03/29 0:00,0.012947,-0.1534
2010/03/30 0:00,0.006847,-0.0798
2010/03/31 0:00,0.002647,-0.1158
2010/04/01 0:00,0.014647,-0.019
2010/04/02 0:00,0.004847,0.019
2010/04/06 0:00,0.002747,-0.051
2010/04/07 0:00,0.003347,-0.2251
2010/04/08 0:00,-0.007353,-0.0983
2010/04/09 0:00,0.014947,-0.0692
2010/04/12 0:00,0.002547,0.0271
2010/04/13 0:00,-0.012453,0.1335
2010/04/14 0:00,0.006147,0.0852
2010/04/15 0:00,-0.013653,-0.023
2010/04/16 0:00,-0.002053,0.0551
2010/04/19 0:00,-0.044953,0.3165
2010/04/20 0:00,0.003247,0.2665
2010/04/21 0:00,0.028547,0.0398
2010/04/22 0:00,0.001747,0.006
2010/04/23 0:00,-0.007453,0.1702
2010/04/26 0:00,-0.006053,0.1679
2010/04/27 0:00,-0.025853,0.0704
2010/04/28 0:00,-0.006653,0.2547
2010/04/29 0:00,-0.026853,0.0287
2010/04/30 0:00,-0.018153,0.004
2010/05/04 0:00,-0.007353,-0.0909
2010/05/05 0:00,0.023047,0.0228
2010/05/06 0:00,-0.037553,0.0633
2010/05/07 0:00,-0.022853,0.3756
2010/05/10 0:00,-0.015453,0.0364
2010/05/11 0:00,-0.026553,-0.0866
2010/05/12 0:00,-0.013553,0.1034
2010/05/13 0:00,0.026447,0.0807
2010/05/14 0:00,0.001547,0.056
2010/05/17 0:00,-0.061153,0.1808
2010/05/18 0:00,0.016947,0.2541
2010/05/19 0:00,0.004747,0.1654
2010/05/20 0:00,-0.014053,0.0801
2010/05/21 0:00,0.027446,-0.082
2010/05/24 0:00,0.045446,-0.1592
2010/05/25 0:00,-0.011655,-0.0773
2010/05/26 0:00,-0.001356,0.0783
2010/05/27 0:00,0.020743,-0.045
2010/05/28 0:00,0.002143,-0.0078
2010/05/31 0:00,-0.028058,-0.0783
2010/06/01 0:00,-0.01706,-0.0186
2010/06/02 0:00,0.014739,-0.0559
2010/06/03 0:00,-0.007362,0.05
2010/06/04 0:00,0.010038,0.0588
2010/06/07 0:00,-0.001162,0.1146
2010/06/08 0:00,0.007438,-0.0029
2010/06/09 0:00,0.025438,-0.1076
2010/06/10 0:00,0.002737,-0.1195
2010/06/11 0:00,-0.002163,-0.0559
2010/06/18 0:00,-0.038666,-0.4152
2010/06/21 0:00,0.029833,-0.1695
2010/06/22 0:00,0.005931,0.2271
2010/06/23 0:00,-0.00247,-0.1064
2010/06/24 0:00,0.001829,0.0828
2010/06/25 0:00,-0.018772,0.0049
2010/06/28 0:00,-0.015972,0.2385
2010/06/29 0:00,-0.056572,0.3893
2010/09/02 0:00,0.018731,-0.0106
2010/09/03 0:00,0.005331,-0.001
2010/09/06 0:00,-0.000469,-0.0174
2010/09/07 0:00,0.007131,-0.087
2010/09/08 0:00,0.007731,-0.0058
2010/09/09 0:00,-0.01417,-0.001
2010/09/10 0:00,0.00693,-0.2302
2010/09/13 0:00,0.01563,-0.0901
2010/09/14 0:00,0.00113,-0.0495
2010/09/15 0:00,-0.02257,-0.0951
2010/09/16 0:00,-0.02207,-0.104
2010/09/17 0:00,0.00013,-0.105
2010/09/20 0:00,-0.01197,0.1256
2010/09/21 0:00,-0.00017,-0.0924
2010/09/27 0:00,0.023229,0.0633
2010/09/28 0:00,-0.006571,-0.0564
2010/09/29 0:00,-0.012171,0.0292
2010/10/08 0:00,0.028828,0.2248
2010/10/11 0:00,0.008428,-0.472
2010/10/12 0:00,0.007028,-0.0732
2010/10/13 0:00,0.007428,0
2010/10/14 0:00,-0.019272,0.0615
2010/10/15 0:00,0.004727,-0.0273
2010/10/18 0:00,-0.013973,-0.0078
2010/10/19 0:00,0.030427,0.082
2010/10/20 0:00,0.007225,-0.9978
2010/10/21 0:00,0.006724,-0.7734
2010/10/22 0:00,0.011524,0.0894
2010/10/25 0:00,0.030523,0.0288
2010/10/26 0:00,0.001523,-0.1319
2010/10/27 0:00,-0.010477,-0.1102
2010/10/28 0:00,0.002823,0.002
2010/10/29 0:00,0.008622,-0.0646
2010/11/01 0:00,0.029722,-0.0537
2010/11/02 0:00,-0.006578,-0.0995
2010/11/03 0:00,-0.018778,-0.264
2010/11/04 0:00,0.020622,-0.2537
2010/11/05 0:00,0.012722,-0.008
2010/11/08 0:00,0.019022,-0.0411
2010/11/09 0:00,0.003322,-0.2184
2010/11/10 0:00,0.006622,-0.5934
2010/11/11 0:00,-0.006079,-0.603
2010/11/12 0:00,-0.063379,0.0976
2010/11/15 0:00,0.024721,0.0132
2010/11/16 0:00,-0.036279,0.0629
2010/11/17 0:00,-0.034479,-0.0284
2010/11/18 0:00,0.017821,0.5662
2010/11/19 0:00,0.030421,0.0585
2010/11/22 0:00,0.01242,-0.4074
2010/11/23 0:00,-0.010581,-0.3595
2010/11/24 0:00,0.026417,0.1321
2010/11/25 0:00,0.003216,-0.0609
2010/11/26 0:00,-0.003886,-0.1726
2010/11/29 0:00,0.004813,0.0448
2010/11/30 0:00,-0.024389,0.0783
2010/12/01 0:00,-0.00309,0.2713
2010/12/02 0:00,0.004809,0.3628
2010/12/03 0:00,-0.007192,0.1535
2010/12/06 0:00,-0.012192,0.1028
2010/12/07 0:00,0.017607,0.0715
2010/12/08 0:00,-0.003594,-0.0262
2010/12/09 0:00,-0.019597,-0.2979
2010/12/10 0:00,0.014,0.1373
2010/12/13 0:00,0.0323,0.124
2010/12/14 0:00,0.009198,-0.0413
2010/12/15 0:00,-0.004505,0.1249
2010/12/16 0:00,0.001194,0.1227
2010/12/17 0:00,0.001494,0.1769
2010/12/20 0:00,-0.012907,0.0602
2010/12/21 0:00,0.013192,0.0722
2010/12/22 0:00,-0.008613,-0.0761
2010/12/24 0:00,-0.018619,0.0351
2010/12/27 0:00,-0.025725,-0.5878
2010/12/28 0:00,-0.019226,0.005
2010/12/29 0:00,0.015473,-0.0272
2010/12/30 0:00,0.004373,0.0595
2010/12/31 0:00,0.023973,0.2259
2011/01/04 0:00,0.016375,0.317
2011/01/05 0:00,-0.001124,0.1515
2011/01/06 0:00,-0.006722,0.017
2011/01/07 0:00,-0.008021,-0.0751
2011/01/10 0:00,-0.026319,0.1473
2011/01/11 0:00,-0.006317,-0.1341
2011/01/12 0:00,0.004185,0.014
2011/01/13 0:00,-0.000114,-0.0902
2011/01/14 0:00,-0.020613,-0.2427
2011/01/17 0:00,-0.043913,0.0372
2011/01/18 0:00,0.002486,-0.4934
2011/01/19 0:00,0.024081,0.0263
2011/01/20 0:00,-0.035328,-0.0707
2011/01/21 0:00,0.006465,0.1182
2011/01/24 0:00,-0.024938,-0.2493
2011/01/25 0:00,-0.012044,-0.1214
2011/01/26 0:00,0.016351,0.1003
2011/01/27 0:00,0.018148,0.001
2011/01/28 0:00,0.009546,0.0172
2011/01/31 0:00,0.010343,0.004
2011/02/01 0:00,0.000245,0.0941
2011/02/09 0:00,-0.010357,-0.7884
2011/02/10 0:00,0.029746,0.1335
2011/02/11 0:00,0.011451,0.2198
2011/02/14 0:00,0.023163,0.4436
2011/02/15 0:00,-0.000632,-0.1011
2011/02/16 0:00,0.017969,0.1599
2011/02/17 0:00,0.002671,-0.1091
2011/02/18 0:00,-0.010729,0.0435
2011/02/21 0:00,0.019966,-0.1284
2011/02/22 0:00,-0.028235,0.084
2011/02/23 0:00,0.009065,0.449
2011/02/24 0:00,0.004465,0.2215
2011/02/25 0:00,0.000465,-0.0512
2011/02/28 0:00,0.012765,0.1116
2011/03/01 0:00,0.002268,0.1034
2011/03/02 0:00,-0.004628,0.1605
2011/03/03 0:00,-0.017024,-0.0721
2011/03/04 0:00,0.011478,-0.017
2011/03/07 0:00,0.013879,0
2011/03/08 0:00,0.003182,0.1664
2011/03/09 0:00,0.002784,0.1311
2011/03/10 0:00,-0.007115,-0.0899
2011/03/11 0:00,-0.002415,-0.11
2011/03/14 0:00,0.009085,0.2493
2011/03/15 0:00,-0.013615,0.5123
2011/03/16 0:00,0.011584,-0.151
2011/03/17 0:00,-0.018716,0.0886
2011/03/18 0:00,0.006484,-0.0646
2011/03/21 0:00,-0.006117,-0.2368
2011/03/22 0:00,-0.000717,0.0409
2011/03/23 0:00,0.012083,-0.0229
2011/03/24 0:00,-0.000716,0.2323
2011/03/25 0:00,0.006984,0.0209
2011/03/28 0:00,-0.007215,-0.1372
2011/03/29 0:00,-0.019614,-0.1554
2011/03/30 0:00,-0.008914,0.003
2011/03/31 0:00,-0.009414,0.011
2011/04/01 0:00,0.010386,0.0289
2011/04/06 0:00,-0.003516,-0.016
2011/04/07 0:00,0.007284,0.0538
2011/04/08 0:00,0.012583,0.1326
2011/04/11 0:00,-0.008816,0.0727
2011/04/12 0:00,-0.003016,0.1382
2011/04/13 0:00,0.011884,0.1569
2011/04/14 0:00,-0.003216,-0.0863
2011/04/15 0:00,-0.001616,0.0466
2011/04/18 0:00,0.000183,-0.0774
2011/04/19 0:00,-0.010617,0.0457
2011/04/20 0:00,0.003782,-0.1121
2011/04/21 0:00,0.006681,0.0248
2011/04/22 0:00,-0.00672,0
2011/04/25 0:00,-0.020823,0.0159
2011/04/26 0:00,-0.014224,0.0248
2011/04/27 0:00,-0.012824,0.0874
2011/04/28 0:00,-0.029324,0.0546
2011/04/29 0:00,0.014776,-0.0585
2011/05/03 0:00,0.011276,0.243
2011/05/04 0:00,-0.022924,0.0059
2011/05/05 0:00,0.002976,0.0208
2011/05/06 0:00,0.003876,0.2157
2011/05/13 0:00,0.005676,0.0158
2011/05/16 0:00,-0.002624,-0.0109
2011/05/17 0:00,-0.001725,0.0148
2011/05/18 0:00,0.004875,0.0118
2011/05/19 0:00,-0.004825,0.003
2011/05/20 0:00,-0.004125,-0.0089
2011/05/23 0:00,-0.037425,0.0552
2011/05/24 0:00,0.001174,0.0444
2011/05/26 0:00,-0.010327,0.0148
2011/05/27 0:00,-0.020327,0.1163
2011/05/30 0:00,-0.010426,-0.0049
2011/05/31 0:00,0.019774,-0.0876
2011/06/01 0:00,0.009674,0.1232
2011/06/02 0:00,-0.014826,-0.2263
2011/06/03 0:00,0.017074,0.0276
2011/06/07 0:00,0.007574,0.0237
2011/06/08 0:00,0.003372,-0.0384
2011/06/09 0:00,-0.02143,-0.3994
2011/06/10 0:00,0.000569,0.0614
2011/06/13 0:00,-0.002334,0.0079
2011/06/14 0:00,0.015765,-0.2978
2011/06/15 0:00,-0.009645,-0.5756
2011/06/16 0:00,-0.019553,0.0569
2011/06/17 0:00,-0.011455,0.3611
2011/06/20 0:00,-0.011557,0.1143
2011/06/21 0:00,0.01494,0.3435
2011/06/22 0:00,-0.000666,-0.4532
2011/06/23 0:00,0.021525,-0.0268
2011/06/24 0:00,0.023725,0.5309
2011/06/27 0:00,0.010924,0.1058
2011/06/28 0:00,0.002823,-0.079
2011/06/29 0:00,-0.011277,-0.0089
2011/06/30 0:00,0.014625,-0.0475
2011/07/01 0:00,0.005925,0.1335
2011/07/04 0:00,0.024126,0.1018
2011/07/05 0:00,0.006126,-0.0276
2011/07/06 0:00,0.003926,-0.0444
2011/07/07 0:00,0.001327,0.0356
2011/07/08 0:00,-0.000673,0.001
2011/07/11 0:00,0.007429,-0.1896
2011/07/12 0:00,-0.01507,0.1454
2011/07/13 0:00,0.018633,-0.0435
2011/07/14 0:00,0.007333,-0.0791
2011/07/15 0:00,0.007435,-0.0079
2011/07/18 0:00,-0.000364,-0.1286
2011/07/19 0:00,-0.013264,-0.4743
2011/07/20 0:00,0.001736,-0.5383
2011/07/21 0:00,-0.011563,-0.2371
2011/07/22 0:00,0.004336,0.4332
2011/07/25 0:00,-0.038465,-0.0679
2011/07/26 0:00,0.004735,-0.001
