,yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,PPIG,IPG,DP,EP,VOL,BILL,BOND,TERM,CREDIT,MA112,MA312,MOM6,ExRet
0,187101,4.44,0.2600,0.4000,,,,,,,0.004967,,,,,,,,,,-2.837728,-2.406945,,,,,,0,0,0,
1,187102,4.50,0.2600,0.4000,,,,,,,0.004525,,,,,,,,,,-2.851151,-2.420368,,,,,,0,0,0,
2,187103,4.61,0.2600,0.4000,,,,,,,0.004252,,,,,,,,,,-2.875302,-2.444519,,,,,,0,0,0,
3,187104,4.74,0.2600,0.4000,,,,,,,0.004643,,,,,,,,,,-2.903111,-2.472328,,,,,,0,0,0,
4,187105,4.86,0.2600,0.4000,,,,,,,0.003698,,,,,,,,,,-2.928112,-2.497329,,,,,,0,0,0,
5,187106,4.82,0.2600,0.4000,,,,,,,0.003373,,,,,,,,,,-2.919848,-2.489065,,,,,,0,0,0,
6,187107,4.73,0.2600,0.4000,,,,,,,0.003255,,,,,,,,,,-2.900999,-2.470216,,,,,,0,0,1,
7,187108,4.79,0.2600,0.4000,,,,,,,0.003713,,,,,,,,,,-2.913604,-2.482821,,,,,,0,0,1,
8,187109,4.84,0.2600,0.4000,,,,,,,0.004554,,,,,,,,,,-2.923988,-2.493205,,,,,,0,0,1,
9,187110,4.59,0.2600,0.4000,,,,,,,0.007041,,,,,,,,,,-2.870954,-2.440171,,,,,,0,0,0,
10,187111,4.64,0.2600,0.4000,,,,,,,0.006488,,,,,,,,,,-2.881788,-2.451005,,,,,,0,0,0,
11,187112,4.74,0.2600,0.4000,,,,,,,0.006975,,,,,,,,,,-2.903111,-2.472328,,,,,,1,0,0,
12,187201,4.86,0.2633,0.4025,,,,,,,0.005764,,,,,,,,,,-2.915500,-2.491099,,,,,,1,1,1,
13,187202,4.88,0.2667,0.4050,,,,,,,0.005218,,,,,,,,,,-2.906776,-2.489013,,,,,,1,1,1,
14,187203,5.04,0.2700,0.4075,,,,,,,0.006001,,,,,,,,,,-2.926739,-2.515120,,,,,,1,1,1,
15,187204,5.18,0.2733,0.4100,,,,,,,0.006030,,,,,,,,,,-2.941990,-2.536403,,,,,,1,1,1,
16,187205,5.18,0.2767,0.4125,,,,,,,0.004953,,,,,,,,,,-2.929626,-2.530324,,,,,,1,1,1,
17,187206,5.13,0.2800,0.4150,,,,,,,0.004067,,,,,,,,,,-2.908071,-2.514582,,,,,,1,1,1,
18,187207,5.10,0.2833,0.4175,,,,,,,0.004399,,,,,,,,,,-2.890489,-2.502711,,,,,,1,1,1,
19,187208,5.04,0.2867,0.4200,,,,,,,0.005218,,,,,,,,,,-2.866725,-2.484907,,,,,,1,1,1,
20,187209,4.95,0.2900,0.4225,,,,,,,0.007019,,,,,,,,,,-2.837262,-2.460953,,,,,,1,1,0,
21,187210,4.97,0.2933,0.4250,,,,,,,0.007609,,,,,,,,,,-2.829979,-2.459086,,,,,,0,1,0,
22,187211,4.95,0.2967,0.4275,,,,,,,0.008214,,,,,,,,,,-2.814421,-2.449189,,,,,,0,0,0,
23,187212,5.07,0.3000,0.4300,,,,,,,0.007631,,,,,,,,,,-2.827314,-2.467311,,,,,,1,0,0,
24,187301,5.11,0.3025,0.4325,,,,,,,0.006488,,,,,,,,,,-2.826873,-2.469372,,,,,,1,0,1,
25,187302,5.15,0.3050,0.4350,,,,,,,0.006561,,,,,,,,,,-2.826440,-2.471406,,,,,,1,1,1,
26,187303,5.11,0.3075,0.4375,,,,,,,0.007107,,,,,,,,,,-2.810480,-2.457878,,,,,,1,1,1,
27,187304,5.04,0.3100,0.4400,,,,,,,0.008052,,,,,,,,,,-2.788589,-2.438387,,,,,,0,1,1,
28,187305,5.05,0.3125,0.4425,,,,,,,0.005632,,,,,,,,,,-2.782539,-2.434703,,,,,,0,1,1,
29,187306,4.98,0.3150,0.4450,,,,,,,0.004680,,,,,,,,,,-2.760613,-2.415111,,,,,,0,0,0,
30,187307,4.97,0.3175,0.4475,,,,,,,0.004392,,,,,,,,,,-2.750697,-2.407499,,,,,,0,0,0,
31,187308,4.97,0.3200,0.4500,,,,,,,0.004849,,,,,,,,,,-2.742854,-2.401928,,,,,,0,0,0,
32,187309,4.59,0.3225,0.4525,,,,,,,0.010177,,,,,,,,,,-2.655532,-2.316848,,,,,,0,0,0,
33,187310,4.19,0.3250,0.4550,,,,,,,0.011815,,,,,,,,,,-2.556631,-2.220159,,,,,,0,0,0,
34,187311,4.04,0.3275,0.4575,,,,,,,0.010340,,,,,,,,,,-2.512512,-2.178223,,,,,,0,0,0,
35,187312,4.42,0.3300,0.4600,,,,,,,0.006871,,,,,,,,,,-2.594802,-2.262668,,,,,,0,0,0,
36,187401,4.66,0.3300,0.4600,,,,,,,0.005130,,,,,,,,,,-2.647678,-2.315544,,,,,,0,0,0,
37,187402,4.80,0.3300,0.4600,,,,,,,0.004067,,,,,,,,,,-2.677279,-2.345145,,,,,,1,0,0,
38,187403,4.73,0.3300,0.4600,,,,,,,0.004170,,,,,,,,,,-2.662588,-2.330454,,,,,,1,1,1,
39,187404,4.60,0.3300,0.4600,,,,,,,0.004252,,,,,,,,,,-2.634719,-2.302585,,,,,,0,1,1,
40,187405,4.48,0.3300,0.4600,,,,,,,0.003816,,,,,,,,,,-2.608286,-2.276152,,,,,,0,0,1,
41,187406,4.46,0.3300,0.4600,,,,,,,0.003742,,,,,,,,,,-2.603811,-2.271678,,,,,,0,0,1,
42,187407,4.46,0.3300,0.4600,,,,,,,0.003779,,,,,,,,,,-2.603811,-2.271678,,,,,,0,0,0,
43,187408,4.47,0.3300,0.4600,,,,,,,0.003654,,,,,,,,,,-2.606051,-2.273917,,,,,,0,0,0,
44,187409,4.54,0.3300,0.4600,,,,,,,0.004252,,,,,,,,,,-2.621590,-2.289456,,,,,,1,1,0,
45,187410,4.53,0.3300,0.4600,,,,,,,0.003927,,,,,,,,,,-2.619385,-2.287251,,,,,,1,0,0,
46,187411,4.57,0.3300,0.4600,,,,,,,0.003787,,,,,,,,,,-2.628176,-2.296042,,,,,,1,0,1,
47,187412,4.54,0.3300,0.4600,,,,,,,0.004067,,,,,,,,,,-2.621590,-2.289456,,,,,,0,0,1,
48,187501,4.54,0.3275,0.4517,,,,,,,0.003514,,,,,,,,,,-2.629194,-2.307664,,,,,,0,0,1,
49,187502,4.53,0.3250,0.4433,,,,,,,0.003469,,,,,,,,,,-2.634652,-2.324230,,,,,,0,0,1,
50,187503,4.59,0.3225,0.4350,,,,,,,0.003993,,,,,,,,,,-2.655532,-2.356289,,,,,,1,1,1,
51,187504,4.65,0.3200,0.4267,,,,,,,0.003654,,,,,,,,,,-2.676302,-2.388541,,,,,,1,1,1,
52,187505,4.47,0.3175,0.4183,,,,,,,0.003005,,,,,,,,,,-2.644666,-2.368945,,,,,,0,1,0,
53,187506,4.38,0.3150,0.4100,,,,,,,0.002997,,,,,,,,,,-2.632231,-2.368647,,,,,,0,0,0,
54,187507,4.39,0.3125,0.4017,,,,,,,0.002820,,,,,,,,,,-2.642480,-2.391379,,,,,,0,0,0,
55,187508,4.41,0.3100,0.3933,,,,,,,0.003285,,,,,,,,,,-2.655058,-2.417057,,,,,,0,0,0,
56,187509,4.37,0.3075,0.3850,,,,,,,0.003986,,,,,,,,,,-2.654043,-2.429275,,,,,,0,0,0,
57,187510,4.30,0.3050,0.3767,,,,,,,0.004296,,,,,,,,,,-2.646059,-2.434921,,,,,,0,0,0,
58,187511,4.37,0.3025,0.3683,,,,,,,0.004355,,,,,,,,,,-2.670437,-2.473620,,,,,,0,0,0,
59,187512,4.37,0.3000,0.3600,,,,,,,0.004517,,,,,,,,,,-2.678736,-2.496414,,,,,,0,0,0,
60,187601,4.46,0.3000,0.3533,,,,,,,0.004392,,,,,,,,,,-2.699122,-2.535586,,,,,,1,0,1,
61,187602,4.52,0.3000,0.3467,,,,,,,0.003573,,,,,,,,,,-2.712485,-2.567807,,,,,,1,1,1,
62,187603,4.51,0.3000,0.3400,,,,,,,0.003617,,,,,,,,,,-2.710270,-2.585107,,,,,,1,1,1,
63,187604,4.34,0.3000,0.3333,,,,,,,0.003698,,,,,,,,,,-2.671847,-2.566587,,,,,,0,1,1,
64,187605,4.18,0.3000,0.3267,,,,,,,0.003366,,,,,,,,,,-2.634284,-2.549024,,,,,,0,0,0,
65,187606,4.15,0.3000,0.3200,,,,,,,0.003145,,,,,,,,,,-2.627081,-2.562543,,,,,,0,0,0,
66,187607,4.10,0.3000,0.3133,,,,,,,0.002451,,,,,,,,,,-2.614960,-2.571581,,,,,,0,0,0,
67,187608,3.93,0.3000,0.3067,,,,,,,0.002296,,,,,,,,,,-2.572612,-2.550525,,,,,,0,0,0,
68,187609,3.69,0.3000,0.3000,,,,,,,0.003145,,,,,,,,,,-2.509599,-2.509599,,,,,,0,0,0,
69,187610,3.67,0.3000,0.2933,,,,,,,0.003824,,,,,,,,,,-2.504164,-2.526751,,,,,,0,0,0,
70,187611,3.60,0.3000,0.2867,,,,,,,0.003654,,,,,,,,,,-2.484907,-2.530253,,,,,,0,0,0,
71,187612,3.58,0.3000,0.2800,,,,,,,0.003979,,,,,,,,,,-2.479336,-2.548328,,,,,,0,0,0,
72,187701,3.55,0.2908,0.2817,,,,,,,0.003735,,,,,,,,,,-2.502067,-2.533860,,,,,,0,0,0,
73,187702,3.34,0.2817,0.2833,,,,,,,0.002960,,,,,,,,,,-2.472883,-2.467220,,,,,,0,0,0,
74,187703,3.17,0.2725,0.2850,,,,,,,0.002916,,,,,,,,,,-2.453848,-2.408998,,,,,,0,0,0,
75,187704,2.94,0.2633,0.2867,,,,,,,0.002872,,,,,,,,,,-2.412871,-2.327728,,,,,,0,0,0,
76,187705,2.94,0.2542,0.2883,,,,,,,0.002591,,,,,,,,,,-2.448044,-2.322163,,,,,,0,0,0,
77,187706,2.73,0.2450,0.2900,,,,,,,0.002636,,,,,,,,,,-2.410799,-2.242176,,,,,,0,0,0,
78,187707,2.85,0.2358,0.2917,,,,,,,0.002695,,,,,,,,,,-2.492090,-2.279348,,,,,,0,0,0,
79,187708,3.05,0.2267,0.2933,,,,,,,0.003801,,,,,,,,,,-2.599269,-2.341701,,,,,,0,0,0,
80,187709,3.24,0.2175,0.2950,,,,,,,0.004348,,,,,,,,,,-2.701130,-2.396353,,,,,,1,0,1,
81,187710,3.31,0.2083,0.2967,,,,,,,0.004990,,,,,,,,,,-2.765724,-2.411982,,,,,,1,1,1,
82,187711,3.26,0.1992,0.2983,,,,,,,0.004207,,,,,,,,,,-2.795173,-2.391383,,,,,,1,1,1,
83,187712,3.25,0.1900,0.3000,,,,,,,0.003787,,,,,,,,,,-2.839386,-2.382628,,,,,,1,1,1,
84,187801,3.25,0.1892,0.3008,,,,,,,0.003956,,,,,,,,,,-2.843606,-2.379965,,,,,,1,1,1,
85,187802,3.18,0.1883,0.3017,,,,,,,0.003558,,,,,,,,,,-2.826600,-2.355203,,,,,,1,1,1,
86,187803,3.24,0.1875,0.3025,,,,,,,0.003418,,,,,,,,,,-2.849550,-2.371247,,,,,,1,1,1,
87,187804,3.33,0.1867,0.3033,,,,,,,0.003595,,,,,,,,,,-2.881225,-2.396005,,,,,,1,1,1,
88,187805,3.34,0.1858,0.3042,,,,,,,0.002982,,,,,,,,,,-2.889055,-2.396041,,,,,,1,1,1,
89,187806,3.41,0.1850,0.3050,,,,,,,0.002451,,,,,,,,,,-2.914112,-2.414156,,,,,,1,1,1,
90,187807,3.48,0.1842,0.3058,,,,,,,0.002296,,,,,,,,,,-2.938765,-2.431856,,,,,,1,1,1,
91,187808,3.45,0.1833,0.3067,,,,,,,0.002451,,,,,,,,,,-2.935005,-2.420259,,,,,,1,1,1,
92,187809,3.52,0.1825,0.3075,,,,,,,0.003049,,,,,,,,,,-2.959466,-2.437741,,,,,,1,1,1,
93,187810,3.48,0.1817,0.3083,,,,,,,0.003661,,,,,,,,,,-2.952431,-2.423714,,,,,,1,1,1,
94,187811,3.47,0.1808,0.3092,,,,,,,0.003418,,,,,,,,,,-2.954518,-2.417922,,,,,,1,1,1,
95,187812,3.45,0.1800,0.3100,,,,,,,0.003373,,,,,,,,,,-2.953173,-2.409557,,,,,,1,1,1,
96,187901,3.58,0.1817,0.3158,,,,,,,0.002835,,,,,,,,,,-2.980761,-2.428009,,,,,,1,1,1,
97,187902,3.71,0.1833,0.3217,,,,,,,0.002451,,,,,,,,,,-3.007663,-2.445168,,,,,,1,1,1,
98,187903,3.65,0.1850,0.3275,,,,,,,0.003373,,,,,,,,,,-2.982127,-2.410994,,,,,,1,1,1,
99,187904,3.77,0.1867,0.3333,,,,,,,0.003661,,,,,,,,,,-3.005327,-2.425787,,,,,,1,1,1,
100,187905,3.94,0.1883,0.3392,,,,,,,0.002916,,,,,,,,,,-3.040900,-2.452346,,,,,,1,1,1,
101,187906,3.96,0.1900,0.3450,,,,,,,0.002776,,,,,,,,,,-3.036975,-2.440455,,,,,,1,1,1,
102,187907,4.04,0.1917,0.3508,,,,,,,0.002517,,,,,,,,,,-3.048068,-2.443784,,,,,,1,1,1,
103,187908,4.07,0.1933,0.3567,,,,,,,0.003742,,,,,,,,,,-3.047155,-2.434503,,,,,,1,1,1,
104,187909,4.22,0.1950,0.3625,,,,,,,0.003905,,,,,,,,,,-3.074591,-2.454566,,,,,,1,1,1,
105,187910,4.68,0.1967,0.3683,,,,,,,0.004023,,,,,,,,,,-3.169374,-2.542156,,,,,,1,1,1,
