,yyyymm,Ret,Rfree,ExRet,DP,EP,VOL,BILL,BOND,TERM,CREDIT,PPIG,IPG,MA112,MA312,MOM6,DPL1,EPL1,VOLL1,BILLL1,BONDL1,TERML1,CREDITL1,PPIGL1,IPGL1,MA112L1,MA312L1,MOM6L1
0,192701,-0.002910,0.002692,-0.005602,-2.942374,-2.374773,0.133608,-0.001625,-0.001508,0.0044,0.0115,-2.958580,-0.401711,1,1,1,-2.973012,-2.386837,0.133201,0.000808,-0.001400,0.0019,0.0114,-0.588235,-0.400104,1.0,1.0,1.0
1,192702,0.045522,0.002742,0.042780,-2.979535,-2.430353,0.138032,0.000192,-0.001700,0.0024,0.0120,1.219512,0.806663,1,1,1,-2.942374,-2.374773,0.133608,-0.001625,-0.001508,0.0044,0.0115,-2.958580,-0.401711,1.0,1.0,1.0
2,192703,0.007324,0.002667,0.004657,-2.976535,-2.445079,0.119803,0.000700,-0.002967,0.0002,0.0131,-0.602410,1.200312,1,1,1,-2.979535,-2.430353,0.138032,0.000192,-0.001700,0.0024,0.0120,1.219512,0.806663,1.0,1.0,1.0
3,192704,0.013021,0.002825,0.010196,-2.984225,-2.471309,0.110576,-0.000250,-0.002475,0.0013,0.0125,-1.212121,-2.372151,1,1,1,-2.976535,-2.445079,0.119803,0.000700,-0.002967,0.0002,0.0131,-0.602410,1.200312,1.0,1.0,1.0
4,192705,0.062353,0.002775,0.059578,-3.025963,-2.531446,0.128207,0.001392,-0.002725,-0.0012,0.0130,-0.613497,0.809930,1,1,1,-2.984225,-2.471309,0.110576,-0.000250,-0.002475,0.0013,0.0125,-1.212121,-2.372151,1.0,1.0,1.0
5,192706,-0.020370,0.002558,-0.022928,-3.007309,-2.531330,0.115162,0.000658,-0.001742,0.0001,0.0124,0.000000,-0.401711,1,1,1,-3.025963,-2.531446,0.128207,0.001392,-0.002725,-0.0012,0.0130,-0.613497,0.809930,1.0,1.0,1.0
6,192707,0.084450,0.002467,0.081983,-3.061144,-2.603707,0.131098,-0.002058,-0.001533,0.0026,0.0127,0.000000,-1.209994,1,1,1,-3.007309,-2.531330,0.115162,0.000658,-0.001742,0.0001,0.0124,0.000000,-0.401711,1.0,1.0,1.0
7,192708,0.033320,0.002250,0.031070,-3.095764,-2.656742,0.132363,-0.003033,-0.001567,0.0033,0.0127,1.234568,0.000000,1,1,1,-3.061144,-2.603707,0.131098,-0.002058,-0.001533,0.0026,0.0127,0.000000,-1.209994,1.0,1.0,1.0
8,192709,0.053016,0.002233,0.050783,-3.129097,-2.707759,0.146689,-0.005158,-0.001117,0.0060,0.0124,1.219512,-1.631612,1,1,1,-3.095764,-2.656742,0.132363,-0.003033,-0.001567,0.0033,0.0127,1.234568,0.000000,1.0,1.0,1.0
9,192710,-0.046804,0.002567,-0.049371,-3.065650,-2.662875,0.152707,-0.004742,-0.001267,0.0057,0.0126,0.602410,-2.075217,1,1,1,-3.129097,-2.707759,0.146689,-0.005158,-0.001117,0.0060,0.0124,1.219512,-1.631612,1.0,1.0,1.0
10,192711,0.070546,0.002533,0.068013,-3.122543,-2.738218,0.168484,-0.000325,-0.001450,0.0012,0.0129,-0.598802,0.000000,1,1,1,-3.065650,-2.662875,0.152707,-0.004742,-0.001267,0.0057,0.0126,0.602410,-2.075217,1.0,1.0,1.0
11,192712,0.019295,0.002642,0.016653,-3.132667,-2.766942,0.166042,-0.000467,-0.001533,0.0012,0.0130,0.000000,0.423839,1,1,1,-3.122543,-2.738218,0.168484,-0.000325,-0.001450,0.0012,0.0129,-0.598802,0.000000,1.0,1.0,1.0
12,192801,-0.007182,0.002758,-0.009940,-3.118894,-2.741324,0.167587,0.000750,-0.000783,0.0004,0.0125,0.000000,2.110251,1,1,1,-3.132667,-2.766942,0.166042,-0.000467,-0.001533,0.0012,0.0130,0.000000,0.423839,1.0,1.0,1.0
13,192802,-0.012549,0.002775,-0.015324,-3.092631,-2.704291,0.155657,0.002083,-0.000842,-0.0013,0.0128,-0.602410,0.825164,1,1,1,-3.118894,-2.741324,0.167587,0.000750,-0.000783,0.0004,0.0125,0.000000,2.110251,1.0,1.0,1.0
14,192803,0.105752,0.002725,0.103027,-3.186980,-2.788289,0.191269,0.002250,-0.000825,-0.0016,0.0129,0.000000,0.819890,1,1,1,-3.092631,-2.704291,0.155657,0.002083,-0.000842,-0.0013,0.0128,-0.602410,0.825164,1.0,1.0,1.0
15,192804,0.034725,0.003017,0.031708,-3.210431,-2.800832,0.199121,0.001592,-0.000508,-0.0008,0.0127,1.212121,-0.406611,1,1,1,-3.186980,-2.788289,0.191269,0.002250,-0.000825,-0.0016,0.0129,0.000000,0.819890,1.0,1.0,1.0
16,192805,0.012325,0.003250,0.009075,-3.214759,-2.795243,0.181021,0.004900,0.000292,-0.0035,0.0122,0.598802,1.224815,1,1,1,-3.210431,-2.800832,0.199121,0.001592,-0.000508,-0.0008,0.0127,1.212121,-0.406611,1.0,1.0,1.0
17,192806,-0.034330,0.003267,-0.037597,-3.165110,-2.735254,0.186072,0.007225,0.000258,-0.0064,0.0131,-0.595238,0.806663,1,1,1,-3.214759,-2.795243,0.181021,0.004900,0.000292,-0.0035,0.0122,0.598802,1.224815,1.0,1.0,1.0
18,192807,0.010117,0.003433,0.006684,-3.169302,-2.729377,0.159178,0.006717,0.001967,-0.0048,0.0117,0.598802,1.200312,1,1,1,-3.165110,-2.735254,0.186072,0.007225,0.000258,-0.0064,0.0131,-0.595238,0.806663,1.0,1.0,1.0
19,192808,0.070230,0.003633,0.066597,-3.232747,-2.783671,0.172532,0.007750,0.001567,-0.0071,0.0123,0.000000,1.975365,1,1,1,-3.169302,-2.729377,0.159178,0.006717,0.001967,-0.0048,0.0117,0.598802,1.200312,1.0,1.0,1.0
20,192809,0.022409,0.003808,0.018601,-3.248318,-2.790435,0.161459,0.008767,0.001933,-0.0090,0.0115,1.190476,0.775400,1,1,1,-3.232747,-2.783671,0.172532,0.007750,0.001567,-0.0071,0.0123,0.000000,1.975365,1.0,1.0,1.0
21,192810,0.013839,0.003917,0.009922,-3.254680,-2.787459,0.149532,0.009292,0.000842,-0.0121,0.0125,-1.764706,1.923584,1,1,1,-3.248318,-2.790435,0.161459,0.008767,0.001933,-0.0090,0.0115,1.190476,0.775400,1.0,1.0,1.0
22,192811,0.122975,0.003550,0.119425,-3.360085,-2.884377,0.168501,0.009242,0.000892,-0.0132,0.0120,-1.197605,1.885918,1,1,1,-3.254680,-2.787459,0.149532,0.009292,0.000842,-0.0121,0.0125,-1.764706,1.923584,1.0,1.0,1.0
23,192812,0.006232,0.003550,0.002682,-3.355051,-2.870448,0.163774,0.003825,0.000892,-0.0086,0.0121,0.000000,1.852347,1,1,1,-3.360085,-2.884377,0.168501,0.009242,0.000892,-0.0132,0.0120,-1.197605,1.885918,1.0,1.0,1.0
24,192901,0.055473,0.003883,0.051590,-3.398869,-2.912289,0.181246,0.002917,0.001558,-0.0077,0.0113,0.000000,1.454927,1,1,1,-3.355051,-2.870448,0.163774,0.003825,0.000892,-0.0086,0.0121,0.000000,1.852347,1.0,1.0,1.0
25,192902,-0.004874,0.003658,-0.008532,-3.381464,-2.892954,0.178469,0.005792,0.002583,-0.0103,0.0103,-0.606061,-0.358516,1,1,1,-3.398869,-2.912289,0.181246,0.002917,0.001558,-0.0077,0.0113,0.000000,1.454927,1.0,1.0,1.0
26,192903,0.000154,0.003833,-0.003679,-3.367688,-2.876601,0.140264,0.002208,0.003483,-0.0062,0.0093,1.219512,0.359806,1,1,1,-3.381464,-2.892954,0.178469,0.005792,0.002583,-0.0103,0.0103,-0.606061,-0.358516,1.0,1.0,1.0
27,192904,0.019559,0.004000,0.015559,-3.372320,-2.879407,0.134777,0.003200,0.001258,-0.0102,0.0111,-0.602410,1.792579,1,1,1,-3.367688,-2.876601,0.140264,0.002208,0.003483,-0.0062,0.0093,1.219512,0.359806,1.0,1.0,1.0
28,192905,-0.041281,0.004242,-0.045523,-3.317413,-2.822717,0.145253,0.004217,0.002375,-0.0107,0.0097,-1.212121,1.759740,1,1,1,-3.372320,-2.879407,0.134777,0.003200,0.001258,-0.0102,0.0111,-0.602410,1.792579,1.0,1.0,1.0
29,192906,0.112294,0.004000,0.108294,-3.412851,-2.916414,0.173461,0.006125,0.001433,-0.0142,0.0110,0.613497,0.692223,1,1,1,-3.317413,-2.822717,0.145253,0.004217,0.002375,-0.0107,0.0097,-1.212121,1.759740,1.0,1.0,1.0
30,192907,0.050014,0.003792,0.046222,-3.446531,-2.948394,0.187895,0.002492,0.001425,-0.0111,0.0108,1.219512,1.374929,1,1,1,-3.412851,-2.916414,0.173461,0.006125,0.001433,-0.0142,0.0110,0.613497,0.692223,1.0,1.0,1.0
31,192908,0.094871,0.003917,0.090954,-3.529203,-3.029405,0.196810,-0.000367,0.001742,-0.0080,0.0104,0.000000,-1.017211,1,1,1,-3.446531,-2.948394,0.187895,0.002492,0.001425,-0.0111,0.0108,1.219512,1.374929,1.0,1.0,1.0
32,192909,-0.050941,0.003817,-0.054758,-3.468392,-2.966972,0.207133,0.000850,0.001500,-0.0095,0.0105,0.000000,-0.685109,1,1,1,-3.529203,-3.029405,0.196810,-0.000367,0.001742,-0.0080,0.0104,0.000000,-1.017211,1.0,1.0,1.0
33,192910,-0.186150,0.003642,-0.189792,-3.235578,-2.731936,0.269476,-0.000358,-0.001392,-0.0111,0.0130,-1.204819,-1.724589,0,1,0,-3.468392,-2.966972,0.207133,0.000850,0.001500,-0.0095,0.0105,0.000000,-0.685109,1.0,1.0,1.0
34,192911,-0.125359,0.002892,-0.128251,-3.081528,-2.576343,0.270338,-0.002183,-0.002933,-0.0106,0.0145,-1.829268,-4.912321,0,0,0,-3.235578,-2.731936,0.269476,-0.000358,-0.001392,-0.0111,0.0130,-1.204819,-1.724589,0.0,1.0,0.0
35,192912,0.027753,0.002525,0.025228,-3.096184,-2.589490,0.278124,-0.010525,-0.002033,-0.0007,0.0127,0.000000,-4.427892,0,0,0,-3.081528,-2.576343,0.270338,-0.002183,-0.002933,-0.0106,0.0145,-1.829268,-4.912321,0.0,0.0,0.0
36,193001,0.059632,0.002825,0.056807,-3.155957,-2.683561,0.279629,-0.013900,-0.001317,0.0044,0.0119,-1.242236,0.000000,0,0,0,-3.096184,-2.589490,0.278124,-0.010525,-0.002033,-0.0007,0.0127,0.000000,-4.427892,0.0,0.0,0.0
37,193002,0.026041,0.002800,0.023241,-3.176303,-2.740132,0.287287,-0.009242,-0.001917,0.0000,0.0130,-1.257862,-0.386203,0,0,0,-3.155957,-2.683561,0.279629,-0.013900,-0.001317,0.0044,0.0119,-1.242236,0.000000,0.0,0.0,0.0
38,193003,0.072348,0.002458,0.069890,-3.252345,-2.852897,0.313407,-0.008683,-0.001967,-0.0001,0.0127,-1.273885,-1.549400,0,0,0,-3.176303,-2.740132,0.287287,-0.009242,-0.001917,0.0000,0.0130,-1.257862,-0.386203,0.0,0.0,0.0
39,193004,-0.013938,0.002500,-0.016438,-3.241931,-2.880541,0.311374,-0.011408,-0.001500,0.0043,0.0122,0.000000,-0.787603,0,0,1,-3.252345,-2.852897,0.313407,-0.008683,-0.001967,-0.0001,0.0127,-1.273885,-1.549400,0.0,0.0,0.0
40,193005,-0.011148,0.002008,-0.013156,-3.224404,-2.903359,0.300471,-0.009408,-0.002033,0.0029,0.0131,-1.290323,-1.587711,0,0,1,-3.241931,-2.880541,0.311374,-0.011408,-0.001500,0.0043,0.0122,0.000000,-0.787603,0.0,0.0,1.0
41,193006,-0.155715,0.001575,-0.157290,-3.043790,-2.763830,0.316181,-0.013075,-0.001808,0.0087,0.0129,-1.960784,-2.821864,0,0,0,-3.224404,-2.903359,0.300471,-0.009408,-0.002033,0.0029,0.0131,-1.290323,-1.587711,0.0,0.0,1.0
42,193007,0.038713,0.001525,0.037188,-3.078970,-2.841784,0.312092,-0.015850,-0.001558,0.0138,0.0125,-3.333333,-4.565478,0,0,0,-3.043790,-2.763830,0.316181,-0.013075,-0.001808,0.0087,0.0129,-1.960784,-2.821864,0.0,0.0,0.0
43,193008,0.011266,0.001275,0.009991,-3.085564,-2.893934,0.281844,-0.014183,-0.001067,0.0145,0.0119,0.000000,-2.172923,0,0,0,-3.078970,-2.841784,0.312092,-0.015850,-0.001558,0.0138,0.0125,-3.333333,-4.565478,0.0,0.0,0.0
44,193009,-0.123549,0.001475,-0.125024,-2.945381,-2.800406,0.308114,-0.014542,-0.001042,0.0171,0.0118,0.000000,-1.778234,0,0,0,-3.085564,-2.893934,0.281844,-0.014183,-0.001067,0.0145,0.0119,0.000000,-2.172923,0.0,0.0,0.0
45,193010,-0.083680,0.001450,-0.085130,-2.851617,-2.755498,0.271040,-0.009800,-0.000850,0.0147,0.0118,-1.379310,-2.715642,0,0,0,-2.945381,-2.800406,0.308114,-0.014542,-0.001042,0.0171,0.0118,0.000000,-1.778234,0.0,0.0,0.0
46,193011,-0.019736,0.001167,-0.020903,-2.828613,-2.784854,0.232826,-0.007908,-0.000975,0.0148,0.0125,-2.097902,-2.324527,0,0,0,-2.851617,-2.755498,0.271040,-0.009800,-0.000850,0.0147,0.0118,-1.379310,-2.715642,0.0,0.0,0.0
47,193012,-0.071479,0.001233,-0.072712,-2.750667,-2.760923,0.248646,-0.009583,-0.000092,0.0190,0.0122,-2.142857,-2.381567,0,0,0,-2.828613,-2.784854,0.232826,-0.007908,-0.000975,0.0148,0.0125,-2.097902,-2.324527,0.0,0.0,0.0
48,193101,0.059527,0.001033,0.058494,-2.812065,-2.840073,0.248608,-0.007492,0.001242,0.0195,0.0099,-1.459854,-0.487934,0,0,0,-2.750667,-2.760923,0.248646,-0.009583,-0.000092,0.0190,0.0122,-2.142857,-2.381567,0.0,0.0,0.0
49,193102,0.110943,0.000883,0.110060,-2.934301,-2.980786,0.279325,-0.008100,0.000750,0.0214,0.0105,-2.222222,0.490326,0,0,0,-2.812065,-2.840073,0.248608,-0.007492,0.001242,0.0195,0.0099,-1.459854,-0.487934,0.0,0.0,0.0
50,193103,-0.068939,0.001150,-0.070089,-2.876685,-2.942643,0.278092,-0.007983,0.000175,0.0226,0.0107,-0.757576,1.951735,0,0,0,-2.934301,-2.980786,0.279325,-0.008100,0.000750,0.0214,0.0105,-2.222222,0.490326,0.0,0.0,0.0
51,193104,-0.092955,0.001242,-0.094197,-2.790158,-2.876551,0.306680,-0.003475,-0.000233,0.0189,0.0113,-1.526718,0.478593,0,0,0,-2.876685,-2.942643,0.278092,-0.007983,0.000175,0.0226,0.0107,-0.757576,1.951735,0.0,0.0,0.0
52,193105,-0.137674,0.000733,-0.138407,-2.657178,-2.764938,0.352457,-0.001117,-0.001133,0.0168,0.0120,-2.325581,-1.428940,0,0,0,-2.790158,-2.876551,0.306680,-0.003475,-0.000233,0.0189,0.0113,-1.526718,0.478593,0.0,0.0,0.0
53,193106,0.146492,0.000458,0.146034,-2.802013,-2.932374,0.349121,-0.005942,-0.000858,0.0231,0.0117,-1.587302,-2.416091,0,0,0,-2.657178,-2.764938,0.352457,-0.001117,-0.001133,0.0168,0.0120,-2.325581,-1.428940,0.0,0.0,0.0
54,193107,-0.075465,0.000342,-0.075807,-2.739832,-2.894020,0.362417,-0.008125,-0.000242,0.0270,0.0111,0.000000,-1.483759,0,0,0,-2.802013,-2.932374,0.349121,-0.005942,-0.000858,0.0231,0.0117,-1.587302,-2.416091,0.0,0.0,0.0
55,193108,0.007779,0.000350,0.007429,-2.764483,-2.943718,0.361156,-0.008342,-0.000125,0.0285,0.0114,0.000000,-3.518482,0,0,0,-2.739832,-2.894020,0.362417,-0.008125,-0.000242,0.0270,0.0111,0.000000,-1.483759,0.0,0.0,0.0
56,193109,-0.287461,0.000375,-0.287836,-2.423979,-2.629831,0.420459,-0.007317,0.002333,0.0311,0.0102,-0.806452,-4.686853,0,0,0,-2.764483,-2.943718,0.361156,-0.008342,-0.000125,0.0285,0.0114,0.000000,-3.518482,0.0,0.0,0.0
57,193110,0.076738,0.001417,0.075321,-2.520637,-2.754706,0.417948,-0.005917,0.005025,0.0340,0.0114,-1.626016,-3.826118,0,0,0,-2.423979,-2.629831,0.420459,-0.007317,0.002333,0.0311,0.0102,-0.806452,-4.686853,0.0,0.0,0.0
58,193111,-0.100909,0.001475,-0.102384,-2.433653,-2.697579,0.447316,0.006617,0.004500,0.0215,0.0109,0.000000,-1.136667,0,0,0,-2.520637,-2.754706,0.417948,-0.005917,0.005025,0.0340,0.0114,-1.626016,-3.826118,0.0,0.0,0.0
59,193112,-0.137557,0.002008,-0.139565,-2.292781,-2.588626,0.471223,0.007008,0.006058,0.0230,0.0125,-2.479339,-0.574868,0,0,0,-2.433653,-2.697579,0.447316,0.006617,0.004500,0.0215,0.0109,0.000000,-1.136667,0.0,0.0,0.0
60,193201,-0.018803,0.002067,-0.020870,-2.297150,-2.587651,0.456489,0.012633,0.003967,0.0149,0.0130,-1.694915,-2.888870,0,0,0,-2.292781,-2.588626,0.471223,0.007008,0.006058,0.0230,0.0125,-2.479339,-0.574868,0.0,0.0,0.0
61,193202,0.053581,0.002017,0.051564,-2.380710,-2.665483,0.435736,0.012300,0.001425,0.0119,0.0156,-1.724138,-2.381567,0,0,0,-2.297150,-2.587651,0.456489,0.012633,0.003967,0.0149,0.0130,-1.694915,-2.888870,0.0,0.0,0.0
62,193203,-0.118907,0.001875,-0.120782,-2.290348,-2.569062,0.453814,0.010567,0.001408,0.0128,0.0128,0.000000,-1.219834,0,0,0,-2.380710,-2.665483,0.435736,0.012300,0.001425,0.0119,0.0156,-1.724138,-2.381567,0.0,0.0,0.0
63,193204,-0.205295,0.000925,-0.206220,-2.100870,-2.373111,0.494459,0.008142,-0.002067,0.0111,0.0181,-0.877193,-6.789711,0,0,0,-2.290348,-2.569062,0.453814,0.010567,0.001408,0.0128,0.0128,0.000000,-1.219834,0.0,0.0,0.0
