,yearmonth,trdsum,monfulturnr,monret,monrfret,pe,eps,roe,incomeps,beta
0,200101,219330452,4.0290,0.0237,0.001650,62.02,0.41,12.9342,9.36,0.9937
1,200102,94274703,1.7169,0.0008,0.001650,62.07,0.63,14.3911,22.04,0.9638
2,200103,173656617,3.0894,0.0497,0.001650,65.15,0.63,14.3911,13.77,0.9515
3,200104,121849146,2.1684,-0.0607,0.001650,55.50,0.63,14.3911,13.77,0.9612
4,200105,122642364,2.2173,0.0067,0.001650,55.87,0.63,14.3911,13.77,0.9716
5,200106,161705781,2.8931,0.0364,0.001650,57.90,0.63,14.3911,13.77,0.9716
6,200107,75414558,1.3354,-0.1131,0.001650,46.98,0.32,10.4062,6.25,0.9704
7,200108,138265557,2.8900,-0.0752,0.001650,43.45,0.32,10.4062,6.25,1.0312
8,200109,60072203,1.2929,0.0102,0.001650,43.89,0.32,10.4062,6.25,1.0212
9,200110,85571523,1.8388,-0.0405,0.001650,42.81,0.32,10.4062,6.25,1.0448
10,200111,60039646,1.3139,0.0101,0.001650,43.24,0.32,10.4062,6.25,1.0411
11,200112,166729921,3.5790,0.0507,0.001650,45.43,0.32,10.4062,6.25,1.0019
12,200201,70139138,1.5652,-0.0838,0.001650,42.32,0.32,10.4062,6.25,1.0233
13,200202,12237766,0.2839,0.0062,0.001586,42.59,0.32,10.4062,6.25,1.0331
14,200203,97968042,2.1673,0.0344,0.001425,44.05,0.46,14.8340,13.75,1.0270
15,200204,167831439,3.6106,0.1033,0.001425,52.83,0.12,3.7316,1.92,1.0315
16,200205,230688060,4.7412,-0.0399,0.001425,50.72,0.12,3.7316,1.92,0.9343
17,200206,263532539,5.5696,-0.0013,0.001425,50.66,0.12,3.7316,1.92,0.4555
18,200207,636884306,12.8481,0.0792,0.001425,61.94,0.12,3.7316,1.92,0.4860
19,200208,649456194,12.8714,-0.0771,0.001656,57.17,0.16,6.8974,4.28,0.4894
20,200209,324140466,6.7908,-0.0292,0.001852,55.50,0.16,6.8974,4.28,0.4896
21,200210,219781792,4.6477,0.0027,0.001892,54.91,0.22,8.9721,7.46,0.4802
22,200211,217092611,4.8113,-0.0265,0.001892,53.45,0.22,8.9721,7.46,0.4891
23,200212,300712562,6.6038,0.0119,0.001892,54.09,0.22,8.9721,7.46,0.4584
24,200301,305777287,6.7613,-0.0035,0.001892,41.09,0.22,8.9721,7.46,0.4154
25,200302,222672773,4.8679,0.0076,0.001892,41.41,0.22,8.9721,7.46,0.3948
26,200303,173829390,3.8122,0.0206,0.001892,42.26,0.35,13.4789,11.53,0.3844
27,200304,154854442,3.3821,-0.0546,0.001886,39.78,0.09,3.2319,3.25,0.3716
28,200305,115989050,2.6095,0.0107,0.001823,40.21,0.09,3.2319,3.25,0.3683
29,200306,302834703,6.2083,0.0988,0.001891,44.04,0.09,3.2319,2.03,0.3066
30,200307,188549679,3.9209,-0.0567,0.001945,40.96,0.09,3.2319,2.03,0.2936
31,200308,712474793,14.8656,0.0536,0.001964,43.16,0.11,5.9853,4.33,0.2765
32,200309,900576699,17.1784,0.1722,0.002225,50.59,0.11,5.9853,4.33,0.2309
33,200310,342574200,6.2403,-0.0646,0.002246,44.02,0.16,8.5916,7.07,0.2074
34,200311,192741942,3.9491,-0.1031,0.002251,39.48,0.16,8.5916,7.07,0.1725
35,200312,1538226380,55.6094,-0.4873,0.002046,20.24,0.16,8.5916,7.07,-0.1764
36,200401,882906481,32.5231,0.1564,0.002046,29.44,0.16,8.5916,7.07,-0.0741
37,200402,1861249214,54.6998,0.1477,0.001888,33.79,0.16,8.5916,7.07,0.0042
38,200403,1045936112,29.8551,0.0512,0.001682,35.52,0.16,8.5916,7.07,-0.0109
39,200404,557393654,16.9903,-0.1873,0.001776,32.61,0.03,1.7141,1.87,0.1086
40,200405,195735663,6.8852,0.0454,0.002020,34.09,0.03,1.7141,1.87,0.0956
41,200406,142839184,5.5492,-0.2326,0.002354,26.16,0.03,1.7141,1.87,0.2331
42,200407,94718867,4.2397,-0.0543,0.002402,29.18,0.03,1.7141,1.87,0.1600
43,200408,84031647,4.1732,-0.0294,0.002377,28.33,0.05,2.9388,4.28,0.1473
44,200409,480403735,20.7037,0.0859,0.002008,30.76,0.05,2.9388,4.28,0.1930
45,200410,111224987,5.4405,-0.1140,0.002090,51.49,0.09,5.1055,7.34,0.2253
46,200411,155323717,7.5391,0.0604,0.002086,54.59,0.09,5.1055,7.34,0.2331
47,200412,100048222,4.9064,-0.0941,0.002035,49.46,0.09,5.1055,7.34,0.2998
48,200501,94746352,5.2334,-0.1721,0.002085,15.01,0.09,5.1055,7.34,0.3366
49,200502,107939707,6.3301,0.1320,0.001960,17.00,0.09,5.1055,7.34,0.4290
50,200503,75275738,4.7224,-0.1429,0.001454,14.57,0.09,5.1055,7.34,0.4788
51,200504,97039315,6.4062,0.0136,0.000954,15.23,0.03,1.3298,2.16,0.4319
52,200505,46760586,3.4000,-0.0805,0.000967,14.00,0.03,1.3298,2.16,0.4606
53,200506,141965909,9.6179,-0.0146,0.000940,13.80,0.03,1.3298,2.16,0.5405
54,200507,45631669,3.9454,-0.1333,0.000952,11.03,0.03,1.3298,2.16,0.5611
55,200508,189065710,14.8384,0.1741,0.000895,12.96,0.06,2.9378,4.89,0.6844
56,200509,178363530,12.9913,-0.0494,0.000930,12.32,0.06,2.9378,4.89,0.6935
57,200510,84954227,6.4842,-0.0280,0.000969,12.55,0.09,4.5127,8.19,0.6994
