,date,close,dret,yearmonth
0,2001-01-02,38.00,0.0000,200101
1,2001-01-03,37.85,-0.0039,200101
2,2001-01-04,37.90,0.0013,200101
3,2001-01-05,37.88,-0.0005,200101
4,2001-01-08,37.92,0.0011,200101
5,2001-01-09,37.80,-0.0032,200101
6,2001-01-10,37.90,0.0026,200101
7,2001-01-11,38.09,0.0050,200101
8,2001-01-12,39.35,0.0331,200101
9,2001-01-15,38.70,-0.0165,200101
10,2001-01-16,38.90,0.0052,200101
11,2001-01-17,39.10,0.0051,200101
12,2001-01-18,39.20,0.0026,200101
13,2001-01-19,38.90,-0.0077,200101
14,2001-02-05,38.89,-0.0003,200102
15,2001-02-06,38.57,-0.0082,200102
16,2001-02-07,38.44,-0.0034,200102
17,2001-02-08,38.52,0.0021,200102
18,2001-02-09,38.53,0.0003,200102
19,2001-02-12,39.30,0.0200,200102
20,2001-02-13,39.12,-0.0046,200102
21,2001-02-14,39.11,-0.0003,200102
22,2001-02-15,39.19,0.0020,200102
23,2001-02-16,38.76,-0.0110,200102
24,2001-02-19,39.11,0.0090,200102
25,2001-02-20,39.07,-0.0010,200102
26,2001-02-21,38.95,-0.0031,200102
27,2001-02-22,38.80,-0.0039,200102
28,2001-02-23,38.98,0.0046,200102
29,2001-02-26,38.99,0.0003,200102
30,2001-02-27,39.05,0.0015,200102
31,2001-02-28,38.93,-0.0031,200102
32,2001-03-01,38.57,-0.0092,200103
33,2001-03-02,38.54,-0.0008,200103
34,2001-03-05,38.72,0.0047,200103
35,2001-03-06,38.92,0.0052,200103
36,2001-03-07,38.94,0.0005,200103
37,2001-03-08,38.98,0.0010,200103
38,2001-03-09,39.15,0.0044,200103
39,2001-03-12,39.16,0.0003,200103
40,2001-03-13,39.14,-0.0005,200103
41,2001-03-14,39.16,0.0005,200103
43,2001-03-16,39.55,0.0100,200103
44,2001-03-19,39.80,0.0063,200103
45,2001-03-20,39.81,0.0003,200103
46,2001-03-21,39.77,-0.0010,200103
47,2001-03-22,39.71,-0.0015,200103
48,2001-03-23,39.84,0.0033,200103
49,2001-03-26,40.01,0.0043,200103
50,2001-03-27,40.51,0.0125,200103
51,2001-03-28,40.60,0.0022,200103
52,2001-03-29,25.80,0.0167,200103
53,2001-03-30,25.54,-0.0101,200103
54,2001-04-02,25.49,-0.0020,200104
55,2001-04-03,25.85,0.0141,200104
56,2001-04-04,25.70,-0.0058,200104
57,2001-04-05,25.55,-0.0058,200104
58,2001-04-06,25.40,-0.0059,200104
59,2001-04-09,24.91,-0.0193,200104
60,2001-04-10,24.74,-0.0068,200104
61,2001-04-11,25.01,0.0109,200104
62,2001-04-12,24.85,-0.0064,200104
63,2001-04-13,24.55,-0.0121,200104
64,2001-04-16,24.50,-0.0020,200104
65,2001-04-17,24.54,0.0016,200104
66,2001-04-18,25.05,0.0208,200104
67,2001-04-19,25.35,0.0120,200104
68,2001-04-20,25.16,-0.0075,200104
69,2001-04-23,24.50,-0.0262,200104
70,2001-04-24,24.35,-0.0061,200104
71,2001-04-25,24.32,-0.0012,200104
72,2001-04-26,23.80,-0.0214,200104
73,2001-04-27,23.95,0.0063,200104
74,2001-04-30,23.99,0.0017,200104
75,2001-05-08,23.95,-0.0017,200105
76,2001-05-09,23.70,-0.0104,200105
77,2001-05-10,23.64,-0.0025,200105
78,2001-05-11,23.99,0.0148,200105
79,2001-05-14,24.10,0.0046,200105
80,2001-05-15,24.36,0.0108,200105
81,2001-05-16,24.86,0.0205,200105
82,2001-05-17,25.26,0.0161,200105
83,2001-05-18,25.02,-0.0095,200105
84,2001-05-21,24.70,-0.0128,200105
85,2001-05-22,25.20,0.0202,200105
86,2001-05-23,24.87,-0.0131,200105
87,2001-05-24,24.93,0.0024,200105
88,2001-05-25,24.90,-0.0012,200105
89,2001-05-28,24.40,-0.0201,200105
90,2001-05-29,24.02,-0.0156,200105
91,2001-05-30,24.40,0.0158,200105
92,2001-05-31,24.15,-0.0102,200105
93,2001-06-01,24.36,0.0087,200106
94,2001-06-04,25.40,0.0427,200106
95,2001-06-05,25.35,-0.0020,200106
96,2001-06-06,25.29,-0.0024,200106
97,2001-06-07,25.05,-0.0095,200106
98,2001-06-08,24.70,-0.0140,200106
99,2001-06-11,24.60,-0.0040,200106
100,2001-06-12,24.65,0.0020,200106
101,2001-06-13,24.67,0.0008,200106
102,2001-06-14,24.65,-0.0008,200106
103,2001-06-15,24.43,-0.0089,200106
104,2001-06-18,24.21,-0.0090,200106
105,2001-06-19,24.45,0.0099,200106
106,2001-06-20,24.24,-0.0086,200106
107,2001-06-21,24.40,0.0066,200106
108,2001-06-22,24.80,0.0164,200106
109,2001-06-25,24.70,-0.0040,200106
110,2001-06-26,24.40,-0.0121,200106
111,2001-06-27,24.43,0.0012,200106
112,2001-06-28,24.25,-0.0074,200106
113,2001-06-29,25.03,0.0322,200106
115,2001-07-02,25.31,0.0112,200107
116,2001-07-03,25.72,0.0162,200107
117,2001-07-04,25.70,-0.0008,200107
118,2001-07-05,25.42,-0.0109,200107
119,2001-07-06,25.26,-0.0063,200107
120,2001-07-09,25.26,0.0000,200107
121,2001-07-10,25.10,-0.0063,200107
122,2001-07-11,24.96,-0.0056,200107
123,2001-07-12,24.97,0.0004,200107
124,2001-07-13,25.20,0.0092,200107
125,2001-07-16,24.87,-0.0131,200107
126,2001-07-17,24.79,-0.0032,200107
127,2001-07-18,24.82,0.0012,200107
128,2001-07-19,24.84,0.0008,200107
129,2001-07-20,24.59,-0.0101,200107
130,2001-07-23,24.30,-0.0118,200107
131,2001-07-24,24.08,-0.0091,200107
132,2001-07-25,24.12,0.0017,200107
133,2001-07-26,24.00,-0.0050,200107
134,2001-07-27,23.67,-0.0138,200107
135,2001-07-30,23.17,-0.0211,200107
136,2001-07-31,22.20,-0.0419,200107
137,2001-08-01,22.45,0.0113,200108
138,2001-08-02,22.29,-0.0071,200108
139,2001-08-03,22.30,0.0004,200108
140,2001-08-06,20.85,-0.0650,200108
141,2001-08-07,20.79,-0.0029,200108
142,2001-08-08,20.80,0.0005,200108
143,2001-08-09,21.13,0.0159,200108
144,2001-08-10,21.82,0.0327,200108
145,2001-08-13,21.79,-0.0014,200108
146,2001-08-14,21.74,-0.0023,200108
147,2001-08-15,21.55,-0.0087,200108
148,2001-08-16,21.39,-0.0074,200108
149,2001-08-17,21.04,-0.0164,200108
150,2001-08-20,20.80,-0.0114,200108
151,2001-08-21,20.85,0.0024,200108
152,2001-08-22,20.76,-0.0043,200108
153,2001-08-23,20.78,0.0010,200108
154,2001-08-24,20.97,0.0091,200108
155,2001-08-27,20.60,-0.0176,200108
156,2001-08-28,20.66,0.0029,200108
157,2001-08-29,20.69,0.0015,200108
158,2001-08-30,20.50,-0.0092,200108
159,2001-08-31,20.53,0.0015,200108
160,2001-09-03,20.10,-0.0209,200109
161,2001-09-04,20.00,-0.0050,200109
162,2001-09-05,20.50,0.0250,200109
163,2001-09-06,20.76,0.0127,200109
164,2001-09-07,20.58,-0.0087,200109
165,2001-09-10,20.90,0.0155,200109
166,2001-09-11,20.93,0.0014,200109
167,2001-09-12,20.65,-0.0134,200109
168,2001-09-13,20.66,0.0005,200109
169,2001-09-14,20.46,-0.0097,200109
170,2001-09-17,20.40,-0.0029,200109
171,2001-09-18,20.43,0.0015,200109
172,2001-09-19,20.60,0.0083,200109
173,2001-09-20,20.98,0.0184,200109
174,2001-09-21,20.79,-0.0091,200109
175,2001-09-24,20.65,-0.0067,200109
