,yearmonth,trdsum,monfulturnr,volatility3,monthnum,RSkew
0,200101,219330452,4.029,0.000032,14,1.946324
1,200102,94274703,1.7169,0.000007,18,1.333095
2,200103,173656617,3.0894,0.000007,21,1.161395
3,200104,121849146,2.1684,-0.000024,21,-0.691407
4,200105,122642364,2.2173,0.00001,18,0.265493
...,...,...,...,...,...,...
252,202208,1738124722,15.1723,-0.00001,23,-0.055562
253,202209,1185048955,9.0525,-0.000069,21,-1.076543
254,202210,629833346,4.9947,-0.000007,16,-0.113187
255,202211,1462544261,11.4118,0.000032,22,1.050587
256,202212,1629635501,12.7485,0.000077,22,1.202929
