,yearmonth,trdsum,monfulturnr,monret,monrfret,pe,eps,roe,incomeps,beta,volatility,volatility3,monthnum,RSkew,liquidity
0,200101,219330452,4.0290,0.0237,0.001650,62.02,0.41,12.9342,9.36,0.9937,0.001547,0.000032,14,1.946324,0.001234
1,200102,94274703,1.7169,0.0008,0.001650,62.07,0.63,14.3911,22.04,0.9638,0.000770,0.000007,18,1.333095,0.000044
2,200103,173656617,3.0894,0.0497,0.001650,65.15,0.63,14.3911,13.77,0.9515,0.000870,0.000007,21,1.161395,0.002620
3,200104,121849146,2.1684,-0.0607,0.001650,55.50,0.63,14.3911,13.77,0.9612,0.002895,-0.000024,21,-0.691407,-0.003260
4,200105,122642364,2.2173,0.0067,0.001650,55.87,0.63,14.3911,13.77,0.9716,0.002996,0.000010,18,0.265493,0.000360
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
252,202208,1738124722,15.1723,0.0226,0.001366,22.74,0.07,1.5237,3.64,0.9284,0.008940,-0.000010,23,-0.055562,0.001062
253,202209,1185048955,9.0525,-0.1155,0.001342,23.72,0.07,1.5237,3.09,0.9805,0.004417,-0.000069,21,-1.076543,-0.005528
254,202210,629833346,4.9947,0.0139,0.001413,20.36,0.09,2.0465,4.28,0.9228,0.004023,-0.000007,16,-0.113187,0.000686
255,202211,1462544261,11.4118,0.0301,0.001676,20.97,0.09,2.0465,4.28,0.8593,0.002728,0.000032,22,1.050587,0.001426
256,202212,1629635501,12.7485,-0.0505,0.001931,19.91,0.09,2.0465,4.28,0.8355,0.004465,0.000077,22,1.202929,-0.002381
