,yearmonth,trdsum,monfulturnr,monret,monrfret,pe,eps,roe,incomeps,beta,volatility,volatility3,monthnum,RSkew,liquidity,peakclose,peakpoint
3,200104,121849146,2.1684,-0.0607,0.001650,55.50,0.63,14.3911,13.77,0.9612,0.002895,-0.000024,21,-0.691407,-0.003260,25.85,0.636700
4,200105,122642364,2.2173,0.0067,0.001650,55.87,0.63,14.3911,13.77,0.9716,0.002996,0.000010,18,0.265493,0.000360,25.26,0.622167
5,200106,161705781,2.8931,0.0364,0.001650,57.90,0.63,14.3911,13.77,0.9716,0.004116,0.000110,21,1.901342,0.001926,25.40,0.625616
6,200107,75414558,1.3354,-0.1131,0.001650,46.98,0.32,10.4062,6.25,0.9704,0.003630,-0.000087,22,-1.864609,-0.006235,25.72,0.994971
7,200108,138265557,2.8900,-0.0752,0.001650,43.45,0.32,10.4062,6.25,1.0312,0.006786,-0.000247,23,-2.119557,-0.004012,22.45,0.872862
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
252,202208,1738124722,15.1723,0.0226,0.001366,22.74,0.07,1.5237,3.64,0.9284,0.008940,-0.000010,23,-0.055562,0.001062,4.11,0.944828
253,202209,1185048955,9.0525,-0.1155,0.001342,23.72,0.07,1.5237,3.09,0.9805,0.004417,-0.000069,21,-1.076543,-0.005528,4.06,0.933333
254,202210,629833346,4.9947,0.0139,0.001413,20.36,0.09,2.0465,4.28,0.9228,0.004023,-0.000007,16,-0.113187,0.000686,3.84,0.882759
255,202211,1462544261,11.4118,0.0301,0.001676,20.97,0.09,2.0465,4.28,0.8593,0.002728,0.000032,22,1.050587,0.001426,3.85,0.936740
256,202212,1629635501,12.7485,-0.0505,0.001931,19.91,0.09,2.0465,4.28,0.8355,0.004465,0.000077,22,1.202929,-0.002381,3.91,0.963054
