,yearmonth,monret,monrfret,liquidity,peakpoint,RSkew
3,200104,-0.0607,0.00165,-0.00326,0.6367,-0.691407
4,200105,0.0067,0.00165,0.00036,0.622167,0.265493
5,200106,0.0364,0.00165,0.001926,0.625616,1.901342
6,200107,-0.1131,0.00165,-0.006235,0.994971,-1.864609
7,200108,-0.0752,0.00165,-0.004012,0.872862,-2.119557
...,...,...,...,...,...,...
252,202208,0.0226,0.001366,0.001062,0.944828,-0.055562
253,202209,-0.1155,0.001342,-0.005528,0.933333,-1.076543
254,202210,0.0139,0.001413,0.000686,0.882759,-0.113187
255,202211,0.0301,0.001676,0.001426,0.93674,1.050587
256,202212,-0.0505,0.001931,-0.002381,0.963054,1.202929
