,rexc32,rexc33,recx34,rexc35,rexc36,rexc37,rexc38,rexc39,rexc40,rexc41,yearmonth
0,-0.001787,0.027599,0.019652,0.057510,0.018784,0.042032,0.018538,0.024780,-0.022798,0.037782,201002
1,0.015478,0.006632,0.004371,-0.003747,-0.016814,-0.024300,0.056715,0.073085,-0.044710,0.006411,201003
2,-0.064115,-0.073050,-0.082144,-0.096071,-0.045558,0.082421,-0.110136,-0.018986,-0.082456,-0.055552,201004
3,-0.137361,-0.089922,-0.109501,-0.106477,-0.045859,0.011767,-0.119850,-0.100950,-0.141881,-0.115693,201005
4,-0.134429,-0.134005,-0.085411,-0.074709,-0.087015,-0.194018,-0.047705,-0.083113,0.006884,-0.064320,201006
...,...,...,...,...,...,...,...,...,...,...,...
91,-0.009190,-0.007843,-0.025797,0.026626,0.074773,0.020917,-0.026929,0.044172,0.106544,-0.027343,201709
92,-0.039980,-0.038225,0.034804,0.021866,0.072279,0.076113,0.028706,-0.001966,-0.014199,0.001917,201710
93,0.016919,0.013879,-0.026822,-0.050084,-0.048312,-0.042498,0.031112,-0.029791,0.011321,-0.027893,201711
94,-0.004306,-0.003046,-0.006885,0.018314,0.072670,0.037726,-0.020878,-0.019600,-0.048435,-0.028988,201712
95,0.089056,0.046145,0.020001,0.009443,0.042235,-0.016501,0.099234,-0.070745,-0.067398,-0.000714,201801
