,rexc_min,rexc_max,yearmonth,,,,,,,,,,
0,0.035418,0.058321,201801,,,,,,,,,,
1,-0.052749,-0.072703,201802,,,,,,,,,,
2,0.012194,0.014599,201803,,,,,,,,,,
3,-0.042044,-0.040798,201804,,,,,,,,,,
4,0.109819,0.125082,201805,,,,,,,,,最小化风险,最大化效用
5,-0.076984,-0.072254,201806,,,,,,,,,,
6,-0.00685,-0.017844,201807,,,,,,,,,,
7,-0.071938,-0.06203,201808,,,,,,,,,,
8,0.065199,0.079045,201809,,,,,,,,,,
9,-0.146749,-0.111222,201810,,,,,,,,,,
10,-0.014276,-0.033796,201811,,,,,,,,,,
11,-0.013241,-0.047796,201812,,,,,,,,,,
12,0.005479,0.007759,201901,,,,,,,,,,
13,0.104988,0.092558,201902,,,,,,,,,,
14,0.036945,0.033048,201903,,,,,,,,,,
15,0.008778,0.006585,201904,,,,,,,,,,
16,-0.042269,-0.049059,201905,,,,,,,,,,
17,0.008102,0.008038,201906,,,,,,,,,,
18,-0.011594,-0.004317,201907,,,,,,,,,,
19,0.013416,0.011547,201908,,,,,,,,,,
20,-0.030731,-0.030103,201909,,,,,,,,,,
21,0.005717,0.014396,201910,,,,,,,,,,
22,-0.024889,-0.034466,201911,,,,,,,,,,
23,0.00665,-0.001162,201912,,,,,,,,,,
24,-0.036259,-0.028789,202001,,,,,,,,,,
25,-0.054076,-0.062344,202002,,,,,,,,,,
26,0.014662,0.011234,202003,,,,,,,,,,
27,0.001166,-0.000623,202004,,,,,,,,,,
28,0.030164,0.017938,202005,,,,,,,,,,
29,0.062553,0.054614,202006,,,,,,,,,,
30,0.079884,0.05023,202007,,,,,,,,,,
31,0.030287,0.021909,202008,,,,,,,,,,
32,-0.058685,-0.059921,202009,,,,,,,,,,
33,-0.003112,-0.004265,202010,,,,,,,,,,
34,0.012693,0.01282,202011,,,,,,,,,,
35,-0.001988,-0.022343,202012,,,,,,,,,,
36,-0.04103,-0.055655,202101,,,,,,,,,,
37,-0.030609,-0.022037,202102,,,,,,,,,,
38,0.098415,0.087699,202103,,,,,,,,,,
39,-0.014791,-0.004318,202104,,,,,,,,,,
40,0.039589,0.050012,202105,,,,,,,,,,
41,-0.016544,-0.018972,202106,,,,,,,,,,
42,-0.144883,-0.144331,202107,,,,,,,,,,
43,0.010782,-0.006397,202108,,,,,,,,,,
44,0.212226,0.232152,202109,,,,,,,,,,
45,-0.082449,-0.097364,202110,,,,,,,,,,
46,-0.029791,-0.027414,202111,,,,,,,,,,
47,0.07678,0.059633,202112,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,rexc_min,rexc_max,yearmonth,,,,,,,,,,
0,0.035418,0.058321,201801,,,,,,,,,,
1,-0.052749,-0.072703,201802,,,,,,,,,,
2,0.012194,0.014599,201803,,,,,,,,,,
3,-0.042044,-0.040798,201804,,,,,,,,,,
4,0.109819,0.125082,201805,,,,,,,,,,
43,0.010782,-0.006397,202108,,,,,,,,,,
44,0.212226,0.232152,202109,,,,,,,,,,
45,-0.082449,-0.097364,202110,,,,,,,,,,
46,-0.029791,-0.027414,202111,,,,,,,,,,
47,0.07678,0.059633,202112,,,,,,,,,,
