,return,VaR_RM,VaR_GN,VaR_HS,VaR_EVT
0,1.774790612,0,0,0,0
1,-0.815221906,0,0,0,0
2,0.815221906,0,0,0,0
3,0.808629743,0,0,0,0
4,-3.135907949,0,0,0,0
5,1.238832086,0,0,0,0
6,2.432552377,0,0,0,0
7,-1.344106257,0,0,0,0
8,0,0,0,0,0
9,-4.003295091,0,0,0,0
10,1.398624197,0,0,0,0
11,5.275056539,0,0,0,0
12,-1.996074256,0,0,0,0
13,-1.353200622,0,0,0,0
14,-3.04311172,0,0,0,0
15,4.932506656,0,0,0,0
16,-1.753247876,0,0,0,0
17,-1.507910683,0,0,0,0
18,0.825314176,0,0,0,0
19,0.682596507,0,0,0,0
20,-2.479465861,0,0,0,0
21,2.070467336,0,0,0,0
22,1.222011133,0,0,0,0
23,1.739174271,0,0,0,0
24,-0.531916148,0,0,0,0
25,1.061017911,0,0,0,0
26,1.310634751,0,0,0,0
27,-1.178795575,0,0,0,0
28,2.600926848,0,0,0,0
29,-2.600926848,0,0,0,0
30,1.308919211,0,0,0,0
31,2.567535134,0,0,0,0
32,0.379507097,0,0,0,0
33,-0.126342405,0,0,0,0
34,1.0062978,0,0,0,0
35,-1.132800031,0,0,0,0
36,-3.085077572,0,0,0,0
37,2.450154804,0,0,0,0
38,0.508260306,0,0,0,0
39,1.13422766,0,0,0,0
40,1.739174271,0,0,0,0
41,-1.114562621,0,0,0,0
42,-0.87555281,0,0,0,0
43,0.250941161,0,0,0,0
44,-1.897590146,0,0,0,0
45,0.382409644,0,0,0,0
46,-1.151644206,0,0,0,0
47,0.769234562,0,0,0,0
48,0.636539387,0,0,0,0
49,3.736424674,0,0,0,0
50,1.094235842,0,0,0,0
51,-0.972061117,0,0,0,0
52,0.608644606,0,0,0,0
53,-0.121432923,0,0,0,0
54,-1.468814656,0,0,0,0
55,0.369231189,0,0,0,0
56,1.099583467,0,0,0,0
57,2.638042668,0,0,0,0
58,1.293374878,0,0,0,0
59,-0.585824757,0,0,0,0
60,0.117439826,0,0,0,0
61,-0.117439826,0,0,0,0
62,1.052026067,0,0,0,0
63,1.843370169,0,0,0,0
64,-0.114220458,0,0,0,0
65,-0.11435107,0,0,0,0
66,2.038575692,0,0,0,0
67,0.781690189,0,0,0,0
68,8.012826917,0,0,0,0
69,-3.12851375,0,0,0,0
70,-2.249693164,0,0,0,0
71,-1.748678439,0,0,0,0
72,0.549753996,0,0,0,0
73,-1.99342149,0,0,0,0
74,-8.396538012,0,0,0,0
75,-1.470614739,0,0,0,0
76,1.470614739,0,0,0,0
77,-3.717900324,0,0,0,0
78,1.503787736,0,0,0,0
79,-0.749067173,0,0,0,0
80,2.475373915,0,0,0,0
81,-0.613122705,0,0,0,0
82,0.245700369,0,0,0,0
83,-2.233343445,0,0,0,0
84,2.233343445,0,0,0,0
85,-0.245700369,0,0,0,0
86,0.97919999,0,0,0,0
87,-1.596105093,0,0,0,0
88,1.107703634,0,0,0,0
89,-4.891257068,0,0,0,0
90,-1.293679103,0,0,0,0
91,-0.130293178,0,0,0,0
92,0.260416814,0,0,0,0
93,-3.844078331,0,0,0,0
94,-3.018061715,0,0,0,0
95,1.657496509,0,0,0,0
96,-0.137080213,0,0,0,0
97,0.547196988,0,0,0,0
98,0.54421903,0,0,0,0
99,2.941388521,0,0,0,0
100,0.131665588,0,0,0,0
101,-0.350263055,0,0,0,0
102,-0.52770571,0,0,0,0
103,0.877968765,0,0,0,0
104,-0.701757266,0,0,0,0
105,-2.857337244,0,0,0,0
106,-1.828204484,0,0,0,0
107,-2.616971773,0,0,0,0
108,1.317046319,0,0,0,0
109,-0.938974035,0,0,0,0
110,1.312108796,0,0,0,0
111,1.662088124,0,0,0,0
112,0.36563112,0,0,0,0
113,1.44930073,0,0,0,0
114,-1.44930073,0,0,0,0
115,1.808367543,0,0,0,0
116,0,0,0,0,0
117,2.303024727,0,0,0,0
118,0,0,0,0,0
119,-1.410958152,0,0,0,0
120,4.174519169,0,0,0,0
121,-1.891715913,0,0,0,0
122,-0.17376199,0,0,0,0
123,-3.180480087,0,0,0,0
124,1.071438821,0,0,0,0
125,3.662135469,0,0,0,0
126,-0.515022598,0,0,0,0
127,-1.212136053,0,0,0,0
128,-1.757514482,0,0,0,0
129,0.177147965,0,0,0,0
130,-2.327768487,0,0,0,0
131,0.722024797,0,0,0,0
132,-6.693948268,0,0,0,0
133,1.147240116,0,0,0,0
134,0.94608085,0,0,0,0
135,-2.093320967,0,0,0,0
136,-0.192492841,0,0,0,0
137,0.192492841,0,0,0,0
138,-1.550418654,0,0,0,0
139,0.389864042,0,0,0,0
140,0.388350003,0,0,0,0
141,-3.550668846,0,0,0,0
142,-5.786738232,0,0,0,0
143,-1.716780362,0,0,0,0
144,1.076436659,0,0,0,0
145,3.987936623,0,0,0,0
146,0.615386557,0,0,0,0
147,1.219527309,0,0,0,0
148,-2.247285585,0,0,0,0
149,3.252319171,0,0,0,0
150,-3.459144477,0,0,0,0
151,-0.623054975,0,0,0,0
152,-0.208550649,0,0,0,0
153,1.861480844,0,0,0,0
154,-1.02987522,0,0,0,0
155,2.655927307,0,0,0,0
156,-0.201816416,0,0,0,0
157,-0.404858853,0,0,0,0
158,-0.814668457,0,0,0,0
159,-1.234583582,0,0,0,0
160,0,0,0,0,0
161,-0.623054975,0,0,0,0
162,-2.10534092,0,0,0,0
163,5.384323202,0,0,0,0
164,0.40241503,0,0,0,0
165,-4.098934453,0,0,0,0
166,-1.475263848,0,0,0,0
167,-2.79889099,0,0,0,0
168,1.085786997,0,0,0,0
169,-0.65005646,0,0,0,0
170,0.217155351,0,0,0,0
171,-2.193070349,0,0,0,0
172,0.662985854,0,0,0,0
173,2.394020755,0,0,0,0
174,-1.954459607,0,0,0,0
175,1.307208157,0,0,0,0
176,-2.188271125,0,0,0,0
177,0.881062968,0,0,0,0
178,-1.324522675,0,0,0,0
179,-3.160533942,0,0,0,0
180,1.14026321,0,0,0,0
181,-0.682596507,0,0,0,0
182,0.90909717,0,0,0,0
183,2.458224341,0,0,0,0
184,0.879126541,0,0,0,0
185,-0.438597194,0,0,0,0
186,0.438597194,0,0,0,0
187,-3.337350882,0,0,0,0
188,0,0,0,0,0
189,-2.985296315,0,0,0,0
190,-2.358599901,0,0,0,0
191,1.186253531,0,0,0,0
192,1.637463487,0,0,0,0
193,0.46296379,0,0,0,0
194,0.460830309,0,0,0,0
195,7.098322658,0,0,0,0
196,-3.70816749,0,0,0,0
197,1.543580813,0,0,0,0
198,0,0,0,0,0
199,-1.543580813,0,0,0,0
200,0.884961528,0,0,0,0
201,-0.220507256,0,0,0,0
202,-3.139271241,0,0,0,0
203,4.672707641,0,0,0,0
204,-2.866789487,0,0,0,0
205,-0.448431245,0,0,0,0
206,1.781784332,0,0,0,0
207,1.750591751,0,0,0,0
208,-2.637515525,0,0,0,0
209,-0.894860558,0,0,0,0
210,-1.585537179,0,0,0,0
211,-1.379332213,0,0,0,0
212,-0.231749814,0,0,0,0
213,-0.465117118,0,0,0,0
214,-1.17234637,0,0,0,0
215,0.235571369,0,0,0,0
216,-0.945633524,0,0,0,0
217,0.473934536,0,0,0,0
218,-5.841076216,0,0,0,0
219,1.739174271,0,0,0,0
220,-2.241687891,0,0,0,0
221,-2.035693707,0,0,0,0
222,0,0,0,0,0
223,-1.554435444,0,0,0,0
224,-0.523561405,0,0,0,0
225,-0.262812241,0,0,0,0
226,-0.792606527,0,0,0,0
227,-6.012739797,0,0,0,0
228,-2.857337244,0,0,0,0
229,-2.941388521,0,0,0,0
230,3.230824323,0,0,0,0
231,-0.579711768,0,0,0,0
232,0,0,0,0,0
233,-3.249916739,0,0,0,0
234,-1.818231908,0,0,0,0
235,0.609757987,0,0,0,0
236,-0.304414238,0,0,0,0
237,-3.72713948,0,0,0,0
238,-0.634922768,0,0,0,0
239,-0.63897981,0,0,0,0
240,2.218791498,0,0,0,0
241,-0.313972,0,0,0,0
242,-4.173960617,0,0,0,0
243,0.978800637,0,0,0,0
244,3.822121282,0,0,0,0
245,5.176193456,0,0,0,0
246,-1.194044037,0,0,0,0
247,0,0,0,0,0
248,-4.29513872,0,0,0,0
249,-2.861880531,0,0,0,0
250,5.64413109,0,0,0,0
251,-2.157248525,0,0,0,0
252,0,0,0,0,0
253,1.545625824,0,0,0,0
254,-1.234583582,0,0,0,0
255,0.310077768,0,0,0,0
256,0.924505814,0,0,0,0
257,1.219527309,0,0,0,0
258,1.80185055,0,0,0,0
259,0.297177039,0,0,0,0
260,-0.894193738,0,0,0,0
261,2.366974409,0,0,0,0
262,0,0,0,0,0
263,1.1628038,0,0,0,0
264,2.002928188,0,0,0,0
265,-1.139613473,0,0,0,0
266,1.985880865,0,0,0,0
267,0.560225555,0,0,0,0
268,-1.123607327,0,0,0,0
269,0,0,0,0,0
270,2.510592113,0,0,0,0
271,1.36801039,0,0,0,0
272,0,0,0,0,0
273,3.733767044,0,0,0,0
274,-0.788440352,0,0,0,0
275,-1.595778544,0,0,0,0
276,-2.717558538,0,0,0,0
277,0.549451932,0,0,0,0
278,2.969178981,0,0,0,0
279,-0.801072375,0,0,0,0
280,-1.07817756,0,0,0,0
281,0.540541857,0,0,0,0
282,1.869213301,0,0,0,0
283,0.790517951,0,0,0,0
284,-0.526317004,0,0,0,0
285,0.788440352,0,0,0,0
286,-5.931657716,0,0,0,0
287,-4.837358428,0,0,0,0
288,3.156646597,0,0,0,0
289,-0.566573754,0,0,0,0
290,9.479351743,0,0,0,0
291,4.299018493,0,0,0,0
292,-3.015303817,0,0,0,0
293,-3.901665234,0,0,0,0
294,-4.060097562,0,0,0,0
295,1.371763623,0,0,0,0
296,-6.763140089,0,0,0,0
297,-4.471683878,0,0,0,0
298,2.409755158,0,0,0,0
299,1.76995771,0,0,0,0
300,1.739174271,0,0,0,0
301,-2.325686216,0,0,0,0
302,2.612630459,0,0,0,0
303,2.54610642,0,0,0,0
304,2.754995177,0,0,0,0
305,2.150620522,0,0,0,0
306,3.655759573,0,0,0,0
307,-3.922071315,0,0,0,0
308,2.631730832,0,0,0,0
309,1.033600933,0,0,0,0
310,3.535721833,0,0,0,0
311,-4.051186892,0,0,0,0
312,9.601465324,0,0,0,0
313,9.616342218,0,0,0,0
314,-1.503787736,0,0,0,0
315,-8.819271204,0,0,0,0
316,1.641302964,0,0,0,0
317,-1.877989465,0,0,0,0
318,-1.432005377,0,0,0,0
319,-0.481928644,0,0,0,0
320,-0.241838086,0,0,0,0
321,0.72376673,0,0,0,0
322,-2.433210066,0,0,0,0
323,-1.23917323,0,0,0,0
324,0.249066131,0,0,0,0
325,-1.503787736,0,0,0,0
326,-1.015237146,0,0,0,0
327,1.519016549,0,0,0,0
328,-3.3208671,0,0,0,0
329,0,0,0,0,0
330,2.817087697,0,0,0,0
331,0,0,0,0,0
332,-2.557684179,0,0,0,0
333,1.542447033,0,0,0,0
334,0.762392511,0,0,0,0
335,0,0,0,0,0
336,-0.25348556,0,0,0,0
337,-1.277156568,0,0,0,0
338,-4.737728101,0,0,0,0
339,0.269179167,0,0,0,0
340,-1.08109161,0,0,0,0
341,-0.272109011,0,0,0,0
342,0.543479599,0,0,0,0
343,1.612938193,0,0,0,0
344,-0.267022856,0,0,0,0
345,1.328040767,0,0,0,0
346,0.263504764,0,0,0,0
347,-0.52770571,0,0,0,0
348,0.264200946,0,0,0,0
349,-0.794706169,0,0,0,0
350,-0.801072375,0,0,0,0
351,-0.807541401,0,0,0,0
352,-2.462504731,0,0,0,0
353,-0.834497193,0,0,0,0
354,-0.560225555,0,0,0,0
355,-0.563381772,0,0,0,0
356,-1.422499093,0,0,0,0
357,-0.286944243,0,0,0,0
358,1.142869582,0,0,0,0
359,-1.142869582,0,0,0,0
360,-1.447203261,0,0,0,0
361,4.559194132,0,0,0,0
362,-4.268073111,0,0,0,0
363,-2.055872702,0,0,0,0
364,-0.297177039,0,0,0,0
365,1.76995771,0,0,0,0
366,-1.472780671,0,0,0,0
367,-4.864180722,0,0,0,0
368,1.851904777,0,0,0,0
369,0.305343749,0,0,0,0
370,9.586434995,0,0,0,0
371,-2.809173487,0,0,0,0
372,-3.184060586,0,0,0,0
373,0.878482956,0,0,0,0
374,-2.658945419,0,0,0,0
375,-2.118082208,0,0,0,0
376,-0.92166551,0,0,0,0
377,-2.817087697,0,0,0,0
378,0.632913505,0,0,0,0
379,1.253934925,0,0,0,0
380,-3.486882565,0,0,0,0
381,2.23294764,0,0,0,0
382,2.492340845,0,0,0,0
383,2.130978659,0,0,0,0
384,-1.212136053,0,0,0,0
385,1.812738459,0,0,0,0
386,1.48591144,0,0,0,0
387,-5.144856184,0,0,0,0
388,1.234583582,0,0,0,0
389,-1.234583582,0,0,0,0
390,-0.623054975,0,0,0,0
391,0.312012734,0,0,0,0
392,-0.938974035,0,0,0,0
393,0.938974035,0,0,0,0
394,1.23840592,0,0,0,0
395,0.613498857,0,0,0,0
396,-2.476906811,0,0,0,0
397,-1.898791224,0,0,0,0
398,0.953902305,0,0,0,0
399,-0.953902305,0,0,0,0
400,-1.935544295,0,0,0,0
401,0.649352931,0,0,0,0
402,1.286191364,0,0,0,0
403,-1.610340757,0,0,0,0
404,0.969312921,0,0,0,0
405,1.277972665,0,0,0,0
406,3.12525435,0,0,0,0
407,0.613498857,0,0,0,0
408,-0.613498857,0,0,0,0
409,1.829319305,0,0,0,0
410,-2.756682983,0,0,0,0
411,0.927363679,0,0,0,0
412,-2.808296874,0,0,0,0
413,-1.273902578,0,0,0,0
414,0.956945102,0,0,0,0
415,-2.898753687,0,0,0,0
416,-0.327332534,0,0,0,0
417,0.327332534,0,0,0,0
418,0,0,0,0,0
419,-2.649161545,0,0,0,0
420,2.649161545,0,0,0,0
421,1.298719553,0,0,0,0
422,-0.647251451,0,0,0,0
423,2.564243061,0,0,0,0
424,1.880933196,0,0,0,0
425,-1.250016276,0,0,0,0
426,-0.31496089,0,0,0,0
427,1.253934925,0,0,0,0
428,-0.312012734,0,0,0,0
429,1.242252,0,0,0,0
430,2.137485958,0,0,0,0
431,-1.215820448,0,0,0,0
432,1.818231908,0,0,0,0
433,0.598804184,0,0,0,0
434,0.298062814,0,0,0,0
435,-2.10534092,0,0,0,0
436,-2.773675497,0,0,0,0
437,0.623054975,0,0,0,0
438,0.619197025,0,0,0,0
439,0,0,0,0,0
440,3.636764417,0,0,0,0
441,4.652001563,0,0,0,0
442,-2.008675857,0,0,0,0
443,-3.540192705,0,0,0,0
444,0.2998503,0,0,0,0
445,-0.90226176,0,0,0,0
446,1.201215645,0,0,0,0
447,2.651112555,0,0,0,0
448,0.290275966,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,-2.049852155,0,0,0,0
452,0,0,0,0,0
453,1.176484158,0,0,0,0
454,0.29197101,0,0,0,0
455,-0.878482956,0,0,0,0
456,-0.589972213,0,0,0,0
457,-2.698814472,0,0,0,0
458,-3.086664798,0,0,0,0
459,-3.184982589,0,0,0,0
460,-0.649352931,0,0,0,0
461,2.572489124,0,0,0,0
462,-2.572489124,0,0,0,0
463,2.254523832,0,0,0,0
464,3.750439546,0,0,0,0
465,0,0,0,0,0
466,1.823758755,0,0,0,0
467,0.899556291,0,0,0,0
468,-0.899556291,0,0,0,0
469,-1.212136053,0,0,0,0
470,-0.305343749,0,0,0,0
471,5.358424613,0,0,0,0
472,-0.290275966,0,0,0,0
473,-0.875918009,0,0,0,0
474,-0.58823699,0,0,0,0
475,-0.888894742,0,0,0,0
476,0,0,0,0,0
477,0.593473552,0,0,0,0
478,2.915658429,0,0,0,0
479,0.573067471,0,0,0,0
480,-2.312241742,0,0,0,0
481,3.730705241,0,0,0,0
482,0.281294138,0,0,0,0
483,-0.281294138,0,0,0,0
484,1.398624197,0,0,0,0
485,0.277392688,0,0,0,0
486,-1.114217655,0,0,0,0
487,0.836824967,0,0,0,0
488,-3.103210925,0,0,0,0
489,2.266385958,0,0,0,0
490,2.762606627,0,0,0,0
491,0.272109011,0,0,0,0
492,-0.272109011,0,0,0,0
493,2.953234757,0,0,0,0
494,4.652001563,0,0,0,0
495,-1.526747213,0,0,0,0
496,1.273902578,0,0,0,0
497,0.756624038,0,0,0,0
498,-1.519016549,0,0,0,0
499,2.519024883,0,0,0,0
500,1.481508579,0,0,0,0
501,0,0,0,0,0
502,-2.733089372,0,0,0,0
503,-0.252206943,0,0,0,0
504,-1.783486764,0,0,0,0
505,0.768249617,0,0,0,0
506,0,0,0,0,0
507,0.762392511,0,0,0,0
508,0.505051579,0,0,0,0
509,0,0,0,0,0
510,-2.035693707,0,0,0,0
511,0.256739551,0,0,0,0
512,-4.725288485,0,0,0,0
513,0.80321717,0,0,0,0
514,0.266311742,0,0,0,0
515,-3.243527575,0,0,0,0
516,2.710192978,0,0,0,0
517,9.433741708,0,0,0,0
518,2.641209954,0,0,0,0
519,-4.359043607,0,0,0,0
520,9.440968447,0,0,0,0
521,0.224971973,0,0,0,0
522,1.11733006,0,0,0,0
523,-3.160533942,0,0,0,0
524,-0.690451535,0,0,0,0
525,-3.048301673,0,0,0,0
526,9.53101798,0,0,0,0
527,7.704120467,0,0,0,0
528,-2.434197267,0,0,0,0
529,-1.656352567,0,0,0,0
530,-1.049327572,0,0,0,0
531,2.910808416,0,0,0,0
532,4.605418435,0,0,0,0
533,-1.379332213,0,0,0,0
534,9.458841868,0,0,0,0
535,9.465358096,0,0,0,0
536,1.30507562,0,0,0,0
537,-7.923266308,0,0,0,0
538,-1.591545531,0,0,0,0
539,-3.261158559,0,0,0,0
540,2.724964245,0,0,0,0
541,-7.053015081,0,0,0,0
542,1.337173697,0,0,0,0
543,1.693361253,0,0,0,0
544,-1.125715452,0,0,0,0
545,1.498155362,0,0,0,0
546,1.109068669,0,0,0,0
547,3.077165867,0,0,0,0
548,1.063839821,0,0,0,0
549,-2.319461698,0,0,0,0
550,-2.930612659,0,0,0,0
551,5.250074357,0,0,0,0
552,-0.530505223,0,0,0,0
553,7.017420653,0,0,0,0
554,1.476647012,0,0,0,0
555,7.678006204,0,0,0,0
556,-7.841005425,0,0,0,0
557,1.618158285,0,0,0,0
558,2.848293813,0,0,0,0
559,6.49284607,0,0,0,0
560,1.1628038,0,0,0,0
561,-1.309109605,0,0,0,0
562,4.578768312,0,0,0,0
563,-0.420463128,0,0,0,0
