,day,open,high,low,close,volume
0,1990-12-19,96.050,99.980,95.790,99.980,126000
1,1990-12-20,104.300,104.390,99.980,104.390,19700
2,1990-12-21,109.070,109.130,103.730,109.130,2800
3,1990-12-24,113.570,114.550,109.130,114.550,3200
4,1990-12-25,120.090,120.250,114.550,120.250,1500
5,1990-12-26,125.270,125.270,120.250,125.270,10000
6,1990-12-27,125.270,125.280,125.270,125.280,6600
7,1990-12-28,126.390,126.450,125.280,126.450,10800
8,1990-12-31,126.560,127.610,126.480,127.610,7800
9,1991-01-02,127.610,128.840,127.610,128.840,9100
10,1991-01-03,128.840,130.140,128.840,130.140,14100
11,1991-01-04,131.270,131.440,130.140,131.440,42000
12,1991-01-07,131.990,132.060,131.450,132.060,21700
13,1991-01-08,132.620,132.680,132.060,132.680,292600
14,1991-01-09,133.300,133.340,132.680,133.340,560300
15,1991-01-10,133.930,133.970,133.340,133.970,999000
16,1991-01-11,134.610,134.610,134.510,134.600,1332700
17,1991-01-14,134.110,135.190,134.110,134.670,1253000
18,1991-01-15,134.210,134.740,134.190,134.740,144600
19,1991-01-16,134.190,134.740,134.140,134.240,50900
20,1991-01-17,133.670,134.250,133.650,134.250,65800
21,1991-01-18,133.700,134.250,133.670,134.240,300400
22,1991-01-21,133.700,134.240,133.660,134.240,205100
23,1991-01-22,133.720,134.240,133.660,133.720,35400
24,1991-01-23,133.170,133.720,133.140,133.170,109500
25,1991-01-24,132.610,133.170,132.570,132.610,185700
26,1991-01-25,132.050,132.070,132.030,132.050,344700
27,1991-01-28,131.460,131.550,131.460,131.460,510700
28,1991-01-29,130.950,130.970,130.950,130.950,138700
29,1991-01-30,130.440,130.950,130.410,130.440,52700
30,1991-01-31,129.930,130.460,129.930,129.970,51000
31,1991-02-01,129.500,129.970,129.450,129.510,34500
32,1991-02-04,129.050,129.580,129.050,129.050,55300
33,1991-02-05,128.560,128.580,128.530,128.580,856200
34,1991-02-06,129.130,129.150,128.060,129.140,664100
35,1991-02-07,129.740,129.790,129.140,129.790,213300
36,1991-02-08,130.360,130.390,129.790,130.380,123400
37,1991-02-11,130.920,130.970,130.390,130.970,931700
38,1991-02-12,131.540,131.560,130.970,131.350,377400
39,1991-02-13,131.930,131.930,131.350,131.920,115200
40,1991-02-14,132.530,132.530,132.300,132.530,362400
41,1991-02-19,133.120,133.140,133.080,133.130,174800
42,1991-02-20,133.630,133.670,133.130,133.670,87600
43,1991-02-21,134.240,134.280,133.670,134.280,322000
44,1991-02-22,134.850,134.870,134.280,134.870,342700
45,1991-02-25,134.370,134.870,134.330,134.400,81000
46,1991-02-26,133.900,134.440,133.900,133.930,109400
47,1991-02-27,133.440,133.980,133.440,133.470,21400
48,1991-02-28,132.990,133.520,132.980,133.010,225800
49,1991-03-01,132.530,132.530,132.470,132.530,712400
50,1991-03-04,132.090,132.090,131.980,131.990,251800
51,1991-03-05,131.420,131.990,131.410,131.460,98200
52,1991-03-06,130.890,130.950,130.890,130.940,71900
53,1991-03-07,130.410,130.940,130.410,130.410,56800
54,1991-03-08,129.840,130.410,129.840,129.890,93300
55,1991-03-11,129.300,129.890,129.300,129.310,51400
56,1991-03-12,128.730,129.310,128.730,128.770,95700
57,1991-03-13,126.130,128.770,126.130,126.150,49800
58,1991-03-14,125.610,126.150,125.610,125.630,32600
59,1991-03-15,125.080,125.620,125.080,125.170,79000
60,1991-03-18,124.700,125.170,124.690,124.710,125000
61,1991-03-19,124.230,124.710,124.220,124.220,89200
62,1991-03-20,123.660,124.210,123.630,123.660,67800
63,1991-03-21,123.140,123.660,123.120,123.120,15100
64,1991-03-22,122.620,123.120,122.620,122.620,20700
65,1991-03-25,122.120,122.620,122.100,122.120,44300
66,1991-03-26,121.620,122.140,121.620,121.620,116400
67,1991-03-27,121.120,121.640,121.120,121.120,66800
68,1991-03-28,120.650,121.150,120.610,120.610,96100
69,1991-03-29,120.160,120.610,120.110,120.190,218500
70,1991-04-01,120.690,120.730,119.680,120.730,1199900
71,1991-04-02,121.210,121.290,120.730,121.210,81600
72,1991-04-03,121.710,121.710,121.210,121.710,206300
73,1991-04-04,122.200,122.200,121.240,121.720,1051700
74,1991-04-05,121.070,121.730,121.030,121.540,1158900
75,1991-04-08,121.110,121.110,121.050,121.090,186200
76,1991-04-09,120.600,121.100,120.600,120.620,32000
77,1991-04-10,120.150,120.620,120.090,120.160,46600
78,1991-04-11,119.640,120.160,119.620,119.640,23900
79,1991-04-12,119.200,119.650,119.150,119.210,39900
80,1991-04-15,118.730,119.220,118.720,118.770,30100
81,1991-04-16,118.360,118.770,118.340,118.340,10500
82,1991-04-17,117.920,118.340,117.890,117.900,20100
83,1991-04-18,117.450,117.930,117.450,117.450,17800
84,1991-04-19,117.080,117.500,117.050,117.080,64600
85,1991-04-22,116.630,117.080,116.580,116.630,43000
86,1991-04-23,116.210,116.630,116.150,116.190,28200
87,1991-04-24,115.700,116.190,115.700,115.790,14800
88,1991-04-25,115.380,115.790,115.330,115.360,149500
89,1991-04-26,116.310,116.310,114.520,115.560,1335400
90,1991-04-29,114.860,116.290,114.750,114.750,841100
91,1991-04-30,113.890,114.870,113.890,113.940,485000
92,1991-05-02,113.040,113.200,113.030,113.160,146500
93,1991-05-03,112.460,113.170,112.300,112.410,423000
94,1991-05-06,111.650,112.410,111.570,111.610,276400
95,1991-05-07,110.800,110.900,110.800,110.820,187500
96,1991-05-08,110.160,110.820,110.000,110.030,42300
97,1991-05-09,109.360,110.120,109.310,109.290,226600
98,1991-05-10,108.610,109.400,108.530,108.530,24900
99,1991-05-13,107.880,107.880,107.740,107.840,23500
100,1991-05-14,107.210,107.840,107.060,107.190,26700
101,1991-05-15,106.560,106.600,106.420,106.570,39000
102,1991-05-16,105.830,105.860,105.690,105.770,310800
103,1991-05-17,105.120,106.750,104.960,106.750,2019200
104,1991-05-20,107.760,107.820,106.710,107.820,86300
105,1991-05-21,108.890,108.890,108.620,108.810,77100
106,1991-05-22,109.710,109.820,108.110,108.250,1867700
107,1991-05-23,107.520,109.160,107.350,109.080,560900
108,1991-05-24,110.070,110.080,109.820,110.080,102400
109,1991-05-27,111.050,111.070,109.470,110.660,861900
110,1991-05-28,111.610,111.680,111.360,111.680,163000
111,1991-05-29,112.750,112.750,111.670,112.750,53000
112,1991-05-30,113.740,113.820,112.770,113.820,38800
113,1991-05-31,114.830,114.830,113.840,114.830,121100
114,1991-06-03,115.900,115.970,114.890,115.970,95400
115,1991-06-04,117.120,117.120,116.830,117.120,360300
116,1991-06-05,118.170,118.170,117.140,118.170,30800
117,1991-06-06,118.170,118.170,117.140,118.170,26600
118,1991-06-07,120.460,120.470,119.350,120.470,10000
119,1991-06-10,121.650,121.670,120.470,121.670,40000
120,1991-06-11,122.890,122.890,121.670,122.890,54300
121,1991-06-12,123.900,124.110,122.890,124.110,137200
122,1991-06-13,125.330,125.340,123.650,125.340,2086800
123,1991-06-14,124.470,126.340,124.470,124.530,663300
124,1991-06-17,125.630,125.770,123.540,125.770,693300
125,1991-06-18,127.030,127.030,126.670,127.030,203000
126,1991-06-19,128.120,128.290,127.030,128.290,148100
127,1991-06-20,129.550,129.570,129.210,129.570,229900
128,1991-06-21,130.720,130.860,128.810,130.860,1361300
129,1991-06-24,132.100,132.170,131.800,132.170,196000
