日期_Date,周序号_WkNo,周无风险收益率_WkRFRet
2010/01/01,2610,0.000352
2010/01/08,2611,0.000352
2010/01/15,2612,0.000356
2010/01/22,2613,0.000361
2010/01/29,2614,0.000365
2010/02/05,2615,0.000367
2010/02/12,2616,0.000369
2010/02/19,2617,0.000371
2010/02/26,2618,0.000373
2010/03/05,2619,0.000374
2010/03/12,2620,0.000374
2010/03/19,2621,0.000373
2010/03/26,2622,0.000373
2010/04/02,2623,0.000373
2010/04/09,2624,0.000373
2010/04/16,2625,0.000373
2010/04/23,2626,0.000373
2010/04/30,2627,0.000373
2010/05/07,2628,0.000374
2010/05/14,2629,0.000374
2010/05/21,2630,0.000375
2010/05/28,2631,0.00039
2010/06/04,2632,0.000423
2010/06/11,2633,0.000439
2010/06/18,2634,0.000457
2010/06/25,2635,0.000489
2010/07/02,2636,0.000505
2010/07/09,2637,0.000501
2010/07/16,2638,0.000498
2010/07/23,2639,0.00049
2010/07/30,2640,0.000476
2010/08/06,2641,0.000471
2010/08/13,2642,0.000473
2010/08/20,2643,0.000474
2010/08/27,2644,0.000476
2010/09/03,2645,0.000482
2010/09/10,2646,0.000487
2010/09/17,2647,0.000492
2010/09/24,2648,0.000495
2010/10/01,2649,0.000501
2010/10/08,2650,0.000502
2010/10/15,2651,0.000507
2010/10/22,2652,0.000523
2010/10/29,2653,0.000541
2010/11/05,2654,0.000546
2010/11/12,2655,0.000551
2010/11/19,2656,0.000556
2010/11/26,2657,0.000581
2010/12/03,2658,0.000629
2010/12/10,2659,0.000668
2010/12/17,2660,0.000727
2010/12/24,2661,0.000788
2010/12/31,2662,0.000879
2011/01/07,2663,0.000869
2011/01/14,2664,0.000815
2011/01/21,2665,0.000861
2011/01/28,2666,0.00103
2011/02/04,2667,0.00109
2011/02/11,2668,0.001069
2011/02/18,2669,0.000932
2011/02/25,2670,0.00094
2011/03/04,2671,0.000901
2011/03/11,2672,0.000823
2011/03/18,2673,0.000812
2011/03/25,2674,0.000818
2011/04/01,2675,0.000805
2011/04/08,2676,0.000811
2011/04/15,2677,0.000816
2011/04/22,2678,0.00083
2011/04/29,2679,0.000866
2011/05/06,2680,0.00087
2011/05/13,2681,0.000866
2011/05/20,2682,0.000875
2011/05/27,2683,0.000887
2011/06/03,2684,0.000886
2011/06/10,2685,0.000899
2011/06/17,2686,0.00101
2011/06/24,2687,0.001167
2011/07/01,2688,0.001234
2011/07/08,2689,0.001219
2011/07/15,2690,0.001181
2011/07/22,2691,0.00115
2011/07/29,2692,0.001155
2011/08/05,2693,0.001133
2011/08/12,2694,0.001086
2011/08/19,2695,0.00105
2011/08/26,2696,0.001038
2011/09/02,2697,0.001061
2011/09/09,2698,0.001083
2011/09/16,2699,0.001083
2011/09/23,2700,0.001082
2011/09/30,2701,0.001084
2011/10/07,2702,0.001086
2011/10/14,2703,0.001084
2011/10/21,2704,0.001081
2011/10/28,2705,0.001085
2011/11/04,2706,0.001098
2011/11/11,2707,0.001094
2011/11/18,2708,0.001088
2011/11/25,2709,0.00109
2011/12/02,2710,0.001081
2011/12/09,2711,0.001057
2011/12/16,2712,0.001049
2011/12/23,2713,0.001049
2011/12/30,2714,0.001052
2012/01/06,2715,0.001051
2012/01/13,2716,0.001049
2012/01/20,2717,0.00106
2012/01/27,2718,0.001054
2012/02/03,2719,0.001049
2012/02/10,2720,0.001032
2012/02/17,2721,0.001018
2012/02/24,2722,0.00102
2012/03/02,2723,0.001015
2012/03/09,2724,0.000995
2012/03/16,2725,0.00097
2012/03/23,2726,0.000955
2012/03/30,2727,0.000947
2012/04/06,2728,0.000939
2012/04/13,2729,0.000933
2012/04/20,2730,0.000923
2012/04/27,2731,0.000909
2012/05/04,2732,0.000903
2012/05/11,2733,0.000894
2012/05/18,2734,0.000866
2012/05/25,2735,0.000835
2012/06/01,2736,0.000812
2012/06/08,2737,0.000801
2012/06/15,2738,0.000783
2012/06/22,2739,0.000777
2012/06/29,2740,0.000786
2012/07/06,2741,0.000779
2012/07/13,2742,0.000753
2012/07/20,2743,0.00073
2012/07/27,2744,0.000725
2012/08/03,2745,0.000716
2012/08/10,2746,0.000699
2012/08/17,2747,0.000691
2012/08/24,2748,0.000701
2012/08/31,2749,0.000699
2012/09/07,2750,0.000699
2012/09/14,2751,0.000701
2012/09/21,2752,0.000703
2012/09/28,2753,0.000708
2012/10/05,2754,0.000709
2012/10/12,2755,0.00071
2012/10/19,2756,0.000712
2012/10/26,2757,0.000713
2012/11/02,2758,0.000715
2012/11/09,2759,0.000717
2012/11/16,2760,0.000724
2012/11/23,2761,0.000729
2012/11/30,2762,0.000734
2012/12/07,2763,0.000737
2012/12/14,2764,0.000741
2012/12/21,2765,0.000745
2012/12/28,2766,0.000749
2013/01/04,2767,0.00075
2013/01/11,2768,0.000751
