股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H
603042,2020/12/31,0.5656
603042,2021/01/29,0.7637
603042,2021/02/26,0.7033
603042,2021/03/31,1.4765
603042,2021/04/30,1.5172
603042,2021/05/31,1.519
603042,2021/06/30,1.3858
603042,2021/07/30,0.9193
603042,2021/08/31,0.6047
603042,2021/09/30,0.1926
603042,2021/10/29,0.1726
603042,2021/11/30,-0.6978
603042,2021/12/31,-0.2013
603043,2018/06/29,1.1476
603043,2018/07/31,2.1302
603043,2018/08/31,2.1917
603043,2018/09/28,1.7383
603043,2018/10/31,1.5578
603043,2018/11/30,1.5705
603043,2018/12/28,1.5321
603043,2019/01/31,1.7173
603043,2019/02/28,1.0072
603043,2019/03/29,0.8157
603043,2019/04/30,0.79
603043,2019/05/31,0.6855
603043,2019/06/28,0.5642
603043,2019/07/31,0.4865
603043,2019/08/30,0.3244
603043,2019/09/30,0.4162
603043,2019/10/31,0.274
603043,2019/11/29,0.3532
603043,2019/12/31,0.5666
603043,2020/01/23,0.7424
603043,2020/02/28,-0.0449
603043,2020/03/31,0.2394
603043,2020/04/30,0.3913
603043,2020/05/29,0.6758
603043,2020/06/30,0.1651
603043,2020/07/31,0.979
603043,2020/08/31,1.1655
603043,2020/09/30,1.5
603043,2020/10/30,1.4859
603043,2020/11/30,1.3659
603043,2020/12/31,1.465
603043,2021/01/29,1.2876
603043,2021/02/26,1.5747
603043,2021/03/31,1.5321
603043,2021/04/30,1.5093
603043,2021/05/31,1.5743
603043,2021/06/30,1.7656
603043,2021/07/30,1.7684
603043,2021/08/31,1.5429
603043,2021/09/30,0.9564
603043,2021/10/29,0.832
603043,2021/11/30,0.9323
603043,2021/12/31,0.9831
603045,2019/05/31,0.2884
603045,2019/06/28,0.9215
603045,2019/07/31,0.8657
603045,2019/08/30,0.5694
603045,2019/09/30,0.7039
603045,2019/10/31,0.9396
603045,2019/11/29,0.9543
603045,2019/12/31,1.1536
603045,2020/01/23,1.3134
603045,2020/02/28,0.2877
603045,2020/03/31,0.0828
603045,2020/04/30,0.0805
603045,2020/05/29,0.4034
603045,2020/06/30,1.4393
603045,2020/07/31,0.9722
603045,2020/08/31,0.974
603045,2020/09/30,1.0709
603045,2020/10/30,1.0675
603045,2020/11/30,1.0919
603045,2020/12/31,1.0151
603045,2021/01/29,1.0687
603045,2021/02/26,0.9573
603045,2021/03/31,1.1128
603045,2021/04/30,1.1309
603045,2021/05/31,1.2547
603045,2021/06/30,1.0494
603045,2021/07/30,0.5926
603045,2021/08/31,0.9052
603045,2021/09/24,0.4515
603045,2021/10/29,-0.0097
603045,2021/11/30,-0.4148
603045,2021/12/31,-0.2106
603050,2018/04/27,1.2386
603050,2018/05/31,1.3279
603050,2018/06/29,1.4817
603050,2018/07/31,2.1795
603050,2018/08/31,1.4587
603050,2018/09/28,1.1896
603050,2018/10/31,1.202
603050,2018/11/30,1.2266
603050,2018/12/28,1.0113
603050,2019/01/31,0.2152
603050,2019/02/28,0.7535
603050,2019/03/29,0.8745
603050,2019/04/30,0.78
603050,2019/05/31,0.7007
603050,2019/06/28,0.5169
603050,2019/07/31,0.5503
603050,2019/08/30,0.5971
603050,2019/09/30,0.7107
603050,2019/10/31,0.5169
603050,2019/11/29,0.5609
603050,2019/12/31,1.1541
603050,2020/01/23,0.9674
603050,2020/02/28,0.2938
603050,2020/03/31,-0.146
603050,2020/04/30,0.2356
603050,2020/05/29,0.2205
603050,2020/06/30,0.177
603050,2020/07/31,0.7472
603050,2020/08/31,0.7485
603050,2020/09/30,0.8328
603050,2020/10/30,0.8014
603050,2020/11/30,0.5916
603050,2020/12/31,0.565
603050,2021/01/29,0.9239
603050,2021/02/26,0.8537
603050,2021/03/31,1.0165
603050,2021/04/30,0.9449
603050,2021/05/31,0.9446
603050,2021/06/30,1.0306
603050,2021/07/30,-0.3507
603050,2021/08/31,-0.3171
603050,2021/09/30,-0.8093
603050,2021/10/29,-0.6259
603050,2021/11/30,-0.562
603050,2021/12/31,-0.9303
603053,2020/12/31,0.6857
603053,2021/01/29,0.737
603053,2021/02/26,0.5057
603053,2021/03/31,0.3616
603053,2021/04/30,0.5084
603053,2021/05/31,0.7123
603053,2021/06/30,0.7832
603053,2021/07/30,0.4621
603053,2021/08/31,0.7964
603053,2021/09/30,0.7035
603053,2021/10/29,0.9132
603053,2021/11/30,0.8703
603053,2021/12/31,1.217
603055,2018/09/28,1.0957
603055,2018/10/31,1.0261
603055,2018/11/30,1.0752
603055,2018/12/28,1.1055
603055,2019/01/31,0.891
603055,2019/02/28,1.0494
603055,2019/03/29,1.0118
603055,2019/04/30,1.0525
603055,2019/05/31,0.9191
603055,2019/06/28,0.7946
603055,2019/07/31,0.8379
603055,2019/08/30,0.8431
603055,2019/09/30,0.9649
603055,2019/10/31,1.0832
603055,2019/11/29,1.1897
603055,2019/12/31,1.2356
603055,2020/01/23,1.2295
603055,2020/02/28,0.485
603055,2020/03/31,0.8493
603055,2020/04/30,0.9094
603055,2020/05/29,1.2156
603055,2020/06/30,1.7366
603055,2020/07/31,2.0648
603055,2020/08/31,1.9246
603055,2020/09/30,1.7334
603055,2020/10/30,1.773
603055,2020/11/30,1.4758
603055,2020/12/31,1.4266
603055,2021/01/29,1.5733
603055,2021/02/26,1.7122
603055,2021/03/31,1.5992
603055,2021/04/30,1.5454
603055,2021/05/31,1.5571
603055,2021/06/30,1.1888
603055,2021/07/30,-2.3097
603055,2021/08/31,-0.9208
603055,2021/09/30,-1.377
603055,2021/10/29,-1.5218
603055,2021/11/30,-0.5865
603055,2021/12/31,-0.7468
603056,2019/01/31,-0.1803
603056,2019/02/28,0.9401
603056,2019/03/29,0.9702
603056,2019/04/30,1.2352
603056,2019/05/31,1.223
603056,2019/06/28,1.4531
603056,2019/07/31,1.4728
603056,2019/08/30,1.4785
603056,2019/09/30,1.5552
603056,2019/10/31,1.5348
603056,2019/11/29,1.6421
603056,2019/12/31,1.6579
603056,2020/01/23,1.6444
603056,2020/02/28,0.7235
603056,2020/03/31,0.5843
603056,2020/04/30,0.5101
603056,2020/05/29,0.2157
603056,2020/06/30,0.2856
603056,2020/07/31,-0.1185
603056,2020/08/31,0.0827
603056,2020/09/30,0.4941
603056,2020/10/30,0.5085
603056,2020/11/30,0.2288
603056,2020/12/31,0.2199
603056,2021/01/29,0.0318
603056,2021/02/26,0.0744
603056,2021/03/31,0.0023
603056,2021/04/30,0.1498
603056,2021/05/31,0.4405
603056,2021/06/30,0.4953
603056,2021/07/30,1.5765
603056,2021/08/31,0.6647
603056,2021/09/30,0.2457
603056,2021/10/29,0.1909
603056,2021/11/30,0.5193
603056,2021/12/31,0.7712
603058,2017/12/29,7.2974
603058,2018/01/31,7.3279
603058,2018/02/28,5.008
603058,2018/03/30,4.3345
603058,2018/04/27,4.4036
603058,2018/05/31,4.3878
603058,2018/06/29,4.06
603058,2018/07/31,4.6516
603058,2018/08/31,4.7234
603058,2018/09/28,3.9741
603058,2018/10/31,2.8384
603058,2018/11/30,2.8294
603058,2018/12/28,3.1321
603058,2019/01/31,0.5466
603058,2019/02/28,0.9356
603058,2019/03/29,1.0226
603058,2019/04/30,0.9415
603058,2019/05/31,1.0006
603058,2019/06/28,0.8372
603058,2019/07/31,0.8336
603058,2019/08/30,0.8198
603058,2019/09/30,0.8792
603058,2019/10/31,1.498
603058,2019/11/29,1.4509
603058,2019/12/31,1.5396
603058,2020/01/23,1.4163
603058,2020/02/28,1.2058
603058,2020/03/31,0.971
603058,2020/04/30,1.4218
603058,2020/05/29,1.2416
603058,2020/06/30,2.1343
603058,2020/07/31,1.6226
603058,2020/08/31,1.4252
603058,2020/09/30,1.6095
603058,2020/10/30,1.5941
603058,2020/11/30,1.3963
603058,2020/12/31,1.3706
603058,2021/01/29,1.2627
603058,2021/02/26,1.1545
603058,2021/03/31,1.0487
603058,2021/04/30,1.068
603058,2021/05/31,1.1336
603058,2021/06/30,0.8114
603058,2021/07/30,-0.2392
603058,2021/08/31,0.213
603058,2021/09/30,-0.4545
603058,2021/10/29,-0.3241
603058,2021/11/30,-0.2484
603058,2021/12/31,0.5186
603059,2019/03/29,1.1653
603059,2019/04/30,1.0592
603059,2019/05/31,0.9954
603059,2019/06/28,0.8346
603059,2019/07/31,0.8596
603059,2019/08/30,0.6354
603059,2019/09/30,0.6258
603059,2019/10/31,0.9659
603059,2019/11/29,1.123
603059,2019/12/31,1.3994
603059,2020/01/23,1.5618
603059,2020/02/28,2.0421
603059,2020/03/31,1.9437
603059,2020/04/30,1.7288
603059,2020/05/29,1.9273
