日期, 市场指数, 组合1, 组合2, 组合3, 组合4, 组合5, 无风险利率, 市场溢酬因子, 市值因子, 账面市值比因子 
20090109, 1904.860000, 1727.010000, 1281.300000, 1591.430000, 2469.130000, 1822.580000, 0.000043, 0.020400, 0.008300, 0.001000 
20090112, 1900.350000, 1715.860000, 1300.270000, 1590.850000, 2488.000000, 1829.900000, 0.000042, 0.004400, 0.010200, -0.002100 
20090113, 1863.370000, 1667.970000, 1273.800000, 1551.210000, 2407.010000, 1774.560000, 0.000041, -0.024900, -0.001900, 0.007400 
20090114, 1928.870000, 1750.080000, 1329.630000, 1607.210000, 2463.770000, 1817.240000, 0.000041, 0.042700, 0.002900, -0.002200 
20090115, 1920.210000, 1739.640000, 1334.240000, 1614.490000, 2456.650000, 1814.100000, 0.000040, 0.003300, 0.007900, -0.003100 
20090116, 1954.440000, 1775.220000, 1351.270000, 1628.800000, 2506.710000, 1818.730000, 0.000040, 0.014500, -0.010200, 0.001600 
20090119, 1986.670000, 1799.970000, 1360.710000, 1638.490000, 2489.740000, 1797.450000, 0.000039, 0.007600, -0.005900, 0.002700 
20090120, 1994.110000, 1809.350000, 1379.290000, 1642.010000, 2506.130000, 1827.450000, 0.000039, 0.008700, 0.004500, -0.001300 
20090121, 1985.020000, 1798.080000, 1372.670000, 1635.380000, 2487.050000, 1826.330000, 0.000039, -0.002600, 0.003200, -0.004600 
20090122, 2004.950000, 1864.160000, 1405.040000, 1661.630000, 2501.090000, 1865.830000, 0.000038, 0.012800, -0.000700, -0.001700 
20090123, 1990.660000, 1845.820000, 1399.630000, 1647.820000, 2499.350000, 1843.090000, 0.000038, -0.004600, -0.004500, 0.003700 
20090202, 2011.680000, 1853.840000, 1436.320000, 1680.250000, 2569.920000, 1867.560000, 0.000037, 0.018400, 0.010500, -0.003600 
20090203, 2060.810000, 1885.700000, 1478.230000, 1732.670000, 2636.200000, 1890.760000, 0.000037, 0.025700, 0.007000, -0.002300 
20090204, 2107.750000, 1913.870000, 1522.630000, 1755.010000, 2700.730000, 1909.480000, 0.000037, 0.025100, -0.000300, 0.001700 
20090205, 2098.020000, 1916.380000, 1504.890000, 1740.360000, 2674.160000, 1866.670000, 0.000037, -0.009600, -0.000100, 0.002500 
20090206, 2181.240000, 1992.630000, 1575.120000, 1795.740000, 2779.230000, 1915.150000, 0.000036, 0.041900, 0.001500, -0.000100 
20090209, 2224.710000, 2056.880000, 1646.630000, 1855.680000, 2874.590000, 1972.310000, 0.000036, 0.028200, -0.002900, -0.010500 
20090210, 2265.160000, 2096.390000, 1682.650000, 1888.620000, 2912.510000, 2022.340000, 0.000036, 0.017500, 0.007900, -0.005900 
20090211, 2260.820000, 2066.610000, 1682.360000, 1895.060000, 2918.210000, 2025.460000, 0.000036, 0.002600, 0.002300, -0.000500 
20090212, 2248.090000, 2009.780000, 1669.250000, 1895.770000, 2940.400000, 2074.290000, 0.000036, 0.002200, 0.014300, -0.002900 
20090213, 2320.790000, 2069.640000, 1727.870000, 1975.700000, 3024.630000, 2123.560000, 0.000036, 0.035600, -0.001300, -0.002600 
20090216, 2389.390000, 2151.630000, 1801.250000, 2006.380000, 3064.770000, 2130.070000, 0.000035, 0.024200, -0.002200, 0.009100 
20090217, 2319.440000, 2103.260000, 1760.870000, 1925.960000, 2988.450000, 2085.320000, 0.000035, -0.034700, -0.004500, -0.006600 
20090218, 2209.860000, 1960.640000, 1671.140000, 1842.140000, 2884.360000, 2038.030000, 0.000035, -0.044400, 0.007400, -0.009900 
20090219, 2227.130000, 1975.650000, 1704.840000, 1876.530000, 2932.610000, 2073.710000, 0.000035, 0.013900, 0.000500, 0.005600 
20090220, 2261.480000, 2009.770000, 1763.100000, 1919.000000, 3017.000000, 2122.490000, 0.000035, 0.024200, 0.007300, 0.002300 
20090223, 2305.780000, 2048.130000, 1811.880000, 1959.200000, 3131.680000, 2183.980000, 0.000035, 0.029700, 0.007600, -0.002300 
20090224, 2200.650000, 1933.330000, 1741.810000, 1871.510000, 3038.540000, 2105.500000, 0.000035, -0.045200, 0.001700, 0.002400 
20090225, 2206.570000, 1915.560000, 1732.160000, 1868.630000, 3046.620000, 2099.080000, 0.000035, 0.001700, 0.016900, 0.006900 
20090226, 2121.250000, 1843.690000, 1618.280000, 1767.020000, 2859.600000, 1970.100000, 0.000035, -0.057200, -0.009300, 0.005300 
20090227, 2082.850000, 1796.040000, 1532.120000, 1702.140000, 2750.940000, 1912.950000, 0.000035, -0.036000, -0.024500, -0.001300 
