指数代码_IdxCd,指数名称_IdxNm,交易日期_TrdDt,收盘价()_ClPr,指数月收益率_IdxMonRet
1,上证指数,1997/1/31,964.74,0.052
1,上证指数,1997/2/28,1040.27,0.0783
1,上证指数,1997/3/31,1234.62,0.1868
1,上证指数,1997/4/30,1393.75,0.1289
1,上证指数,1997/5/30,1285.18,-0.0779
1,上证指数,1997/6/27,1250.27,-0.0272
1,上证指数,1997/7/31,1189.76,-0.0484
1,上证指数,1997/8/29,1221.06,0.0263
1,上证指数,1997/9/30,1097.38,-0.1013
1,上证指数,1997/10/31,1180.39,0.0756
1,上证指数,1997/11/28,1139.63,-0.0345
1,上证指数,1997/12/31,1194.1,0.0478
1,上证指数,1998/1/23,1222.91,0.0241
1,上证指数,1998/2/27,1206.53,-0.0134
1,上证指数,1998/3/31,1243.02,0.0302
1,上证指数,1998/4/30,1343.45,0.0808
1,上证指数,1998/5/29,1411.21,0.0504
1,上证指数,1998/6/30,1339.2,-0.051
1,上证指数,1998/7/31,1316.92,-0.0166
1,上证指数,1998/8/31,1150.22,-0.1266
1,上证指数,1998/9/30,1242.9,0.0806
1,上证指数,1998/10/30,1217.32,-0.0206
1,上证指数,1998/11/30,1247.42,0.0247
1,上证指数,1998/12/31,1146.7,-0.0807
1,上证指数,1999/1/29,1134.67,-0.0105
1,上证指数,1999/2/9,1090.09,-0.0393
1,上证指数,1999/3/31,1158.05,0.0624
1,上证指数,1999/4/30,1120.93,-0.0321
1,上证指数,1999/5/31,1279.33,0.1413
1,上证指数,1999/6/30,1689.43,0.3206
1,上证指数,1999/7/30,1601.46,-0.0521
1,上证指数,1999/8/31,1627.12,0.016
1,上证指数,1999/9/30,1570.7,-0.0347
1,上证指数,1999/10/29,1504.56,-0.0421
1,上证指数,1999/11/30,1434.97,-0.0463
1,上证指数,1999/12/30,1366.58,-0.0477
1,上证指数,2000/1/28,1535,0.1232
1,上证指数,2000/2/29,1714.58,0.117
1,上证指数,2000/3/31,1800.22,0.05
1,上证指数,2000/4/28,1836.32,0.0201
1,上证指数,2000/5/31,1894.55,0.0317
1,上证指数,2000/6/30,1928.11,0.0177
1,上证指数,2000/7/31,2023.54,0.0495
1,上证指数,2000/8/31,2021.2,-0.0012
1,上证指数,2000/9/29,1910.16,-0.0549
1,上证指数,2000/10/31,1961.29,0.0268
1,上证指数,2000/11/30,2070.61,0.0557
1,上证指数,2000/12/29,2073.48,0.0014
1,上证指数,2001/1/19,2065.61,-0.0038
1,上证指数,2001/2/28,1959.18,-0.0515
1,上证指数,2001/3/30,2112.78,0.0784
1,上证指数,2001/4/30,2119.18,0.003
1,上证指数,2001/5/31,2214.26,0.0449
1,上证指数,2001/6/29,2218.03,0.0017
1,上证指数,2001/7/31,1920.32,-0.1342
1,上证指数,2001/8/31,1834.14,-0.0449
1,上证指数,2001/9/28,1764.87,-0.0378
1,上证指数,2001/10/31,1689.17,-0.0429
1,上证指数,2001/11/30,1747.99,0.0348
1,上证指数,2001/12/31,1645.97,-0.0584
1,上证指数,2002/1/31,1491.66,-0.0937
1,上证指数,2002/2/28,1524.7,0.0221
1,上证指数,2002/3/29,1603.9,0.0519
1,上证指数,2002/4/30,1667.75,0.0398
1,上证指数,2002/5/31,1515.73,-0.0912
1,上证指数,2002/6/28,1732.76,0.1432
1,上证指数,2002/7/31,1651.59,-0.0468
1,上证指数,2002/8/30,1666.62,0.0091
1,上证指数,2002/9/27,1581.62,-0.051
1,上证指数,2002/10/31,1507.5,-0.0469
1,上证指数,2002/11/29,1434.18,-0.0486
1,上证指数,2002/12/31,1357.65,-0.0534
1,上证指数,2003/1/29,1499.82,0.1047
1,上证指数,2003/2/28,1511.93,0.0081
1,上证指数,2003/3/31,1510.58,-0.0009
1,上证指数,2003/4/30,1521.44,0.0072
1,上证指数,2003/5/30,1576.26,0.036
1,上证指数,2003/6/30,1486.02,-0.0572
1,上证指数,2003/7/31,1476.74,-0.0062
1,上证指数,2003/8/29,1421.98,-0.0371
1,上证指数,2003/9/30,1367.16,-0.0386
1,上证指数,2003/10/31,1348.3,-0.0138
1,上证指数,2003/11/28,1397.22,0.0363
1,上证指数,2003/12/31,1497.04,0.0714
1,上证指数,2004/1/30,1590.73,0.0626
1,上证指数,2004/2/27,1675.07,0.053
1,上证指数,2004/3/31,1741.62,0.0397
1,上证指数,2004/4/30,1595.59,-0.0839
1,上证指数,2004/5/31,1555.91,-0.0249
1,上证指数,2004/6/30,1399.16,-0.1007
1,上证指数,2004/7/30,1386.2,-0.0093
1,上证指数,2004/8/31,1342.06,-0.0318
1,上证指数,2004/9/30,1396.7,0.0407
1,上证指数,2004/10/29,1320.54,-0.0545
1,上证指数,2004/11/30,1340.77,0.0153
1,上证指数,2004/12/31,1266.5,-0.0554
1,上证指数,2005/1/31,1191.82,-0.059
1,上证指数,2005/2/28,1306,0.0958
1,上证指数,2005/3/31,1181.24,-0.0955
1,上证指数,2005/4/29,1159.15,-0.0187
1,上证指数,2005/5/31,1060.74,-0.0849
1,上证指数,2005/6/30,1080.94,0.019
1,上证指数,2005/7/29,1083.03,0.0019
1,上证指数,2005/8/31,1162.8,0.0736
1,上证指数,2005/9/30,1155.61,-0.0062
1,上证指数,2005/10/31,1092.82,-0.0543
1,上证指数,2005/11/30,1099.26,0.0059
1,上证指数,2005/12/30,1161.06,0.0562
1,上证指数,2006/1/25,1258.05,0.0835
1,上证指数,2006/2/28,1299.03,0.0326
1,上证指数,2006/3/31,1298.3,-0.0006
1,上证指数,2006/4/28,1440.22,0.1093
1,上证指数,2006/5/31,1641.3,0.1396
1,上证指数,2006/6/30,1672.21,0.0188
1,上证指数,2006/7/31,1612.73,-0.0356
1,上证指数,2006/8/31,1658.64,0.0285
1,上证指数,2006/9/29,1752.42,0.0565
1,上证指数,2006/10/31,1837.99,0.0488
1,上证指数,2006/11/30,2099.29,0.1422
1,上证指数,2006/12/29,2675.47,0.2745
1,上证指数,2007/1/31,2786.34,0.0414
1,上证指数,2007/2/28,2881.07,0.034
1,上证指数,2007/3/30,3183.98,0.1051
1,上证指数,2007/4/30,3841.27,0.2064
1,上证指数,2007/5/31,4109.65,0.0699
1,上证指数,2007/6/29,3820.7,-0.0703
1,上证指数,2007/7/31,4471.03,0.1702
1,上证指数,2007/8/31,5218.82,0.1673
1,上证指数,2007/9/28,5552.3,0.0639
1,上证指数,2007/10/31,5954.77,0.0725
1,上证指数,2007/11/30,4871.78,-0.1819
1,上证指数,2007/12/28,5261.56,0.08
1,上证指数,2008/1/31,4383.39,-0.1669
1,上证指数,2008/2/29,4348.54,-0.008
1,上证指数,2008/3/31,3472.71,-0.2014
1,上证指数,2008/4/30,3693.11,0.0635
