股票代码_Stkcd,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,日无风险收益率_DRfRet
568,2001/1/2,12.48,12.75,12.4,12.7,79.5356,3.2813,1570191,19832404.64,0.000054
568,2001/1/3,12.75,13.1,12.65,13,81.4144,3.3588,3085713,39882162.62,0.000054
568,2001/1/4,13.01,13.1,12.8,12.94,81.0386,3.3433,2077003,27017489.18,0.000054
568,2001/1/5,13,13.45,12.94,13.41,83.982,3.4647,2251068,29951679.5,0.000054
568,2001/1/8,13.5,13.58,13.1,13.38,83.7942,3.4569,2181554,29123479.18,0.000054
568,2001/1/9,13.38,13.43,12.96,13.01,81.477,3.3613,1818161,23875943.36,0.000054
568,2001/1/10,13.01,13.35,13.01,13.27,83.1053,3.4285,1046099,13851294.52,0.000054
568,2001/1/11,13.26,13.45,13.06,13.09,81.978,3.382,1183009,15673788.01,0.000054
568,2001/1/12,13.1,13.15,12.8,12.92,80.9134,3.3381,1293446,16725296.62,0.000054
568,2001/1/15,12.88,12.88,12.2,12.25,76.7174,3.165,1700740,21245840.19,0.000054
568,2001/1/16,12.1,12.5,12.01,12.48,78.1578,3.2244,1173643,14428289.55,0.000054
568,2001/1/17,12.47,12.54,12.3,12.4,77.6568,3.2037,447787,5574014,0.000054
568,2001/1/18,12.4,12.51,12.3,12.39,77.5941,3.2012,780669,9697306.51,0.000054
568,2001/1/19,12.39,12.67,12.01,12.59,78.8467,3.2528,1112801,13950727.43,0.000054
568,2001/2/5,12.54,12.62,12.01,12.24,76.6548,3.1624,734799,9116211.96,0.000054
568,2001/2/6,12.1,12.25,11.81,12.25,76.7174,3.165,948393,11381134.68,0.000054
568,2001/2/7,12.25,12.25,12.05,12.12,75.9032,3.1314,291399,3540375.41,0.000054
568,2001/2/8,12.06,12.25,11.79,11.81,73.9618,3.0513,591366,7040966.64,0.000054
568,2001/2/9,11.81,12.1,11.81,11.94,74.776,3.0849,570058,6809096.96,0.000054
568,2001/2/12,11.85,12.09,11.85,12.01,75.2143,3.103,517605,6200323.34,0.000054
568,2001/2/13,12.1,12.18,11.99,12.04,75.4022,3.1107,507995,6117038.34,0.000054
568,2001/2/14,12.08,12.15,12.04,12.09,75.7154,3.1236,188316,2271940.35,0.000054
568,2001/2/15,12.17,12.21,12.06,12.08,75.6527,3.1211,424200,5153062.37,0.000054
568,2001/2/16,12.08,12.08,11.8,11.99,75.0891,3.0978,368703,4386068.4,0.000054
568,2001/2/19,11.98,12.17,11.91,12.16,76.1537,3.1417,400325,4832011.54,0.000054
568,2001/2/20,12.14,12.31,12.09,12.12,75.9032,3.1314,424428,5185148.45,0.000054
568,2001/2/21,12.1,12.2,11.8,11.87,74.3376,3.0668,443622,5286956.74,0.000054
568,2001/2/22,11.81,12.05,11.8,11.87,74.3376,3.0668,302345,3601944.47,0.000054
568,2001/2/23,11.92,12.15,11.91,12.08,75.6527,3.1211,342651,4112903.77,0.000054
568,2001/2/26,12.1,12.29,12,12.27,76.8426,3.1702,501796,6101230.62,0.000054
568,2001/2/27,12.3,12.37,12.21,12.25,76.7174,3.165,546298,6722770.74,0.000054
568,2001/2/28,12.26,12.3,12,12.11,75.8406,3.1288,346698,4214060.53,0.000054
568,2001/3/1,12.12,12.3,12.12,12.3,77.0305,3.1779,401113,4909618.27,0.000054
568,2001/3/2,12.32,12.54,12.32,12.47,78.0952,3.2218,881259,10988072.87,0.000054
568,2001/3/5,12.55,12.58,12.33,12.37,77.4689,3.196,542076,6738113.19,0.000054
568,2001/3/6,12.38,12.45,12.3,12.43,77.8447,3.2115,499614,6168158.41,0.000054
568,2001/3/7,12.42,12.53,12.4,12.44,77.9073,3.2141,708922,8849657.64,0.000054
568,2001/3/8,12.43,12.43,12.3,12.31,77.0931,3.1805,563486,6963422.03,0.000054
568,2001/3/9,12.31,12.47,12.2,12.35,77.3436,3.1908,510485,6259931.38,0.000054
568,2001/3/12,12.41,12.5,12.25,12.28,76.9053,3.1727,382078,4703011.14,0.000054
568,2001/3/13,12.28,12.28,12.13,12.2,76.4042,3.1521,577204,7027836.96,0.000054
568,2001/3/14,12.2,12.3,12.18,12.3,77.0305,3.1779,351360,4301791.02,0.000054
568,2001/3/15,12.3,12.35,12.18,12.23,76.5921,3.1598,480702,5872184.71,0.000054
568,2001/3/16,12.2,12.23,12.05,12.09,75.7154,3.1236,700415,8486513.95,0.000054
568,2001/3/19,12.08,12.25,11.97,12.15,76.0911,3.1392,578870,7005053.97,0.000054
568,2001/3/20,12.2,12.25,12.1,12.19,76.3416,3.1495,606677,7386203.12,0.000054
568,2001/3/21,12.2,12.45,12.2,12.43,77.8447,3.2115,823985,10205584.68,0.000054
568,2001/3/22,12.5,12.58,12.4,12.44,77.9073,3.2141,1178785,14728498.43,0.000054
568,2001/3/23,12.45,12.5,12.2,12.22,76.5295,3.1572,1037660,12811846.02,0.000054
568,2001/3/26,12.22,12.5,12.2,12.46,78.0325,3.2192,792075,9844963.31,0.000054
