指数代码_IdxCd,交易日期_TrdDt,开盘价(元/点)_OpPr,最高价(元/点)_HiPr,最低价(元/点)_LoPr,收盘价(元/点)_ClPr,成交量_TrdVol,成交金额(元)_TrdSum
300,2005/1/4,994.77,994.77,980.66,982.79,741286900,4431977418
300,2005/1/5,981.58,997.32,979.88,992.56,711910900,4529208214
300,2005/1/6,993.33,993.79,980.33,983.17,628802900,3921015420
300,2005/1/7,983.04,995.71,979.81,983.96,729869400,4737469399
300,2005/1/10,983.76,993.96,979.79,993.88,579169800,3762932890
300,2005/1/11,994.19,999.55,991.09,997.13,584908000,3704076709
300,2005/1/12,996.65,996.98,989.26,996.75,501452500,3093299668
300,2005/1/13,996.08,999.47,992.7,996.88,604406600,3842173302
300,2005/1/14,996.62,1006.46,987.23,988.31,729784200,4162921211
300,2005/1/17,979.11,981.52,965.08,967.45,728818900,4249807837
300,2005/1/18,967.37,974.87,960.29,974.69,731184800,4117944082
300,2005/1/19,974.33,974.33,965.26,967.21,633809100,3427951271
300,2005/1/20,963.21,963.21,952.23,956.25,772710600,4399350604
300,2005/1/21,954.46,984.27,943.44,982.6,1445006000,8152086067
300,2005/1/24,1001.85,1001.85,986.24,998.13,1435946200,8360161498
300,2005/1/25,995.64,997.95,985.24,997.77,986252900,6157022374
300,2005/1/26,995.78,999.47,988.48,989.93,766329000,4719440425
300,2005/1/27,987.34,987.7,973.77,974.63,694536500,4094398877
300,2005/1/28,974.63,975.62,965.21,969.21,574880700,3280950331
300,2005/1/31,965.79,965.79,953.14,954.88,678870600,3863573594
300,2005/2/1,953.33,965.48,952.74,955.95,743306700,4275706846
300,2005/2/2,956.7,1006.93,956.7,1006.91,1705733800,10202904264
300,2005/2/3,1005.56,1014.19,992.16,993.22,1697454000,10057310335
300,2005/2/4,992.25,1021.03,989.94,1016.86,1573621500,9549870633
300,2005/2/16,1023.32,1033.25,1018.49,1023.58,1213129300,7438168198
300,2005/2/17,1024.43,1024.43,1010.48,1020.61,896829800,5513063259
300,2005/2/18,1020.12,1021.2,1005.63,1006.05,813993900,4817732089
300,2005/2/21,1006.69,1025.66,1006.69,1025.63,988609400,6052394872
300,2005/2/22,1026.84,1048.68,1024.53,1046.74,1793784200,10922776830
300,2005/2/23,1046.81,1049.61,1036.62,1043.94,1869693000,11231940742
300,2005/2/24,1042.25,1045.96,1034.73,1045.46,1468178900,8993752186
300,2005/2/25,1046.27,1059.48,1045.98,1046.76,1817000400,11489961151
300,2005/2/28,1046.21,1048.28,1035.04,1039.99,1297104600,8190101348
300,2005/3/1,1039.35,1042.74,1031.17,1035.93,996209000,6288790666
300,2005/3/2,1036.37,1045.76,1021,1021.32,1422513600,8971307887
300,2005/3/3,1019.88,1028.4,1014.75,1027.71,920308600,5582811955
300,2005/3/4,1027.93,1031.85,1022.18,1023.67,817364100,5383868109
300,2005/3/7,1024.48,1031.34,1024.48,1029.87,793295000,5316473234
300,2005/3/8,1033.79,1049.29,1032.85,1048.99,1429579400,9851274640
300,2005/3/9,1051.26,1054.64,1041.98,1046.54,1532748800,9877624291
300,2005/3/10,1046.69,1046.69,1019.63,1022.41,1329595300,8380547671
300,2005/3/11,1021.08,1028.12,1016.93,1027.43,1147638100,7654557046
300,2005/3/14,1027.17,1041.57,1014.92,1031.03,1446608900,10229428920
300,2005/3/15,1030.86,1030.94,1011.64,1013.52,1200749300,8091209214
300,2005/3/16,1011.85,1012.2,995.97,1003.07,1062278300,7153745871
300,2005/3/17,1001.97,1004.82,992.12,992.86,996901100,6535061285
300,2005/3/18,991.89,996.4,975.7,978.66,965206000,6314991217
300,2005/3/21,977.3,983.18,973,981.89,725256500,4594519993
300,2005/3/22,981.71,982.14,959.56,964.02,1137571700,6955307694
300,2005/3/23,962.82,975.36,955.99,959.01,1093005400,7092055433
300,2005/3/24,957.43,965.06,948.53,964.8,926071500,6446642565
300,2005/3/25,964.25,966.97,959.06,962.96,710732300,4258127223
