股票代码_Stkcd,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,日无风险收益率_DRfRet
600519,2001/8/27,34.51,37.78,32.85,35.55,35.55,11.4294,40631800,1410347179,0.000054
600519,2001/8/28,34.99,37,34.61,36.86,36.86,11.8505,12964779,463463143,0.000054
600519,2001/8/29,36.98,37,36.1,36.38,36.38,11.6962,5325275,194689620,0.000054
600519,2001/8/30,36.28,37.51,36,37.1,37.1,11.9277,4801306,177558558,0.000054
600519,2001/8/31,37.15,37.62,36.8,37.01,37.01,11.8987,2323148,86231237,0.000054
600519,2001/9/3,37.2,37.57,36.85,36.99,36.99,11.8923,2211209,82129438,0.000054
600519,2001/9/4,37.01,38.08,36.88,37.46,37.46,12.0434,3700677,139204380,0.000054
600519,2001/9/5,37.61,37.92,37.21,37.44,37.44,12.037,2606695,97796243,0.000054
600519,2001/9/6,37.35,37.47,36.51,36.7,36.7,11.7991,2899703,107078403,0.000054
600519,2001/9/7,36.5,36.95,35.65,35.68,35.68,11.4712,3155225,113868743,0.000054
600519,2001/9/10,35.4,36.85,35.01,36.7,36.7,11.7991,1887889,68406471,0.000054
600519,2001/9/11,36.8,36.95,36.2,36.29,36.29,11.6673,1139081,41579698,0.000054
600519,2001/9/12,35.33,36.2,35.3,35.98,35.98,11.5676,2504519,89421380,0.000054
600519,2001/9/13,36.01,36.3,35.7,35.89,35.89,11.5387,1098668,39512775,0.000054
600519,2001/9/14,36.01,36.5,35.8,36.3,36.3,11.6705,767283,27740691,0.000054
600519,2001/9/17,36.08,36.29,35.5,35.84,35.84,11.5226,898397,32183249,0.000054
600519,2001/9/18,35.88,36.55,35.85,36.25,36.25,11.6544,1077326,39006062,0.000054
600519,2001/9/19,36.3,36.92,36.06,36.92,36.92,11.8698,865053,31597369,0.000054
600519,2001/9/20,36.9,37.05,36.5,36.61,36.61,11.7701,1117335,41189577,0.000054
600519,2001/9/21,36.28,36.6,36,36.06,36.06,11.5933,787972,28638681,0.000054
600519,2001/9/24,36.06,36.39,36,36.05,36.05,11.5901,406860,14703096,0.000054
600519,2001/9/25,36.28,36.54,36.05,36.23,36.23,11.648,348845,12639790,0.000054
600519,2001/9/26,36.11,36.48,36,36.08,36.08,11.5998,495626,17892565,0.000054
600519,2001/9/27,36.08,36.98,36,36.7,36.7,11.7991,877804,32085131,0.000054
600519,2001/9/28,36.9,37.2,36.5,37.09,37.09,11.9245,1708847,63169143,0.000054
600519,2001/10/8,37,37.18,36.25,36.58,36.58,11.7605,655217,24091149,0.000054
