date, open, high, low, close, volume 
2001-08-27, 34.510, 37.780, 32.850, 35.550, 40631800 
2001-08-28, 34.990, 37.000, 34.610, 36.860, 12964779 
2001-08-29, 36.980, 37.000, 36.100, 36.380, 5325275 
2001-08-30, 36.280, 37.510, 36.000, 37.100, 4801306 
2001-08-31, 37.150, 37.620, 36.800, 37.010, 2323148 
2001-09-03, 37.200, 37.570, 36.850, 36.990, 2211209 
2001-09-04, 37.010, 38.080, 36.880, 37.460, 3700677 
2001-09-05, 37.610, 37.920, 37.210, 37.440, 2606695 
2001-09-06, 37.350, 37.470, 36.510, 36.700, 2899703 
2001-09-07, 36.500, 36.950, 35.650, 35.680, 3155225 
2001-09-10, 35.400, 36.850, 35.010, 36.700, 1887889 
2001-09-11, 36.800, 36.950, 36.200, 36.290, 1139081 
2001-09-12, 35.330, 36.200, 35.300, 35.980, 2504519 
2001-09-13, 36.010, 36.300, 35.700, 35.890, 1098668 
2001-09-14, 36.010, 36.500, 35.800, 36.300, 767283 
2001-09-17, 36.080, 36.290, 35.500, 35.840, 898397 
2001-09-18, 35.880, 36.550, 35.850, 36.250, 1077326 
2001-09-19, 36.300, 36.920, 36.060, 36.920, 865053 
2001-09-20, 36.900, 37.050, 36.500, 36.610, 1117335 
2001-09-21, 36.280, 36.600, 36.000, 36.060, 787972 
2001-09-24, 36.060, 36.390, 36.000, 36.050, 406860 
2001-09-25, 36.280, 36.540, 36.050, 36.230, 348845 
2001-09-26, 36.110, 36.480, 36.000, 36.080, 495626 
2001-09-27, 36.080, 36.980, 36.000, 36.700, 877804 
2001-09-28, 36.900, 37.200, 36.500, 37.090, 1708847 
2001-10-08, 37.000, 37.180, 36.250, 36.580, 655217 
2001-10-09, 36.600, 37.500, 36.600, 37.300, 955852 
2001-10-10, 37.300, 37.430, 36.030, 36.100, 1754869 
2001-10-11, 36.010, 36.500, 35.650, 35.750, 1230684 
2001-10-12, 35.900, 36.650, 34.050, 36.000, 2001070 
2001-10-15, 35.900, 36.000, 34.900, 35.300, 975531 
2001-10-16, 35.130, 35.800, 34.750, 34.800, 831991 
2001-10-17, 34.790, 34.810, 33.900, 34.200, 1250768 
2001-10-18, 34.200, 34.660, 33.910, 34.040, 498346 
2001-10-19, 34.000, 34.150, 33.010, 33.500, 1568754 
2001-10-22, 33.300, 33.700, 32.700, 32.790, 976065 
2001-10-23, 36.000, 36.070, 35.010, 36.070, 4059824 
2001-10-24, 36.780, 36.800, 35.110, 35.860, 4068239 
2001-10-25, 35.700, 35.800, 34.860, 34.880, 1603686 
2001-10-26, 34.700, 35.100, 34.420, 35.000, 900220 
2001-10-29, 34.880, 35.630, 34.880, 35.300, 458786 
2001-10-30, 35.250, 35.490, 34.920, 35.000, 348417 
2001-10-31, 35.000, 35.090, 34.800, 35.050, 476247 
2001-11-01, 35.050, 35.640, 34.950, 35.570, 664303 
2001-11-02, 35.280, 35.720, 35.160, 35.360, 343520 
2001-11-05, 35.000, 35.260, 34.700, 34.900, 369076 
2001-11-06, 34.800, 35.300, 34.720, 35.150, 260931 
2001-11-07, 35.000, 35.000, 33.800, 33.850, 932538 
2001-11-08, 33.350, 33.890, 32.980, 33.700, 740216 
2001-11-09, 33.700, 34.480, 33.340, 34.150, 376076 
2001-11-12, 34.400, 34.400, 33.520, 33.600, 268333 
