year,stkcode,gap,年末总市值(元)_Yrmc_End
2010,1,-68941229000,55028367302
2011,1,984507000,79873032985
2012,1,-1.27934E+11,82076073664
2013,1,-82800000000,1.00E+11
2014,1,-98160000000,1.81E+11
2015,1,-1.57673E+11,1.72E+11
2016,1,-5.08704E+11,1.56E+11
2017,1,-3.15695E+11,2.28E+11
2018,1,-1.9034E+11,1.61E+11
2019,1,-5.56431E+11,3.19E+11
2020,1,-7.6222E+11,3.75E+11
2021,1,-8.24255E+11,3.20E+11
2010,2142,-23688370000,35759374560
2011,2142,-30949262000,26415796046
2012,2142,-64387527000,30741526839
2013,2142,-96688319000,26617663483
2014,2142,-91045918000,51119800748
2015,2142,-2.85293E+11,60485806196
2016,2142,-2.9922E+11,64892573508
2017,2142,-4.51783E+11,90291932352
2018,2142,-4.20995E+11,84482768312
2019,2142,-4.4325E+11,1.58E+11
2020,2142,-6.31523E+11,2.12E+11
2021,2142,-7.311E+11,2.53E+11
2010,600000,-1.41328E+11,1.78E+11
2011,600000,-1.22787E+11,1.58E+11
2012,600000,-2.62943E+11,1.85E+11
2013,600000,-3.73384E+11,1.76E+11
2014,600000,-4.70193E+11,2.93E+11
2015,600000,-9.84973E+11,3.41E+11
2016,600000,-7.66507E+11,3.50E+11
2017,600000,-9.81123E+11,3.70E+11
2018,600000,-6.16548E+11,2.88E+11
2019,600000,-8.17397E+11,3.63E+11
2020,600000,-2.09112E+12,2.84E+11
2021,600000,-1.82282E+12,2.50E+11
2010,601169,63789908000,54396758644
2011,601169,12461318000,76922420464
2012,601169,-41682796000,51651968071
2013,601169,-1.32729E+11,76312794872
2014,601169,-71886000000,1.20E+11
2015,601169,-1.58707E+11,1.30E+11
2016,601169,-1.97487E+11,1.16E+11
2017,601169,-1.81977E+11,1.15E+11
2018,601169,-57826000000,94759654366
2019,601169,-1.32071E+11,1.18E+11
2020,601169,-2.6678E+11,96170149894
2021,601169,-1.62072E+11,86168454305
2010,601166,-92230000000,1.13E+11
2011,601166,-1.50749E+11,1.33E+11
2012,601166,-5.43959E+11,1.78E+11
2013,601166,-5.8071E+11,1.74E+11
2014,601166,-6.07199E+11,2.96E+11
2015,601166,-1.16838E+12,2.85E+11
2016,601166,-1.35281E+12,2.68E+11
2017,601166,-9.84578E+11,2.48E+11
2018,601166,-3.52581E+11,2.03E+11
2019,601166,1.12035E+11,2.24E+11
2020,601166,-4.57532E+11,1.84E+11
2021,601166,-9.46785E+11,1.38E+11
2010,600015,-28462620000,2.26E+11
