,0,1,2,3,4,5,6,7,8,9,10,11
0,0.013148,0.005773,-0.002174,-0.011488,-0.003769,-0.008502,0.000224,-0.005029,0.006808,-0.007678,-0.00327,-0.041562
1,0.00311,0.006051,-0.000892,-0.006017,0.00272,-0.002792,0.006169,0.00631,0.002925,-0.007352,0.008641,-0.038542
2,0.00621,0.006622,-0.001221,-0.000178,0.002632,0.000758,0.00916,0.007962,0.008392,-0.001293,-0.004359,-0.010352
3,0.01093,0.011443,-0.003068,-0.004101,0.001881,0.001777,0.005978,0.001063,0.004835,-0.002413,0.000799,-0.004831
4,0.003502,0.004323,-0.005825,0.000091,0.00042,-0.002892,-0.000686,0.00123,0.002731,-0.004258,-0.002813,-0.006835
5,0.008415,0.007548,-0.005569,-0.00101,-0.002053,-0.004033,0.001196,0.000351,-0.003022,0.00475,-0.00051,-0.028943
6,0.011578,0.005271,-0.005497,-0.001595,-0.000909,-0.006777,0.00702,0.000757,-0.004006,-0.013887,0.000157,-0.032707
7,0.012647,0.007237,-0.004455,-0.006842,-0.000847,-0.004233,0.002475,0.004029,0.002705,-0.006041,-0.000705,-0.034017
8,0.014949,0.006399,-0.006739,-0.003964,-0.001614,0.001471,-0.004751,-0.000544,0.001677,-0.004262,-0.001848,-0.002259
9,0.007986,0.002128,-0.003844,-0.004521,0.003023,-0.005343,0.006551,0.004729,0.000891,0.001353,-0.004274,-0.005001
10,0.001892,0.002028,-0.006251,0.001014,-0.004072,-0.000999,0.001618,0.000193,-0.007897,-0.002905,-0.004985,-0.009041
11,0.005183,0.002499,-0.004634,0.003188,-0.005132,-0.004965,0.006515,0.001243,-0.012194,-0.010153,-0.008684,-0.017869
12,0.000884,0.004752,-0.003889,0.001368,0.003177,0.005302,0.003047,0.001169,-0.005335,-0.005862,-0.006693,-0.001391
13,0.007043,0.006164,-0.008906,-0.005824,0.001187,-0.0038,0.00797,0.004833,0.002482,-0.00693,-0.004475,-0.006643
14,0.011256,0.003021,-0.008492,-0.002728,-0.004721,0.000146,0.001244,-0.001826,-0.011347,-0.002271,-0.003724,-0.005624
15,-0.002598,0.00713,-0.00268,-0.002117,-0.0014,-0.002143,0.007368,0.003498,-0.0006,0.001028,-0.005841,-0.009565
