

     Angle,       PSD,
        10,       651,
     10.01,       630,
     10.02,       589,
   10.0299,       651,
   10.0399,       617,
   10.0499,       597,
   10.0599,       626,
   10.0698,       630,
   10.0798,       614,
   10.0898,       560,
   10.0998,       611,
   10.1097,       584,
   10.1197,       620,
   10.1297,       607,
   10.1397,       596,
   10.1496,       656,
   10.1596,       590,
   10.1696,       604,
   10.1796,       637,
   10.1895,       644,
   10.1995,       602,
   10.2095,       607,
   10.2195,       622,
   10.2295,       600,
   10.2394,       578,
   10.2494,       572,
   10.2594,       661,
   10.2694,       595,
   10.2793,       611,
   10.2893,       593,
   10.2993,       568,
   10.3093,       579,
   10.3192,       624,
   10.3292,       632,
   10.3392,       561,
   10.3492,       598,
   10.3591,       631,
   10.3691,       583,
   10.3791,       609,
   10.3891,       613,
    10.399,       597,
    10.409,       618,
    10.419,       588,
    10.429,       617,
    10.439,       613,
   10.4489,       610,
   10.4589,       612,
   10.4689,       610,
   10.4789,       616,
   10.4888,       603,
   10.4988,       589,
   10.5088,       615,
   10.5188,       615,
   10.5287,       586,
   10.5387,       636,
   10.5487,       607,
   10.5587,       556,
   10.5686,       579,
   10.5786,       582,
   10.5886,       593,
   10.5986,       606,
   10.6085,       599,
   10.6185,       585,
   10.6285,       585,
   10.6385,       547,
   10.6485,       615,
   10.6584,       583,
   10.6684,       577,
   10.6784,       616,
   10.6884,       634,
   10.6983,       590,
   10.7083,       607,
   10.7183,       570,
   10.7283,       578,
   10.7382,       580,
   10.7482,       553,
   10.7582,       575,
   10.7682,       558,
   10.7781,       591,
   10.7881,       586,
   10.7981,       625,
   10.8081,       586,
    10.818,       585,
    10.828,       553,
    10.838,       528,
    10.848,       620,
    10.858,       593,
   10.8679,       579,
   10.8779,       571,
   10.8879,       576,
   10.8979,       556,
   10.9078,       590,
   10.9178,       584,
   10.9278,       574,
   10.9378,       566,
   10.9477,       619,
   10.9577,       540,
   10.9677,       559,
   10.9777,       582,
   10.9876,       498,
   10.9976,       532,
   11.0076,       560,
   11.0176,       601,
   11.0275,       536,
   11.0375,       512,
   11.0475,       535,
   11.0575,       563,
   11.0675,       532,
   11.0774,       552,
   11.0874,       549,
   11.0974,       553,
   11.1074,       530,
   11.1173,       559,
   11.1273,       580,
   11.1373,       574,
   11.1473,       550,
   11.1572,       563,
   11.1672,       601,
   11.1772,       540,
   11.1872,       526,
   11.1971,       551,
   11.2071,       549,
   11.2171,       561,
   11.2271,       543,
   11.2371,       551,
    11.247,       553,
    11.257,       520,
    11.267,       551,
    11.277,       536,
   11.2869,       535,
   11.2969,       583,
   11.3069,       575,
   11.3169,       564,
   11.3268,       570,
   11.3368,       569,
   11.3468,       549,
   11.3568,       529,
   11.3667,       554,
   11.3767,       549,
   11.3867,       517,
   11.3967,       520,
   11.4066,       568,
   11.4166,       555,
   11.4266,       531,
   11.4366,       566,
   11.4466,       547,
   11.4565,       565,
   11.4665,       573,
   11.4765,       535,
   11.4865,       554,
   11.4964,       560,
   11.5064,       568,
   11.5164,       551,
   11.5264,       544,
   11.5363,       537,
   11.5463,       522,
   11.5563,       544,
   11.5663,       569,
   11.5762,       505,
   11.5862,       527,
   11.5962,       510,
   11.6062,       526,
   11.6161,       537,
   11.6261,       539,
   11.6361,       553,
   11.6461,       519,
   11.6561,       528,
    11.666,       536,
    11.676,       485,
    11.686,       528,
    11.696,       528,
   11.7059,       538,
   11.7159,       505,
   11.7259,       510,
   11.7359,       531,
   11.7458,       530,
   11.7558,       560,
   11.7658,       488,
   11.7758,       524,
   11.7857,       577,
   11.7957,       524,
   11.8057,       500,
   11.8157,       510,
   11.8256,       545,
   11.8356,       481,
   11.8456,       534,
   11.8556,       522,
   11.8656,       554,
   11.8755,       518,
   11.8855,       548,
   11.8955,       502,
   11.9055,       545,
   11.9154,       529,
   11.9254,       530,
   11.9354,       512,
   11.9454,       527,
   11.9553,       505,
   11.9653,       535,
   11.9753,       519,
   11.9853,       525,
   11.9952,       552,
   12.0052,       528,
   12.0152,       523,
   12.0252,       523,
   12.0351,       551,
   12.0451,       519,
   12.0551,       539,
   12.0651,       536,
   12.0751,       560,
    12.085,       508,
    12.095,       536,
    12.105,       525,
    12.115,       548,
   12.1249,       570,
   12.1349,       549,
   12.1449,       524,
   12.1549,       490,
   12.1648,       545,
   12.1748,       522,
   12.1848,       513,
   12.1948,       532,
   12.2047,       491,
   12.2147,       474,
   12.2247,       576,
   12.2347,       503,
   12.2446,       527,
   12.2546,       496,
   12.2646,       519,
   12.2746,       527,
   12.2846,       501,
   12.2945,       509,
   12.3045,       515,
   12.3145,       513,
   12.3245,       499,
   12.3344,       531,
   12.3444,       474,
   12.3544,       539,
   12.3644,       455,
   12.3743,       522,
   12.3843,       505,
   12.3943,       534,
   12.4043,       509,
   12.4142,       513,
   12.4242,       506,
   12.4342,       540,
   12.4442,       549,
   12.4541,       484,
   12.4641,       505,
   12.4741,       510,
   12.4841,       470,
   12.4941,       483,
    12.504,       491,
    12.514,       510,
    12.524,       538,
    12.534,       502,
   12.5439,       489,
   12.5539,       541,
   12.5639,       480,
   12.5739,       458,
   12.5838,       498,
   12.5938,       496,
   12.6038,       492,
   12.6138,       529,
   12.6237,       471,
   12.6337,       529,
   12.6437,       470,
   12.6537,       497,
   12.6636,       489,
   12.6736,       482,
   12.6836,       523,
   12.6936,       490,
   12.7036,       491,
   12.7135,       518,
   12.7235,       494,
   12.7335,       514,
   12.7435,       502,
   12.7534,       497,
   12.7634,       544,
   12.7734,       500,
   12.7834,       569,
   12.7933,       508,
   12.8033,       528,
   12.8133,       548,
   12.8233,       502,
   12.8332,       506,
   12.8432,       489,
   12.8532,       463,
   12.8632,       478,
   12.8731,       515,
   12.8831,       526,
   12.8931,       508,
   12.9031,       492,
   12.9131,       513,
    12.923,       478,
    12.933,       522,
    12.943,       505,
    12.953,       512,
   12.9629,       457,
   12.9729,       481,
   12.9829,       502,
   12.9929,       544,
   13.0028,       449,
   13.0128,       512,
   13.0228,       498,
   13.0328,       500,
   13.0427,       491,
   13.0527,       528,
   13.0627,       473,
   13.0727,       461,
   13.0826,       495,
