Abelian	阿贝尔的,交换的
absolute convergent	绝对收敛
absolute intergrable	绝对可积
absolute value	绝对值
abstract space	抽象空间
accessible point	可达点
accidental error	偶然误差
accumulation point	聚点
acute angle	锐角
additive adjacency	邻接
adjoint	伴随的
adjoint operator	伴随算子
adjugate	伴随转置的
admissible	容许的
admissible error	容许误差
affine	仿射的
algebraic	代数的
algebraic expression	代数式
algebraic topology	代数拓扑
almost everywhere	几乎处处
alternate series	交错级数
alternative	互斥性
amplitude	幅角，振幅
analytic function	解析函数
analytic geometry	解析几何
analytic extension	解析开拓
analytic space	复空间
angle of circumference	圆周角
angle of depression	俯角
angle of elevation	仰角
angle of incidence	入射角
angle of reflection	反射角
angle of rotation	旋转角
angular velocity	角速度
annihilator	零化子
anticlockwise	逆时针的
antiderivative	原函数
antisymmetric	反对称的
aperiodic	非周期的
apex	顶点
apothem	边心距
approximate	近似的，逼近
arc length	弧长
arithmetic	算术
argument	幅角，幅度;自变量，论证
arrangement	排列
ascending	上升的
associative law	结合律
asymmetrical	非对称的
asymptote	渐近线
asymptotic	渐近的
augmented matrix	增广矩阵
balance equation	平衡方程
bandwidth	带宽
barycenter	重心
base	基
base vectors	基向量
biased error	有偏误差
biased statistic	有偏统计量
bilinear	双线性的
bijective	双射的
bilateral shift	双侧位移的
binomial	二项式
bisector	二等分线，平分线
boundary	边界的，边界
bounded	有界的
broken line	折线
bundle	丛，把，卷
calculus	微积分
calculus of variations	变分法
cancellation	消去
canonical	典型的，标准的
canonical form	标准型
cap	交，求交运算
capacity	容量
cardinal number	基数
Cartesian coordinates	笛卡尔坐标
category	范畴，类型
cell	单元，方格，胞腔
cell complex	胞腔复形
character	特征标
characterization	特征
circuit	环路，线路，回路
circular ring	圆环
circulating decimal	循环小数
clockwise	顺时针方向的
closed ball	闭球
closure	闭包
cluster point	聚点
coefficient	系数
cofinal	共尾的
cohomology	上同调
coincidence	叠和，重合
collinear	共线的
collective	集体的
columnar rank	列秩
combinatorial theory	组合理论
common tangent	公切线
commutative	交换的
compact	紧的
compact operator	紧算子
compatibility	相容性
compatible events	相容事件
complementary	余的，补的
complete	完全的，完备的
complex analysis	复变函数论
complex potential	复位势
composite	复合的
concave function	凹函数
concentric circles	同心圆
concurrent	共点
conditional number	条件数
confidence interval	置信区间
conformal	共形的
conic	圆锥的
conjugate	共轨的
connected	连通的
connected domain 连通域
consistence	相容，一致
constrained	约束的
continuable	可延拓的
continuity	连续性
contour	周线，回路，轮廓线
convergence	收敛性
convexity	凸性
convolution	对和，卷积
coordinate	坐标
coprime	互质的，互素的
correspondence	对应
coset	陪集
countable	可数的
counterexample	反例
covariance	协方差
covariant	共变的
covering	覆盖
critical	临界的
cubic root	立方根
cup	并，求并运算
curl	旋度
curvature	曲率
curve	曲线
cyclic	循环的
decade	十进制的
decagon	十边形
decimal	小数的，十进制的
decision theory	决策论
decomposable	可分解的
decreasing	递减的
decrement	减量
deduction	推论，归纳法
defect	亏量，缺陷
deficiency	亏格
definition	定义
definite integral	定积分
deflation	压缩
deflection	挠度，挠率，变位
degenerate	退化的
deleted neighborhood	去心邻域
denominator	分母
density	稠密性，密度
density function	密度函数
denumerable	可数的
departure	偏差，偏离
dependent	相关的
dependent variable	因变量
derangement	重排
derivation	求导
derivative	导数
descent	下降
determinant	行列式
diagram	图，图表
diameter	直径
diamond	菱形
dichotomy	二分法
diffeomorphism	微分同胚
differentiable	可微的
differential	微分
differential geometry	微分几何
difference	差，差分
digit	数字
dimension	维数
directed graph	有向图
directed set	有向集
direct product	直积
direct sum	直和
direction angle	方向角
directional derivative	方向导数
disc	圆盘
disconnected	不连通的
discontinuous	不连续
discrete	离散的
discriminant	判别式
disjoint	不相交
disorder	混乱，无序
dissection	剖分
dissipation	损耗
distribution	分布，广义函数
divergent	发散的
divisor	因子，除数
division	除法
domain	区域，定义域
dot product	点积
double integral	二重积分
dual	对偶
dynamic model	动态模型
dynamic programming	动态规划
dynamic system	动力系统
eccentricity	离心率
econometrics	计量经济学
edge	棱，边
eigenvalue	特征值
cigenvector	特征向量
eigenspace	特征空间
clement	元素
ellipse	椭圆
embed	嵌入
empirical equation	经验公式
empirical assumption	经验假设
endomorphism	自同态
end point	端点
entropy	熵
entire function	整函数
envelope	包络
epimorphism	满同态
equiangular	等角
equicontinuous	等度连续的
equilateral	等边的
equilibrium	平衡
equivalence	等价
error estimate	误差估计
estimator	估计量
evaluation	赋值，值的计算
even number	偶数
exact sequence	正合序列
exact solution	精确解
excenter	外心
excision	切割，分割
exclusive events	互斥事件
exhaustive	穷举的
expansion	展开，展开式
expectation	期望
experimental error	实验误差
explicit function	显函数
exponent	指数
extension	扩张，外延
face	面
factor	因子
factorial	阶乘
fallacy	谬误
fiducial	置信
field	域，场
field theory	域论，场论
figure	图形，数字
finite	有限的
finite group	有限群
finite iteration	有限选代
finite rank	有限秩
finitely covered	有限覆盖
fitting	拟合
fixed point	不动点
flag	标志
flat space	平坦空间
formula	公式
fraction	分数，分式
frame	架，标架
free boundary	自由边界
frequency	频率，频数
front side	正面
function	函数
functional	泛函
functor	函子，算符
fundamental group	基本群
fuzzy	模糊的
gain	增益，放大率
game	对策
gap	间断，间踪
general topology	一般拓扑学
general term	通项
generalized	普遍的，推广的
generalized inverse	广义逆
generalization	归纳，普遍化
generating line	母线
genus	亏格
geodesic	测地线
geometrical	几何的
geometric series	几何级数
golden section	黄金分割
graph	图形，网格
half plane	半平面
harmonic	调和的
hexagon	六边形
hereditary	可传的
holomorphic	全纯的
homeomorphism	同胚
homogencous	齐次的
homology	同调
homotopy	同伦
hyperbola	双曲线
hyperplane	超平面
hypothesis	假设
ideal	理想
idempotent	紧等的
identical	恒等，恒同
identity	恒等式，单位元
ill-condition	病态
image	像点，像
imaginary axis	虚轴
imbedding	嵌入
imitation	模仿，模拟
immersion	浸入
impulse function	脉冲函数
inclination	斜角，倾角
inclined plane	斜面
incomparable	不可比的
incompatible	不相容的，互斥的
inconsistent	不成立的
indefinite integral	不定积分
independence	无关（性），独立（性）
index	指数，指标
indivisible	除不尽的
inductive	归纳的
inductive definition	归纳定义
induced	诱导的
inequality	不等式
inertia law	惯性律
inference	推理，推论
infimum	下确界
infinite	无穷大的
infinite decimal	无穷小数
infinite series	无穷级数
infinitesimal	无限小的
inflection point	拐点
information theory	信息论
inhomogeneous	非齐次的
injection	内射
inner point	内点
instability	不稳定
integer	整数
integrable	可积的
integrand	被积函数
intermediate value	介值
intersection	交，相交
interval	区间
intrinsic	内在的，内蕴的
invariant	不变的
inverse circular function	反三角函数
inverse image	逆像，原像
inversion	反演
invertible	可逆的
involution	对合
irrational	无理的，无理数
irreducible	不可约的
isolated point	孤立点
isometric	等距的
isomorphic	同构的
iteration	迭代
joint distribution	联合分布
kernel	核
keyword	关键词
knot	纽结
known	已知的
large sample	大样本
last term	末项
lateral area	侧面积
lattice	格子
lattice point	格点
law of identity	同一律
leading coefficient	首项系数
leaf	蔓叶线
least squares solution	最小二乘解
lemma	引理
Lie algebra	李代数
lifting	提升
likelihood	似然的
limit	极限
linear combination	线性组合
linear filter	线性滤波
linear fraction transformation	线性分式变换
linear functional	线性泛函
linear operator	线性算子
linearly dependent	线性相关
linearly independent	线性无关
local coordinates	局部坐标
locus(pl. loci)	轨迹
logarithm	对数
lower bound	下界
logic	逻辑
lozenge	菱形
lunar	新月型
main diagonal	主对角线
manifold	流形
mantissa	尾数
many-valued function	多值函数
map into	映入
map onto	映到
mapping	映射
marginal	边缘
master equation	主方程
mathematical analysis	数学分析
mathematical expectation	数学期望
matrix(pl. matrices)	矩阵
maximal	极大的，最大的
maximum norm	最大模
mean	平均，中数
measurable	可测的
measure	测度
mesh	网络
metric space	距离空间
midpoint	中点
minus	减
minimal	极小的，最小的
model	模型
modulus	模，模数
moment	矩
monomorphism	单一同态
multi-analysis	多元分析
multiplication	乘法
multipole	多极
mutual	相互的
mutually disjoint	互不相交
natural boundary	自然边界
natural equivalence	自然等价
natural number	自然数
natural period	固有周期
negative	负的，否定的
neighborhood	邻域
nil-factor	零因子
nilpotent	幂零的
nodal	节点的
noncommutative	非交换的
nondense	疏的，无处稠密的
nonempty	非空的
noncountable	不可数的
nonlinear	非线性的
nonsingular	非奇异的
normalize	使正规化
normal	正规的；法线
normal derivative	法向导数
normal direction	法方向
normal distribution	正态分布
normal family	正规族
normal operator	正规算子
normal set	良序集
normed	赋范的
n-tuple integral	重积分
number theory	数论
numerical analysis	数值分析
null	零，空
obtuse angle	钝角
octagon	八边形
octant	卦限
odd number	奇数
odevity	奇偶性
off-centre	偏心的
one-side	单侧的
open ball	开球
operations research	运筹学
optimality	最优性
optimization	最优化
optimum	最佳条件
orbit	轨道
order	阶，级，次序
order-preserving	保序的
order-type	序型
ordinal	次序的
ordinary	寻常的，正常的
ordinate	纵坐标
orient	定方向
orientable	可定向的
origin	原点
original state	初始状态
orthogonal	正交的
orthonormal	规范化正交的
outer product	外积
oval	卵形线
overdetermined	超定的
overlaping	重叠，交迭
pairity	奇偶性
pairwise	两两的
parabola	抛物线
parallel	平行
parallel lines	平行线
parallelogram	平行四边形
parameter	参数
parent population	母体
partial	偏的，部分的
partial ordering	偏序
partial sum	部分和
particle	质点
partition	划分，分类
path space	道路空间
perfect differential	全微分
perfect set	完备集
period	周期
periodic decimal	循环小数
peripheral	周界的，外表的
periphery	边界
permissible	容许的
permutable	可交换的
permutation	排列，置换
perpendicular	垂直
perturbation	扰动，摄动
phase	相，位相
piecewise	分段的
planar	平面的
plane curve	平面曲线
plane domain	平面区域
plane pencil	平面束
plus	加
point of intersection	交点
pointwise	逐点的
polar coordinates	极坐标
pole	极，极点
polygon	多边形
polygonal line	折线
polynomial	多项式
positive	正的，肯定的
potency	势，基数
potential	位势
prime	素的
primitive	本原的
principal minor	主子式
prism	棱柱
proof theory	证明论
probability	概率
projective	射影的，投影
proportion	比例
pure	纯的
pyramid	棱锥，棱锥体
quadrant	像限
quadratic	二次的
quadric surface	二次曲面
quantity	量，数量
quasi-group	拟群
quasi-norm	拟范数
quasi-normal	拟正规
queuing theory	排队论
quotient	商
radial	径向
radical sign	根号
radication	开方
radian	孤度
radius	半径
ramified	分歧的
random	随机的
randomize	随机化
range	值域，区域，范围
rank	秩
rational	有理的
raw data	原始数据
real function	实函数
reciprocal	倒数的，互反的
reciprocal basis	对偶基
reciprocity	互反性
rectangle	长方形，矩形
rectifiable	可求长的
recurring decimal	循环小数
reduce	简化，化简
reflection	反射
reflexive	自反的
region	区域
regular	正则
regular ring	正则环
related function	相关函数
remanent	剩余的
repeated root	重根
residue	留数，残数
resolution	分解
resolvent	预解式
right angle	直角
rotation	旋转
roundoff	舍入
row rank	行秩
ruled surface	直纹曲面
runs	游程，取遍
saddle point	鞍点
sample	样本
sampling	取样
scalar field	标量场
scalar product	数量积，内积
scale	标尺，尺度
scattering	散射，扩散
sectorial	扇形
self-adjoint	自伴的
semicircle	半圆
semi-definite	半定的
semigroup	半群
semisimple	半单纯的
separable	可分的
sequence	序列
sequential	相继的，序列的
serial	序列的
sheaf	层
side face	侧面
similar	相似的
simple curve	简单曲线
simplex	单纯形
singular values	奇异值
skeleton	骨架
skewness	偏斜度
slackness	松弛性
small sample	小样本
smooth manifold	光滑流形
solid figure	立体形
solid geometry	立体几何
solid of rotation	旋转体
solvable	可解的
sparse	稀疏的
spectral theory	谱论
spectrum	谱
sphere	球形，球面
spiral	螺线
spline function	样条函数
splitting	分裂的
statistics	统计，统计学
statistic	统计量
stochastic	随机的
straight angle	平角
straight line	直线
stream-line	流线
subadditive	次可加的
subinterval	子区间
submanifold	子流形
subset	子集
subtraction	减法
summable	可加的
summand	被加数
supremum	上确界
surjective	满射的
symmetric	对称的
tabular	表格式的
tabulation	列表，造表
tangent	正切，切线
tangent space	切空间
tangent vector	切向量
tensor	张量
term	项
terminal row	末行
termwise	逐项的
tetrahedroid	四面体
topological	拓扑的
torsion	挠率
totally ordered set	全序集
trace	迹
trajectory	轨道
transcendental	超越的
transfer	改变，传
transfinite	超限的
transformation	变换式
transitive	可传递的
translation	平移
transpose	转置
transverse	横截
trapezoid	梯形
treble	三倍，三重
trend	趋势
triad	三元组
triaxial	三轴的，三维的
trigon	三角形
trigonometric	三角学的
tripod	三面角
tubular	管状的
twist	挠曲，扭转
type	类型，型，序型
unbiased	无偏的
unbiased estimate	无偏估计
unbounded	无界的
uncertainty	不定性
unconditional	无条件的
unequal	不等的
uniform	一致的
uniform boundness	一致有界
uniformly bounded	一致有界的
uniformly continuous	一致连续
uniformly convergent	一致收敛
unilateral	单侧的
union	并，并集
unit	单位
unit circle	单位圆
unitary matrix	西矩阵
universal	泛的，通用的
upper bound	上界
unrounded	不舍入的
unstable	不稳定的
valuation	赋值
variation	变分，变差
variety	簇
vector	向量
vector bundle	向量丛
vertex	顶点
vertical angle	对顶角
volume	体积，容积
wave	波
wave form	波形
wave function	波函数
wave equation	波动方程
weak convergence	弱收敛
weak derivatives	弱导数
weight	权重，重量
well-ordered	良序的
well-posed	适定的
zero	零
zero divisor	零因子
zeros	零点
zone	域，带
