运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒2 rad/s2),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒2 m/s2),门内时间 (秒 s),速率 (米/秒 m/s),w^2 (单位)
0,-0.013,,,-3.00E-04,,,,,
0.025,-0.013,0,,-3.00E-04,0,,,,0
0.05,-0.013,0,-0.628,-3.00E-04,0,-0.015,,,0
0.075,-0.013,-0.031,-0.628,-3.00E-04,-7.50E-04,-0.015,,,-9.87E-04
0.1,-0.014,-0.031,1.257,-3.38E-04,-7.50E-04,0.03,,,-9.87E-04
0.125,-0.014,0.031,2.513,-3.38E-04,7.50E-04,0.06,,,-9.87E-04
0.15,-0.013,0.094,3.142,-3.00E-04,0.002,0.075,,,-0.01
0.175,-0.009,0.188,8.796,-2.25E-04,0.005,0.21,,,-0.04
0.2,-0.003,0.534,30.159,-7.50E-05,0.013,0.72,,,-0.29
0.225,0.017,1.696,65.973,4.13E-04,0.041,1.575,,,-2.88
0.25,0.082,3.833,91.735,0.002,0.091,2.19,,,-14.69
0.275,0.209,6.283,95.504,0.005,0.15,2.28,,,-39.48
0.3,0.396,8.608,89.221,0.0095,0.206,2.13,,,-74.1
0.325,0.639,10.744,79.797,0.0153,0.257,1.905,,,-115.44
0.35,0.933,12.598,65.973,0.0223,0.301,1.575,,,-158.7
0.375,1.269,14.043,47.752,0.0303,0.335,1.14,,,-197.2
0.4,1.635,14.985,27.646,0.039,0.358,0.66,,,-224.56
0.425,2.018,15.425,8.796,0.0482,0.368,0.21,,,-237.94
0.45,2.406,15.425,-7.54,0.0575,0.368,-0.18,,,-237.94
0.475,2.79,15.048,-21.363,0.0666,0.359,-0.51,,,-226.45
0.5,3.159,14.357,-29.531,0.0754,0.343,-0.705,,,-206.13
0.525,3.508,13.572,-31.416,0.0837,0.324,-0.75,,,-184.19
0.55,3.837,12.786,-30.788,0.0916,0.305,-0.735,,,-163.49
0.575,4.147,12.032,-26.389,0.099,0.287,-0.63,,,-144.78
0.6,4.439,11.467,-18.221,0.106,0.274,-0.435,,,-131.49
0.625,4.72,11.121,-11.31,0.1127,0.266,-0.27,,,-123.68
0.65,4.995,10.901,-5.655,0.1193,0.26,-0.135,,,-118.84
0.675,5.265,10.839,-3.55E-13,0.1257,0.259,5.55E-15,,,-117.47
0.7,5.537,10.901,3.142,0.1322,0.26,0.075,,,-118.84
0.725,5.81,10.996,4.398,0.1387,0.263,0.105,,,-120.9
0.75,6.087,11.121,4.398,0.1453,0.265,0.105,,,-123.68
0.775,6.366,11.215,1.885,0.152,0.268,0.045,,,-125.79
0.8,6.648,11.215,-4.398,0.1587,0.268,-0.105,,,-125.79
0.825,6.927,10.996,-14.451,0.1654,0.262,-0.345,,,-120.9
0.85,7.197,10.493,-25.761,0.1718,0.251,-0.615,,,-110.1
0.875,7.452,9.708,-37.071,0.1779,0.232,-0.885,,,-94.24
0.9,7.683,8.639,-47.752,0.1834,0.206,-1.14,,,-74.64
0.925,7.884,7.32,-57.177,0.1882,0.175,-1.365,,,-53.58
0.95,8.049,5.781,-64.717,0.1922,0.138,-1.545,,,-33.41
0.975,8.173,4.084,-69.743,0.1951,0.098,-1.665,,,-16.68
1,8.253,2.293,-72.885,0.197,0.055,-1.74,,,-5.26
1.025,8.288,0.44,-74.142,0.1979,0.01,-1.77,,,-0.19
1.05,8.275,-1.414,-72.885,0.1976,-0.034,-1.74,,,-2
1.075,8.217,-3.204,-68.487,0.1962,-0.077,-1.635,,,-10.27
1.1,8.115,-4.838,-61.575,0.1937,-0.115,-1.47,,,-23.41
1.125,7.975,-6.283,-52.779,0.1904,-0.15,-1.26,,,-39.48
1.15,7.801,-7.477,-42.726,0.1862,-0.178,-1.02,,,-55.91
1.175,7.601,-8.419,-31.416,0.1815,-0.201,-0.75,,,-70.89
1.2,7.38,-9.048,-18.85,0.1762,-0.216,-0.45,,,-81.86
1.225,7.149,-9.362,-8.796,0.1707,-0.224,-0.21,,,-87.65
1.25,6.912,-9.488,0.628,0.165,-0.226,0.015,,,-90.01
1.275,6.674,-9.331,9.425,0.1593,-0.223,0.225,,,-87.06
1.3,6.445,-9.016,14.451,0.1539,-0.215,0.345,,,-81.3
1.325,6.223,-8.608,18.85,0.1486,-0.205,0.45,,,-74.1
1.35,6.015,-8.074,20.735,0.1436,-0.193,0.495,,,-65.19
1.375,5.82,-7.571,18.221,0.1389,-0.181,0.435,,,-57.32
1.4,5.636,-7.163,16.336,0.1346,-0.171,0.39,,,-51.31
1.425,5.462,-6.754,14.451,0.1304,-0.161,0.345,,,-45.62
1.45,5.298,-6.44,10.681,0.1265,-0.154,0.255,,,-41.48
1.475,5.14,-6.22,8.168,0.1227,-0.149,0.195,,,-38.69
1.5,4.987,-6.032,5.655,0.1191,-0.144,0.135,,,-36.38
1.525,4.838,-5.938,2.513,0.1155,-0.142,0.06,,,-35.26
1.55,4.69,-5.906,-1.257,0.112,-0.141,-0.03,,,-34.88
1.575,4.543,-6,-6.283,0.1085,-0.143,-0.15,,,-36.01
1.6,4.39,-6.22,-10.053,0.1048,-0.149,-0.24,,,-38.69
1.625,4.232,-6.503,-13.195,0.101,-0.155,-0.315,,,-42.29
1.65,4.065,-6.88,-16.965,0.0971,-0.164,-0.405,,,-47.34
1.675,3.888,-7.351,-19.478,0.0928,-0.175,-0.465,,,-54.04
1.7,3.698,-7.854,-19.478,0.0883,-0.187,-0.465,,,-61.69
1.725,3.495,-8.325,-18.221,0.0834,-0.199,-0.435,,,-69.31
1.75,3.281,-8.765,-16.965,0.0783,-0.209,-0.405,,,-76.83
1.775,3.057,-9.173,-13.823,0.073,-0.219,-0.33,,,-84.15
1.8,2.823,-9.456,-7.54,0.0674,-0.226,-0.18,,,-89.42
1.825,2.584,-9.55,-1.67E-12,0.0617,-0.228,-4.27E-14,,,-91.21
1.85,2.345,-9.456,9.425,0.056,-0.226,0.225,,,-89.42
1.875,2.111,-9.079,20.735,0.0504,-0.217,0.495,,,-82.43
1.9,1.891,-8.419,30.788,0.0452,-0.201,0.735,,,-70.89
1.925,1.69,-7.54,40.841,0.0404,-0.18,0.975,,,-56.85
1.95,1.514,-6.377,50.266,0.0362,-0.152,1.2,,,-40.67
1.975,1.371,-5.027,56.549,0.0327,-0.12,1.35,,,-25.27
2,1.263,-3.55,60.947,0.0302,-0.085,1.455,,,-12.6
2.025,1.194,-1.979,62.832,0.0285,-0.047,1.5,,,-3.92
2.05,1.164,-0.408,64.089,0.0278,-0.01,1.53,,,-0.17
2.075,1.173,1.225,64.089,0.028,0.029,1.53,,,-1.5
2.1,1.225,2.796,59.062,0.0293,0.067,1.41,,,-7.82
2.125,1.313,4.178,52.779,0.0314,0.1,1.26,,,-17.46
2.15,1.434,5.435,46.496,0.0342,0.13,1.11,,,-29.54
2.175,1.585,6.503,37.699,0.0378,0.155,0.9,,,-42.29
2.2,1.759,7.32,27.018,0.042,0.175,0.645,,,-53.58
2.225,1.951,7.854,15.708,0.0466,0.188,0.375,,,-61.69
2.25,2.152,8.105,6.283,0.0514,0.194,0.15,,,-65.7
2.275,2.356,8.168,-1.885,0.0563,0.195,-0.045,,,-66.72
2.3,2.56,8.011,-10.681,0.0611,0.191,-0.255,,,-64.18
2.325,2.757,7.634,-17.593,0.0658,0.182,-0.42,,,-58.28
2.35,2.942,7.131,-21.991,0.0702,0.17,-0.525,,,-50.86
2.375,3.113,6.535,-25.133,0.0743,0.156,-0.6,,,-42.7
2.4,3.269,5.875,-26.389,0.078,0.14,-0.63,,,-34.51
