运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒2 rad/s2),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒2 m/s2),period/时间间隔 (秒 s),速率 (米/秒 m/s),w^2 (单位),w1 (单位)
0,0.002,,,3.75E-05,,,,,,
0.022,0.002,0,,3.75E-05,0,,,,0,
0.043,0.002,-0.109,-5.035,3.75E-05,-0.003,-0.12,,,-0.01,
0.065,-0.003,-0.218,-1.678,-7.50E-05,-0.005,-0.04,,,-0.05,
0.087,-0.008,-0.182,0.839,-1.88E-04,-0.004,0.02,,,-0.03,
0.108,-0.011,-0.182,0.839,-2.63E-04,-0.004,0.02,,,-0.03,
0.13,-0.016,-0.145,2.517,-3.75E-04,-0.003,0.06,,,-0.02,
0.151,-0.017,-0.073,2.517,-4.13E-04,-0.002,0.06,,,-0.01,
0.173,-0.019,-0.036,3.357,-4.50E-04,-8.67E-04,0.08,,,0,
0.195,-0.019,0.073,5.035,-4.50E-04,0.002,0.12,,,-0.01,
0.216,-0.016,0.182,3.357,-3.75E-04,0.004,0.08,,,-0.03,
0.238,-0.011,0.218,0.839,-2.63E-04,0.005,0.02,,,-0.05,
0.26,-0.006,0.218,6.42E-16,-1.50E-04,0.005,2.01E-17,,,-0.05,
0.281,-0.002,0.218,0.839,-3.75E-05,0.005,0.02,,,-0.05,
0.303,0.003,0.254,0.839,7.50E-05,0.006,0.02,,,-0.06,
0.324,0.009,0.254,-0.839,2.25E-04,0.006,-0.02,,,-0.06,
0.346,0.014,0.218,-1.678,3.38E-04,0.005,-0.04,,,-0.05,
0.368,0.019,0.182,-0.839,4.50E-04,0.004,-0.02,,,-0.03,
0.389,0.022,0.182,5.77E-15,5.25E-04,0.004,1.00E-16,,,-0.03,
0.411,0.027,0.182,-0.839,6.38E-04,0.004,-0.02,,,-0.03,
